,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-0.19857874306610682, -0.05883307217196353, 2.085515303774926]","[0.2497947427317908, 0.0, 2.150246308719281]","[-0.05184992114507946, -0.00890382100268787, 0.08862720101217589]","[-0.006347399995735219, 0.0, 0.00761687963950895]","[0.009272961214715204, -0.06217965138079056, 0.005358544425516274, -0.9980074570877028]","[[0.9922098491681557, 0.009542555600404797, 0.12421089066353558], [-0.011848913582799131, 0.9997704916404497, 0.01784258403456747], [-0.12401213236503503, -0.01917535373171579, 0.992095301545497]]","[-0.0008179066917061301, 0.10460816364546226, 0.0040209710267680695]",[0.5107436399838562],"[0.019186514267115574, -0.09948229726443733, 0.0, -0.9948505892451783]",[0.49042429501400003],"[-3.3552209508546573, -0.48196910472473015, -0.8611287972285169]","[996.902436491279, 1119.464791955154, 917.31975500968, 1122.5339485664845]"
1,0.020000000000003126,"[-0.19996217064382277, -0.05906097319169951, 2.0869476173391326]","[0.24964820078979635, 0.0, 2.1504221590386474]","[-0.060749415490425916, -0.01084172274744099, 0.0713576997797031]","[-0.008336836539544777, 0.0, 0.01000420261064858]","[0.009389588466823006, -0.0634025405451282, 0.0053517095042283445, -0.9979294706353138]","[[0.9919028697918597, 0.009490609738157511, 0.12664302814594497], [-0.011871904792036765, 0.9997663053438604, 0.01806167013870509], [-0.12644202674659022, -0.01941891805401543, 0.9917838226379424]]","[-0.01357012130834523, 0.10228895016591341, 0.0005030266749495192]",[0.521454770427288],"[0.020003812303947578, -0.10675320945029486, 0.0, -0.9940809634262214]",[0.49042429501400003],"[-3.492660824497348, -0.498118914574207, -1.4145526505567467]","[979.7783963305035, 1169.2888598471886, 912.9190190083981, 1152.378732894696]"
2,0.03999999999999915,"[-0.20117728212214053, -0.059311836942514164, 2.088030093074102]","[0.2494619542902434, 0.0, 2.150645654791958]","[-0.05796131123113165, -0.007718678025124921, 0.06691589482326568]","[-0.01032627269102314, 0.0, 0.012391523698548042]","[0.009742992502197454, -0.06447348711690704, 0.005293980122204353, -0.9978577887329955]","[[0.991630235671453, 0.009308949193537438, 0.1287739009900391], [-0.011821607999819636, 0.9997540449476853, 0.018761599189357603], [-0.1285675841554894, -0.02012688462618202, 0.9914964363167259]]","[-0.02470953681209465, 0.11180510358197399, 0.003904677810761729]",[0.5261418115699703],"[0.01844940594205385, -0.10887607396218603, 0.0, -0.9938838144214848]",[0.49042429501400003],"[-3.260739773299736, -0.28477293381093827, -1.6216239695727523]","[959.597594230911, 1213.6893563195488, 906.6931644514915, 1188.4851808403496]"
3,0.060000000000002274,"[-0.20236475385609173, -0.059434063746272386, 2.08926727787501]","[0.24923646759567525, 0.0, 2.1509162387099057]","[-0.05706107275206501, -0.007812069987037193, 0.07333277781539595]","[-0.012315708140043466, 0.0, 0.014778841414767423]","[0.010078017875609606, -0.06632418736132582, 0.005270760912248756, -0.9977332090002449]","[[0.9911464440364931, 0.009180793706076575, 0.13245392622608163], [-0.011854459089327463, 0.9997411068061713, 0.019411188362226127], [-0.13224145093531478, -0.020809504099349084, 0.9909988729890791]]","[-0.049849507380823194, 0.20216448507378498, 0.004282080532079419]",[0.5259602272056457],"[0.018858530016195165, -0.11270312839653197, 0.0, -0.9934492218507643]",[0.49042429501400003],"[-3.2703552951792223, -0.4764971223540648, 1.1457689689554194]","[1005.559364801435, 1192.1131271857307, 933.0002741222206, 1181.2140154951132]"
4,0.0799999999999983,"[-0.203350699344264, -0.05962461819366919, 2.0904594425126257]","[0.24896945621754601, 0.0, 2.1512366521097066]","[-0.051626952415456055, -0.006206686734488563, 0.10163351627800352]","[-0.014305142324826397, 0.0, 0.01716615306258956]","[0.010768068881750848, -0.06841732683458483, 0.005242861066335925, -0.9975847138992513]","[[0.9905827945095419, 0.008986951137628355, 0.13661706981026128], [-0.011933841089868636, 0.9997127531170384, 0.020766716751050053], [-0.13639124785386225, -0.02220152690754535, 0.9904058670789795]]","[-0.08285278679493926, 0.2248341910393244, 0.0033876721919528837]",[0.5162716001623715],"[0.01886829920989496, -0.11580331569561424, 0.0, -0.9930924827288478]",[0.49042429501400003],"[-3.092857581981842, -0.34732800122046076, 0.6340886327189388]","[1023.6774292240613, 1203.604100553553, 953.6228938578035, 1209.9353641285793]"
5,0.10000000000000142,"[-0.20442328598257942, -0.05983665957295716, 2.0916149349429465]","[0.24866339302169166, 0.0, 2.1516039274419714]","[-0.0476653042664775, -0.004506633548378148, 0.09722446650189125]","[-0.016294574624003213, 0.0, 0.01955345565974243]","[0.01187869380173909, -0.07077188220147294, 0.005212845471537996, -0.9974078533870127]","[[0.9899276962962748, 0.008717310986721754, 0.14130070580384368], [-0.012080021060497935, 0.9996628081840822, 0.02295795920037606], [-0.14105301862307495, -0.024433650742960732, 0.989699837079224]]","[-0.11386227548796632, 0.23649532025607703, 0.007375380913856777]",[0.5194414835567954],"[0.01847165634928069, -0.11652047775763284, 0.0, -0.9930164834762459]",[0.49042429501400003],"[-3.186557610678457, -0.1675929283440865, -1.9116191474098692]","[1001.0030257449653, 1243.267574886171, 981.1955390054992, 1183.0148229357058]"
6,0.11999999999999744,"[-0.20529768209103563, -0.05991403575146804, 2.093004965571902]","[0.24831765297678302, 0.0, 2.1520188145767896]","[-0.04065518566132946, -0.001217703852080301, 0.10018490077524128]","[-0.018284004129074553, 0.0, 0.021940744844700606]","[0.012918915850990375, -0.0736764985623572, 0.005196951625071532, -0.9971845086328924]","[[0.9890886078975857, 0.008460998335026323, 0.14707240399484425], [-0.012268280275517147, 0.9996112640048738, 0.0249992991120126], [-0.14680384807194038, -0.02653087190774549, 0.9888088277364424]]","[-0.11882686343231871, 0.3127871940141478, 0.007592585037965946]",[0.5196490910022029],"[0.017600487035938986, -0.11659528706233879, 0.0, -0.9930235032622455]",[0.49042429501400003],"[-3.0177505196899865, -1.219647319632995, 0.7562671113450463]","[1015.2394106361357, 1226.1596955377847, 984.1337146555855, 1172.9232478262315]"
7,0.14000000000000057,"[-0.2059981015138072, -0.060102951757996764, 2.0945062719914054]","[0.24793039567094177, 0.0, 2.1524835217237834]","[-0.032400275007449006, -0.00993789048792296, 0.12164605457701898]","[-0.020273429469524783, 0.0, 0.024328014039863823]","[0.013773677661337467, -0.07689729702059574, 0.005175461625716525, -0.9969294552552218]","[[0.9881180732596787, 0.008200823114060136, 0.1534649311390455], [-0.012437457442819384, 0.9995650334451893, 0.026666811915853517], [-0.1531797905783205, -0.028258727955259196, 0.9877922156731205]]","[-0.09723008467759303, 0.34855727411397236, 0.0036664973883660085]",[0.5135070063727079],"[0.021743145442506558, -0.11752937398217926, 0.0, -0.9928291518897592]",[0.49049609523394644],"[-2.8185321583776677, -0.8121595833785931, 0.21175802076452754]","[1026.967290860902, 1197.9329144412595, 978.6648124616952, 1163.8822670487136]"
8,0.1599999999999966,"[-0.20669288766029015, -0.06018676517658763, 2.0964056339145967]","[0.2475069463868868, 0.0, 2.152991658341442]","[-0.0224824268102067, -0.0013132229100128456, 0.11597662663633959]","[-0.022262849899409878, 0.0, 0.026715259664478977]","[0.014832600531375487, -0.08056469868821005, 0.005203954568881382, -0.9966247560400033]","[[0.9869631585724424, 0.007982811920163636, 0.16073992270975473], [-0.012762747890455037, 0.9995044878448399, 0.028726563708383713], [-0.16043116999254015, -0.030403583835699962, 0.9865773087817057]]","[-0.09337546557248225, 0.3399441259656608, 0.0016771404173470093]",[0.5162242605051148],"[0.018553703255305233, -0.11597090484961475, 0.0, -0.9930778930873964]",[0.490512628826],"[-4.215669267469319, 0.22142787164922872, -1.525877352275316]","[1006.3393191252957, 1213.5409124719679, 990.3848698035722, 1149.8181665774475]"
9,0.17999999999999972,"[-0.20710398852059073, -0.06027313231807771, 2.098470444297662]","[0.2470416224092105, 0.0, 2.153550043094913]","[-0.024709212180496876, 0.0027204268235610568, 0.12397381202120317]","[-0.02425226295059821, 0.0, 0.029102469871040752]","[0.01580164550830309, -0.0841139540370306, 0.005154508657007175, -0.996316880306864]","[[0.9857952917619333, 0.00761277020133851, 0.1677712039900336], [-0.012929325737317938, 0.9994462222878805, 0.030619760104577055], [-0.16744540511576356, -0.03235402452161296, 0.9853490456793835]]","[-0.08300958845503216, 0.371712359247294, 0.0037613505212542517]",[0.5149119058406962],"[0.017626957061082894, -0.11993714804849356, 0.0, -0.9926239031524067]",[0.490512628826],"[-2.558763515541856, -0.018376926194797583, 3.358930283692871]","[1023.3365526949167, 1184.6785953398805, 990.8785327444032, 1132.133705531894]"
