,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.3724149553000928, -0.05053594401321585, 2.164411038639733]","[0.2498200021788012, 0.0, 2.1502159973838624]","[0.006735776772634329, -0.0029110780197341467, 0.01217904985327322]","[-0.005963573754322116, 0.0, 0.007156288270601729]","[0.008686333696410708, 0.01926352339480402, 0.002017799742641801, -0.9997746886764414]","[[0.999249725661777, 0.004369349003773984, -0.038483311645908826], [-0.003700031434270456, 0.9998409875427706, 0.017446492999234217], [0.038553420773497306, -0.017291013269040575, 0.9991069639072091]]","[0.007994046198524542, -0.0032450202092050235, 0.003724250859665998]",[0.45866215957281375],"[0.014869690070243033, 0.035674538204633954, 0.0, -0.9992502679063953]",[0.45876899506200003],"[0.9979338362470526, -0.4524154742185255, 0.029198063219268988]","[967.4775082075025, 1008.3523976189383, 954.5226756030738, 956.8486081073422]"
1,0.019999999999999574,"[0.3725964578574827, -0.05056271765147498, 2.164962122594217]","[0.2496788203625728, 0.0, 2.15038541555339]","[0.00597131757436117, -0.002024450773024702, 0.009842204897810706]","[-0.007953010327865655, 0.0, 0.00954361138448872]","[0.008570791186240843, 0.0193438039548803, 0.0019516624241625786, -0.9997743021976346]","[[0.9992441220586626, 0.00423402728537469, -0.03864542161946953], [-0.0035708604675952545, 0.999845570638436, 0.017213218705649368], [0.038712330783883656, -0.01706220840437294, 0.9991048231079821]]","[-0.0011787631942766063, -0.00878741921039807, 0.00044961684042705034]",[0.46543427564863094],"[0.013439328332636018, 0.037314317818019214, 0.0, -0.9992121277959444]",[0.45876899506200003],"[1.0169341018746483, -0.45295686710745, -0.3532820132320431]","[1003.0820482754149, 985.1316311024979, 968.5257114337825, 950.7545962821749]"
2,0.03999999999999915,"[0.3727429594782074, -0.05058680932310652, 2.165434123892222]","[0.24949845406277749, 0.0, 2.150601855071675]","[0.005727514351391089, -0.0022760326783884386, 0.011973837531440996]","[-0.009942446544142926, 0.0, 0.011930932783378425]","[0.00874473477067111, 0.01951038955053295, 0.0019043727812256507, -0.9997696268576399]","[[0.9992314952371706, 0.0041490944935513975, -0.038978483291814435], [-0.003466641765983862, 0.9998398650655789, 0.01755975054690806], [0.03904509623131965, -0.017411130327663484, 0.9990858077361315]]","[-0.012882935876002512, -0.019687240295574206, 0.0011345848098357342]",[0.467123620880308],"[0.013658339885343054, 0.03896071009698747, 0.0, -0.9991466894953884]",[0.45876899506200003],"[1.1559889852176817, -0.2818784070795702, 0.6419300906286338]","[1022.2956748229922, 965.5193266307703, 959.5034144012307, 961.6687389508945]"
3,0.05999999999999872,"[0.3728878424438597, -0.05059435955805338, 2.1660204363571216]","[0.2492816652739247, 0.0, 2.150862001519979]","[0.006993788657906541, 0.0004884215674100254, 0.02300387127607629]","[-0.011931882161973521, 0.0, 0.014318251309927449]","[0.00890214514274985, 0.02003911213896425, 0.0018462091810314955, -0.9997578647971421]","[[0.9991900619082252, 0.004048306467179657, -0.04003564948477595], [-0.0033347421280080563, 0.999834697562576, 0.017873972025681032], [0.04010139037314962, -0.01772598645443833, 0.9990383825086203]]","[-0.023113506788889404, -0.06695749636727708, 0.0007782571607461083]",[0.4629899201898812],"[0.012840183238604804, 0.04187140932346805, 0.0, -0.9990395779187065]",[0.4587570213549815],"[0.8751396086797046, -0.2280561356038487, 0.13691060515203546]","[1004.0255429051587, 984.2634843601976, 962.9585700274556, 972.9114252393788]"
4,0.0799999999999983,"[0.37301460317394086, -0.050594278498006386, 2.1666936402131807]","[0.24902280027998477, 0.0, 2.151172639294629]","[0.003426802337804456, 0.0006828762506740939, 0.018519062857773615]","[-0.013921316625551461, 0.0, 0.016705564295907648]","[0.009274410176980394, 0.021216180404481297, 0.0017834513618073494, -0.9997301877819239]","[[0.9990931560368963, 0.003959475448599125, -0.04238783112065433], [-0.003172405210759232, 0.9998213792905455, 0.018619491707267836], [0.04245399295849472, -0.018468139603928943, 0.9989274880661544]]","[-0.04205200060295683, -0.13165861412023114, 0.0020349592251600653]",[0.46522651980808777],"[0.013204383406793094, 0.04162857001839923, 0.0, -0.999045751710285]",[0.45875371885300004],"[0.8365391270390483, -0.6183042837033962, 0.06633204005940385]","[1007.991149640625, 1001.8122029081028, 958.9306500638801, 982.9643136462494]"
5,0.10000000000000142,"[0.373116950246902, -0.050537386113946176, 2.1674480407462755]","[0.24872491115089523, 0.0, 2.1515301058068843]","[0.0032574943282525468, -0.0001229385337195299, 0.03033755983091227]","[-0.015910749362693606, 0.0, 0.019092868995096275]","[0.009848334130573783, 0.02287640029900742, 0.0017670046756311894, -0.9996880099743294]","[[0.9989466549754182, 0.003983495643292924, -0.045703722075669966], [-0.0030823179078953923, 0.9997993349864043, 0.019771368509691058], [0.04577333028549357, -0.01960967768453123, 0.9987589202161707]]","[-0.05963359142018699, -0.16984933542271802, -0.0020278855991545737]",[0.4615328758339821],"[0.014235041362153835, 0.04360988854832216, 0.0, -0.9989466628184046]",[0.45875371885300004],"[1.0762256092496185, -0.2022024650500165, 1.060678381274716]","[1014.0641693821703, 999.3292994593488, 954.2394630497236, 980.0847235526211]"
6,0.120000000000001,"[0.3731854172097482, -0.05048083112069726, 2.168268349465068]","[0.24838625891104357, 0.0, 2.15193648765754]","[0.001109211156880703, 0.004501268601244231, 0.03396354809959944]","[-0.01790017942211018, 0.0, 0.021480160841092763]","[0.010680765678920574, 0.024721461801550285, 0.0017495423418886762, -0.9996354966283229]","[[0.99877099330283, 0.004025897537097821, -0.049387528587143535], [-0.0029697209741268433, 0.9997651371390651, 0.021440247495987417], [0.04946227439433979, -0.021267242519286637, 0.9985489575886662]]","[-0.07242455170115193, -0.19427411711135717, -0.0006762118996455728]",[0.46067525628328754],"[0.012759026883093803, 0.04445108513588445, 0.0, -0.9989297565574228]",[0.45875371885300004],"[1.0043203771079487, -0.40609392865542315, 0.4748594866242115]","[1002.0441063285564, 1008.3576656525945, 951.4173353089724, 991.9681280022184]"
7,0.14000000000000057,"[0.373204106686683, -0.05038521218838415, 2.1691355575085733]","[0.24800726814390292, 0.0, 2.152391275115957]","[-0.0009808966470637869, 0.002558082308210657, 0.03895693010258116]","[-0.01988960566455256, 0.0, 0.023867434365921255]","[0.011043403073177051, 0.0267519626512888, 0.0016698639296879006, -0.9995792733745462]","[[0.9985622245601828, 0.003929188160057113, -0.05344453281573071], [-0.0027474573338300712, 0.9997496460687014, 0.022166857913896585], [0.053518296737542326, -0.021988169363977603, 0.9983238879483969]]","[-0.05201512296205908, -0.2220346211459034, 0.0022730079572887345]",[0.4595447697179096],"[0.014042829633040533, 0.0453819832564528, 0.0, -0.998870440275758]",[0.45875371885300004],"[1.0009359281616232, -0.3154626367902166, 0.19624224093947973]","[987.8780218514457, 1016.7132818017202, 952.0015775466179, 988.3340766903272]"
8,0.16000000000000014,"[0.37316327296766494, -0.05027453349756689, 2.1701370830966815]","[0.24759013846795647, 0.0, 2.152891828374225]","[-0.004879011340588956, 0.008302466804156675, 0.03793928533619779]","[-0.02187902699867586, 0.0, 0.026254684330608773]","[0.0117006791247531, 0.02900853745690431, 0.0016676518131956094, -0.9995087587373929]","[[0.9983103883767855, 0.00401250436494985, -0.05794954921515916], [-0.002654826010303375, 0.9997195670836019, 0.02348661481690931], [0.05802759985019122, -0.023293110256556674, 0.9980421387179648]]","[-0.06738984940262538, -0.22836487829362, -0.002552513392956434]",[0.4602351511795789],"[0.012144356375220412, 0.045507457881574544, 0.0, -0.9988891606975309]",[0.45875371885300004],"[0.9300545061299962, -0.28837822819177666, 0.1953985317655409]","[995.5289303475133, 998.7181577782871, 929.04306698288, 999.9348279937873]"
9,0.17999999999999972,"[0.37304979979591746, -0.05013630005030912, 2.1712389193064268]","[0.24713252244567674, 0.0, 2.153440963876599]","[-0.009458017167848737, 0.006642038829505888, 0.04422348267842714]","[-0.023868441478350218, 0.0, 0.028641901394223408]","[0.012440919148085199, 0.031278899540400716, 0.0016233074383623267, -0.999431469980664]","[[0.9980370349734622, 0.004023045599152422, -0.062481842220894104], [-0.0024664925582596037, 0.9996842211478808, 0.024969242764738202], [0.06256262396726671, -0.02476614168358732, 0.9977327522890427]]","[-0.0629566859818526, -0.22617008282853712, 0.001248993806901885]",[0.45869718565849904],"[0.0133342717232567, 0.04569417641461852, 0.0, -0.9988657657545492]",[0.45875371885300004],"[0.9972600229292437, -0.7802298056938696, 1.502130454119083]","[978.8883268115987, 1011.2808369759151, 935.7505923729095, 988.2513001275779]"
