,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-0.1544076726498461, -0.03630348118824822, 2.199306993551535]","[0.24979396016793687, 0.0, 2.1502472477948924]","[-0.22036393365560092, -0.018973766722209375, -0.2888238055677975]","[-0.006375962522693029, 0.0, 0.007651154686094159]","[0.007891705344148629, -0.09277843394760023, -0.005681745267681114, -0.9956393008954126]","[[0.9827197764656889, -0.012778297898371722, 0.18465803290853372], [0.00984957764634765, 0.9998108940507495, 0.01676887083949075], [-0.18483738754650592, -0.01466029712739218, 0.9826597828977848]]","[0.013941388937465762, -0.029032741276441003, 0.0023724152944221786]",[0.5671951157119699],"[0.013536519941251669, -0.14619042802414722, 0.0, -0.9891530710070293]",[0.451454962249],"[-6.017508527714983, -0.5464523892484474, -6.084598785349392]","[949.088054933062, 1208.8423963220873, 963.9657474487766, 1214.4841028334374]"
1,0.020000000000003126,"[-0.1580256862237557, -0.036552019451447905, 2.195636307162751]","[0.2496472892111573, 0.0, 2.1504232529334364]","[-0.22064799629137344, -0.001300975975798091, -0.27148010354256774]","[-0.008365399067844816, 0.0, 0.010038477663669387]","[0.007988220280303581, -0.0924489486972836, -0.005761925611208244, -0.9956687228142486]","[[0.9828400093518215, -0.012950943362277614, 0.18400499828784658], [0.009996933094772068, 0.9998060022557942, 0.016972610098553803], [-0.18418910841193079, -0.014841874237641182, 0.9827787855988264]]","[0.010290087711778343, -0.05838478393992525, 0.0069696158953269196]",[0.5738413661487892],"[0.0010677968803498757, -0.155821578527639, 0.0, -0.9877785728061259]",[0.451454962249],"[-6.066490184148529, -0.5595726937872946, -6.4637507855810625]","[923.1492636711471, 1354.9923019971995, 946.7174841576556, 1352.9824093856355]"
2,0.03999999999999915,"[-0.16193409466716993, -0.0368400245819173, 2.191924075784174]","[0.2494605326630988, 0.0, 2.1506473607474885]","[-0.20316517345732288, -0.015473015043717807, -0.2387516339426738]","[-0.010354835224641784, 0.0, 0.012425798777209597]","[0.007851282534534288, -0.0918622523618303, -0.005858469358488938, -0.9957235742559974]","[[0.983054083894363, -0.01310930509371053, 0.18284682752554937], [0.010224359103504853, 0.999808145437466, 0.016711758596887456], [-0.18303081351816303, -0.014559069834233211, 0.9829994419459376]]","[0.0011421263170893845, -0.04125452990089225, 0.008698365234310182]",[0.5628655737521643],"[0.014365604994606667, -0.15117549745397188, 0.0, -0.9883994675528055]",[0.451454962249],"[-3.170275636723932, -0.9249759774931614, -1.3895737335850633]","[993.0409154675209, 1350.2966843872175, 1027.2544557945735, 1342.4472015950626]"
3,0.060000000000002274,"[-0.16499003071633547, -0.037003922258223715, 2.189353979472362]","[0.24922730603597879, 0.0, 2.150927232556231]","[-0.184724079402383, -0.005640333051810237, -0.20664641392537156]","[-0.01234427043516723, 0.0, 0.014813115348484635]","[0.008000970256861613, -0.09419706999749021, -0.005933897613462865, -0.9955011313093548]","[[0.9821782188262572, -0.013321739485219187, 0.1874516256204308], [0.010307067663885464, 0.999796363768379, 0.017047861422263073], [-0.18764153337368114, -0.014812038346849864, 0.982120610057929]]","[-0.009249026757594467, 0.21098226300617018, 0.003184047895823526]",[0.5500828346988037],"[0.004198754331523438, -0.14600204538848974, 0.0, -0.9892567282256185]",[0.45158826357626874],"[-4.683163790436998, -0.636476517469699, -1.1457078018643436]","[1057.6327346394787, 1303.2910718884275, 1085.9007184694367, 1296.9521971157158]"
4,0.0799999999999983,"[-0.1686630055926571, -0.03730354782754561, 2.186544690657447]","[0.2489657091430965, 0.0, 2.1512411485945377]","[-0.1819342899306513, -0.01878317186578694, -0.1751384391782252]","[-0.014333704817968846, 0.0, 0.017200427946836638]","[0.0084071870121835, -0.09812102596206462, -0.005990150090979238, -0.995120380564148]","[[0.980671634973632, -0.013571684506524028, 0.19518374476933695], [0.01027199724616247, 0.9997857448584127, 0.01790784562326329], [-0.1953851860175206, -0.015556806932888741, 0.9806020371829413]]","[-0.04842668844957764, 0.37694617734371316, 0.0050261654023012504]",[0.54350244769397],"[0.012898999720066345, -0.15168778283643203, 0.0, -0.9883399689582607]",[0.45200490946937477],"[-4.857462885882892, -1.774023776490107, 1.2192978883521484]","[1074.7382570560148, 1264.9827850642014, 1082.3037936943153, 1285.8623671093092]"
5,0.10000000000000142,"[-0.1720086563567602, -0.03764467049443465, 2.1850969319603197]","[0.24865968940624605, 0.0, 2.1516083717732783]","[-0.1632974645300409, -0.018900017497792302, -0.12081153227376802]","[-0.016323137112146714, 0.0, 0.01958773051985674]","[0.008733153022675213, -0.1012143426936464, -0.006019390059128621, -0.9948077347834446]","[[0.979438120923095, -0.013744112264665662, 0.20127248545634424], [0.01020843089333325, 0.9997742713334739, 0.018594113568512188], [-0.20148275847430241, -0.016157119135506697, 0.979358051113028]]","[-0.029469130948128797, 0.3534772281199569, -0.0012419765503960242]",[0.5179232312080775],"[0.014585135323407506, -0.15260396574184712, 0.0, -0.9881792946332187]",[0.45202966641500003],"[-3.1652039451219633, 0.22939834203867204, 3.0684644716612404]","[1056.6085538515656, 1260.2213557308362, 1056.9846901284254, 1294.4774343331705]"
6,0.11999999999999744,"[-0.17449981636209663, -0.037883228718589956, 2.184771270271849]","[0.24831382799647994, 0.0, 2.152023404551695]","[-0.14339634744191834, -0.01121655100538952, -0.0844264125303907]","[-0.01831256664206675, 0.0, 0.021975019824561206]","[0.008834118134505506, -0.10524271198868762, -0.0060226734447283384, -0.9943890050374259]","[[0.9777752339603805, -0.013837213609745089, 0.20919798130635034], [0.010118307407729867, 0.9997712075274194, 0.018836784857798945], [-0.20941080134113546, -0.016301414910817096, 0.9776916958647953]]","[-0.01771453409864083, 0.43616199517971294, -0.004012026513977673]",[0.5043538702500077],"[0.011316492359368486, -0.15005401737814403, 0.0, -0.9886127721382081]",[0.45202966641500003],"[-3.9807948889122478, -0.3240038139279258, 2.457451507133854]","[1045.3087667717498, 1180.1868815560313, 1064.8291559533775, 1204.492279465846]"
7,0.14000000000000057,"[-0.17582165206334688, -0.038005500043544665, 2.1847975084174514]","[0.2479270988254289, 0.0, 2.1524874779628282]","[-0.1320641390577214, -0.01608982465639093, -0.0470027734314583]","[-0.020301992088503563, 0.0, 0.024362289528227228]","[0.009143338391154545, -0.10800619590927185, -0.005985311301464836, -0.9940892204491243]","[[0.9765958165439153, -0.013874941286716633, 0.2146261387370355], [0.009924792496557417, 0.999759291979629, 0.01947148967713872], [-0.2148450416434583, -0.016885686857122766, 0.9765002631727958]]","[-0.04468783677739787, 0.4854084094165173, -0.003872476488548202]",[0.49149657758378434],"[0.0154378802415198, -0.151201132306232, 0.0, -0.9883824272719248]",[0.45202966641500003],"[-4.682241492488895, -1.0752947272923068, 2.7634985790427855]","[1000.8446092349155, 1145.2985960237731, 1018.1911816039685, 1160.62073364168]"
8,0.1599999999999966,"[-0.17861945386318703, -0.038382039823330084, 2.185960998241803]","[0.24750087486826158, 0.0, 2.152998944128778]","[-0.12027339719236192, -0.016374232504123704, -0.02166371372986499]","[-0.022291412197575602, 0.0, 0.026749533612870247]","[0.00932652909312833, -0.11379337406782271, -0.005930735237592583, -0.993441845813007]","[[0.9740295795550815, -0.013906275550622004, 0.2259835728009814], [0.00966108669522687, 0.9997534752287104, 0.019880485301389413], [-0.2262048254999296, -0.017180971807835056, 0.9739259585061484]]","[-0.012005850825814901, 0.39021460239791583, -0.013712147468211037]",[0.48416032326628716],"[0.016452724996918373, -0.15161839696821314, 0.0, -0.9883021223282425]",[0.45202966641500003],"[-4.278989840320621, -0.29658203641528025, 0.6137944021366799]","[970.0193870605993, 1131.765643408586, 970.8704979534285, 1161.815175929786]"
9,0.17999999999999972,"[-0.18041769378626624, -0.03861707693606137, 2.187339458490543]","[0.24703533347947812, 0.0, 2.153557589773002]","[-0.10273463275355843, -0.012401598488849253, -0.014962251483825486]","[-0.02428082522021775, 0.0, 0.02913674368236428]","[0.009723570860983546, -0.11788759861408685, -0.005888380242277221, -0.9929613912212769]","[[0.9721347133575086, -0.013986445312333456, 0.2340011556900739], [0.009401291637312419, 0.9997405895109236, 0.020698594912499174], [-0.2342301800202427, -0.01792192688654439, 0.9720149637406867]]","[-0.03535915072619184, 0.4123890958138529, -0.004023849449996713]",[0.46705941867675566],"[0.011457117857630764, -0.14813096530287134, 0.0, -0.9889000346637823]",[0.45202966641500003],"[-4.228300242102799, 0.3998427332429051, 2.393464969593463]","[985.4203210015147, 1071.4501513479158, 992.9512256542879, 1101.6020455570515]"
10,0.20000000000000284,"[-0.18136239049066538, -0.03876152147664267, 2.188377067666771]","[0.24652930146930627, 0.0, 2.15416482207819]","[-0.09022442302008689, -0.004923197024368261, 0.01458220143909877]","[-0.026270228802863164, 0.0, 0.03152390844041457]","[0.010116446890332078, -0.12314165923679696, -0.005828111647115289, -0.992319932278642]","[[0.9696033553702109, -0.014058214821268471, 0.24427392634517803], [0.009075190598642762, 0.9997264068540239, 0.021512870463115768], [-0.24450976547297387, -0.018642137109343457, 0.9694666041455835]]","[-0.05645317399792728, 0.45607085276607884, -0.006870824875652552]",[0.4649633108845726],"[0.010565651975502969, -0.14988564879863436, 0.0, -0.9886457020652006]",[0.45202966641500003],"[-4.741068842613644, -0.515372315078941, 2.758733837553269]","[974.2442911154407, 1034.6782627842276, 968.1034097282052, 1068.7035291209336]"
11,0.21999999999999886,"[-0.18276465190471214, -0.038986212364296675, 2.1901120640721774]","[0.24598568091012954, 0.0, 2.1548171580613977]","[-0.07711347922727443, -0.01112900005113596, 0.015502132800449493]","[-0.028259621549297412, 0.0, 0.033911021185123714]","[0.010705111762006758, -0.12716269060523924, -0.005756486645462933, -0.991807082136502]","[[0.9675924005734959, -0.01414123007616181, 0.2521184665858259], [0.008696066816615517, 0.9997039015017495, 0.02269883198178253], [-0.2523649619174106, -0.01977079066070175, 0.9674294760148207]]","[-0.04627760478767729, 0.34160565083287986, -0.008284436830418256]",[0.4619581565621127],"[0.014805667042705733, -0.14698743461653752, 0.0, -0.9890273232671594]",[0.45202966641500003],"[-6.000226710373943, -1.2585731739723034, -3.0263547855252604]","[921.0676160381669, 1049.7477262052591, 928.6801101670923, 1061.261368973704]"
12,0.240000000000002,"[-0.18399496413716201, -0.039178793143755296, 2.191813693484881]","[0.24538789761317298, 0.0, 2.155534483978334]","[-0.07652400441685632, -0.011511413340792528, -0.021783486525372854]","[-0.030248993716893685, 0.0, 0.03629803515226226]","[0.011278446098614824, -0.1312682711491103, -0.005665899836115082, -0.9912632304519257]","[[0.9654665339609576, -0.014193800591156137, 0.26011501593840924], [0.008271792108701752, 0.9996748452891115, 0.023847323580363407], [-0.26037062612201634, -0.020872312076399988, 0.9652763321100646]]","[-0.051540024863387664, 0.3315000136050568, -0.00675143122538229]",[0.4767712663246993],"[0.014904890327847062, -0.14679978241630612, 0.0, -0.9890535337341799]",[0.45251541203949],"[-5.5952884875666875, -0.17622656013237298, -1.623710255897688]","[937.0240644052965, 1025.449720230873, 958.4666498839599, 1018.0456237552177]"
13,0.259999999999998,"[-0.18490082248646256, -0.039325868563764466, 2.1930387566354677]","[0.24477525628903377, 0.0, 2.156269637624364]","[-0.05510677914035804, -0.005480626885399241, -0.004525084219421615]","[-0.0322383590340762, 0.0, 0.038685016237879156]","[0.011743601776510577, -0.1345145375545257, -0.005574369392395429, -0.9908262033033121]","[[0.9637492429275109, -0.01420583284613836, 0.26643013071990407], [0.007887092197371054, 0.9996617401891561, 0.024771404164604358], [-0.2666919834171019, -0.021772069280699666, 0.963535565750386]]","[-0.04747823304101303, 0.31176275625526756, -0.007582489674170464]",[0.4940936176688965],"[0.014806350063946464, -0.1454470460272061, 0.0, -0.9892551199694528]",[0.452879132706],"[-5.613313799102662, -0.11228181855124497, -1.8615544038576282]","[935.2131239737561, 1014.1759275312069, 949.9770162660376, 1016.8810741607563]"
14,0.28000000000000114,"[-0.18549342995900056, -0.03939205040425049, 2.1936847489040745]","[0.24409805514745486, 0.0, 2.157082252828498]","[-0.05151938545720487, -0.0028955514742363647, -0.038314442415520115]","[-0.03422768948274573, 0.0, 0.0410718299573389]","[0.011829976309090554, -0.13644835080372408, -0.005501758392907863, -0.9905601991769648]","[[0.9627010347505117, -0.014128007293849769, 0.2701904397561177], [0.0076712842641596364, 0.9996574429456767, 0.024938019096448678], [-0.27045078244190346, -0.02193519565951738, 0.9624816767623923]]","[-0.022784826242508216, 0.22019203095087914, -0.010714195790093955]",[0.5024967451182635],"[0.011398709334118136, -0.14579225761088097, 0.0, -0.9892445063465582]",[0.452879132706],"[-7.863779459078849, -0.04270988849251689, -6.594532796139866]","[932.6663090118877, 1024.1688175890458, 926.665960186732, 1052.6281559605875]"
15,0.29999999999999716,"[-0.18611541829033296, -0.03944066106781579, 2.194131834053807]","[0.24340647231454282, 0.0, 2.15791212311358]","[-0.05191658936521556, 0.0043604934227920895, -0.06836777891166167]","[-0.036217010474256496, 0.0, 0.043458598283161926]","[0.0118662924159, -0.137735842982, -0.0054497982467, -0.990382957139]","[[0.9619983479441981, -0.01406360218470517, 0.27269312515388633], [0.007525947028805568, 0.9996590550367231, 0.025005612657452363], [-0.2729518007522983, -0.022003082435088164, 0.9617761307546583]]","[-0.0041796495731399996, 0.154509197653, -0.013297115391599999]",[0.5206301123575913],"[0.011944846847957009, -0.14279151730148523, 0.0, -0.9896792985917459]",[0.452879132706],"[-7.705969407106387, -0.09011197336471277, -6.417065287529663]","[949.8215791737126, 1043.6720448901915, 938.2581235224588, 1076.8397531591536]"
16,0.3200000000000003,"[-0.18635139982351898, -0.03938827088019883, 2.1937718211217354]","[0.24264524922049982, 0.0, 2.1588255439210577]","[-0.04302668852577185, 0.005947583708556001, -0.09386704499440687]","[-0.03820627759434874, 0.0, 0.045845108033336676]","[0.012044842608654485, -0.1394216598550941, -0.005375227283857456, -0.9901439274447847]","[[0.9610627829841477, -0.014003121205877909, 0.2759655321863479], [0.007285873409110029, 0.9996494249907124, 0.025351101752002468], [-0.2762245072528271, -0.022353409311947285, 0.9608304126539196]]","[-0.01503236657900453, 0.1365045465362052, -0.009632084564071317]",[0.5286401106394244],"[0.010682351380716527, -0.14315770351762522, 0.0, -0.9896406524905811]",[0.452879132706],"[-6.500185915269799, -0.7798552309316037, -6.299996038166544]","[982.772548513031, 1082.666278411385, 981.3493038730727, 1107.2319881804158]"
17,0.3400000000000034,"[-0.1865564664336598, -0.03928956842516017, 2.193187173966925]","[0.24187825179639494, 0.0, 2.159745892073723]","[-0.025758909855646432, 0.0057633775135279945, -0.11522101463782032]","[-0.04019553941124261, 0.0, 0.048231592328824825]","[0.012210210699799998, -0.14098301531500002, -0.005306161786979999, -0.9899225449660001]","[[0.9601913683170767, -0.013948243004515718, 0.27899495192835827], [0.007062513716158599, 0.9996456110410288, 0.025670483077989536], [-0.27925410934206324, -0.022678168324078863, 0.9599495005322289]]","[-0.025083843238400003, 0.119829152682, -0.0062376376436400005]",[0.5333410948495968],"[0.009271085824364722, -0.1429815865434995, 0.0, -0.989681612667032]",[0.452879132706],"[-6.280404574726997, -0.5914398280222801, -5.693694797463763]","[1015.6684414864127, 1122.0019966722143, 1018.5332889628397, 1142.6031946755427]"
18,0.35999999999999943,"[-0.186409565495583, -0.039087807579684636, 2.19208981123701]","[0.24105311894775439, 0.0, 2.160735981739728]","[-0.010651387480137886, 0.009444739293570727, -0.12749308488619346]","[-0.04218474284051558, 0.0, 0.05061779637394453]","[0.01216301607632387, -0.14129590787262078, -0.0051819750934457, -0.9898791609685654]","[[0.9600173058324867, -0.013696227113266993, 0.2796056925737458], [0.00682188951737314, 0.9996504950754371, 0.025544216047760727], [-0.27985780635922053, -0.022615448546153855, 0.9597751336440791]]","[0.0018481306350847208, 0.037196179323581186, -0.012979474772910577]",[0.5411123396010334],"[0.008542410822822465, -0.13748650476120242, 0.0, -0.9904657121815592]",[0.452879132706],"[-6.774710188562617, -0.10211167668478038, -4.5311220871934985]","[1042.162042361293, 1162.2162748380101, 1056.8631051805853, 1160.45686558025]"
19,0.38000000000000256,"[-0.1859404148747225, -0.03880674402901068, 2.1910659764266183]","[0.24018883111836412, 0.0, 2.1617730390817536]","[0.0035984391159495244, 0.014847087326057086, -0.1278031703460238]","[-0.04417389852898128, 0.0, 0.05300377127382086]","[0.012458742750132461, -0.14156967432991324, -0.0051412543467630615, -0.9898366092753751]","[[0.9598633281465497, -0.013705563847437305, 0.28013358569924224], [0.006650443232651623, 0.9996368329844773, 0.02611993076628755], [-0.28038979996051955, -0.023208547952213558, 0.959605752597238]]","[-0.017742602337413156, 0.01686286231328069, -0.002007500714670844]",[0.5454239576530313],"[0.007013269275256868, -0.13597562966116586, 0.0, -0.990687139245463]",[0.452879132706],"[-6.751826656049652, -0.4236293264534621, -4.112257692935138]","[1049.8476960118855, 1174.0562234756621, 1076.2011131024783, 1160.6654542727367]"
