,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-1.5006940642003177, -0.0656210741400913, 1.8179964659495174]","[0.24981781116351648, 0.0, 2.150218626599082]","[-0.0738800348005589, 0.03247382433842143, -0.003068383273110142]","[-0.005963702755433902, 0.0, 0.00715644302308145]","[-6.571436643046354e-05, -0.23785523102787517, -0.005867373234285281, -0.971282892152201]","[[0.8867809239099277, -0.011366497477047707, 0.4620502045539984], [0.011429019500284378, 0.9999311371278196, 0.002663516352570333], [-0.46204866227113967, 0.0029188253121004534, 0.8868497674105127]]","[-0.008414572441797507, -0.06634154053430272, 0.01304240542514139]",[0.8190472809566187],"[0.000641217603603204, -0.3369040037483307, 0.0, -0.9415203991032416]",[0.5035470810371371],"[-19.493441323552926, -0.11237112162577916, -11.47767490178795]","[1242.7779659286975, 1336.2483127474043, 1191.5688266655889, 1389.1390396911977]"
1,0.020000000000010232,"[-1.5023230874808955, -0.06519224158824609, 1.818040096244384]","[0.2496736633449636, 0.0, 2.1503916039693456]","[-0.07792891026749832, 0.020907217855502737, -0.0019394261111641935]","[-0.00795313930838159, 0.0, 0.009543766038085946]","[0.0001356618674073304, -0.23729174565267278, -0.005980325998344239, -0.9714199527449858]","[[0.8873136061412735, -0.011683198880093516, 0.46101825009300385], [0.011554433114751168, 0.9999283144427745, 0.003101733281090586], [-0.46102149530177444, 0.002574594701786084, 0.887385097931082]]","[-0.029454382684599496, -0.07360329790026215, 0.0193565287049518]",[0.8655884873461859],"[0.008836353520722677, -0.34777704395518216, 0.0, -0.9374902464545621]",[0.5036685665181816],"[-20.550159634534346, -0.1382615852133851, -13.618072634178354]","[1220.8897586469589, 1407.4240402261348, 1224.3924752219043, 1425.033827515595]"
2,0.03999999999999204,"[-1.5039293536966454, -0.06482817877328641, 1.8182236215496586]","[0.24950092776811422, 0.0, 2.1505988866234254]","[-0.07055067892083992, 0.0333682792322848, 0.02385933101623898]","[-0.009942575585892942, 0.0, 0.011931087731041939]","[0.0007965411944788725, -0.23640041882662732, -0.006149270558369244, -0.9716359436272223]","[[0.8881540698764323, -0.012326309947175328, 0.4593804917463297], [0.011573099259225457, 0.999923116963493, 0.004455276381224343], [-0.4594000843355927, 0.0013594841606826076, 0.8882284279774835]]","[-0.046646234257289254, -0.10398589344351666, 0.020955244324802107]",[0.971382933949334],"[0.0006049399757701876, -0.3605584064055739, 0.0, -0.9327342917160123]",[0.503714141937],"[-21.738848663961964, 0.2422654214376828, -16.421722664120715]","[1219.5957365487243, 1546.9279912451486, 1248.7523517277732, 1554.9279912451486]"
3,0.060000000000002274,"[-1.505293184205476, -0.06444562036033875, 1.8188727959874542]","[0.24928093997939188, 0.0, 2.1508628718673983]","[-0.05762860220427339, 0.02459819918860381, 0.03399311457883526]","[-0.011932011129468595, 0.0, 0.014318405901027903]","[0.0011439955438136843, -0.23619578558162554, -0.0061993989822610425, -0.9716844241029193]","[[0.8883450470957638, -0.012588132712070994, 0.4590013476072168], [0.011507305007379186, 0.9999193278971977, 0.005151749127831965], [-0.4590297159464569, 0.0007053385231643424, 0.8884192947396378]]","[-0.0718829335168511, 0.027626416156815783, 0.02745967779200365]",[1.0536761335756013],"[0.0058098899314488976, -0.3590673838201544, 0.0, -0.9332927079391132]",[0.503714141937],"[-21.83002208813351, -1.2891407054176884, -17.845503520448556]","[1299.616782846015, 1787.6517810169642, 1316.5533671350229, 1790.6607441537217]"
4,0.0800000000000125,"[-1.5061319415653776, -0.06410974786675895, 1.8204233129594765]","[0.24901742589341846, 0.0, 2.1511790885356326]","[-0.023943372025783963, 0.019782479541306533, 0.096574966735639]","[-0.01392144543214201, 0.0, 0.0167057181146808]","[0.0019648483482336745, -0.23869842568633046, -0.0062599781102938325, -0.9710700348576584]","[[0.8859647474764115, -0.013095766738413952, 0.46356117728808627], [0.011219741908670892, 0.9999109030686136, 0.006804504547534629], [-0.4636103769186862, -0.0008275168685025185, 0.8860354008702311]]","[-0.09180183239347023, 0.3082665859626015, 0.031235604525476593]",[1.0618751973815086],"[0.007788051090344735, -0.3612080970716987, 0.0, -0.9324506274033757]",[0.503714141937],"[-20.479879564762623, -2.0444821828003095, -12.470224961910297]","[1408.3737321862982, 1930.6011262204065, 1435.266334521278, 1893.6339103869147]"
5,0.09999999999999432,"[-1.506387012013503, -0.06387644838594549, 1.823024255006976]","[0.24872408250472838, 0.0, 2.151531100163779]","[0.015908575176292433, 0.003865940984189185, 0.17861488488779942]","[-0.01591087827398586, 0.0, 0.01909302331650694]","[0.0030099621453215293, -0.24364037331238442, -0.006407460574806284, -0.9698315788910122]","[[0.8811806642275343, -0.01389501181337715, 0.47254168343473524], [0.010961618610408019, 0.9998838074988978, 0.00896054485245909], [-0.47261882828984647, -0.0027160805067383375, 0.8812446555853372]]","[-0.0708451174452157, 0.6292404368681834, 0.019972956670348267]",[1.0409622787813992],"[0.0195235649107374, -0.3674304996606331, 0.0, -0.9298434859231246]",[0.503714141937],"[-18.778565307760868, -0.5224402105097463, -9.696967797202355]","[1549.6581283491294, 1994.415328746666, 1566.4038458359214, 1958.5775568236802]"
6,0.12000000000000455,"[-1.5054523932023018, -0.06365856075635261, 1.8276529985719598]","[0.24838099428547128, 0.0, 2.1519428051382614]","[0.07594913229447094, 0.019318323145923202, 0.26952530168681493]","[-0.017900307992624494, 0.0, 0.021480313526886126]","[0.0035493435082424854, -0.25297015766133363, -0.006395321016667406, -0.9674261479259259]","[[0.8718911487320287, -0.014169757525557193, 0.489414491950769], [0.010578245578059864, 0.9998537543877496, 0.010103106167452226], [-0.4895052887153035, -0.00363180470392745, 0.871947753315162]]","[-0.057837523994890463, 0.9953340538564422, 0.010582454044488612]",[1.0107814194317126],"[0.014628119650529844, -0.36924768953876713, 0.0, -0.9292096053487495]",[0.503714141937],"[-16.74738396938442, 0.9904250655339605, -7.1815490508518]","[1731.959589152299, 1969.9773589934239, 1676.195096407612, 1984.3666466477707]"
7,0.13999999999998636,"[-1.503582807115006, -0.06327338806569979, 1.8336222288823485]","[0.24801055286344714, 0.0, 2.1523873335214456]","[0.146900339041847, 0.024709765587642547, 0.3644730547439353]","[-0.01988973506634763, 0.0, 0.023867591041439516]","[0.0036803814757462214, -0.2637438664004395, -0.006277098049036853, -0.964561173979329]","[[0.8607915745324182, -0.014050646207208412, 0.5087479825793483], [0.010167934046240957, 0.9998861382445099, 0.01041099837233037], [-0.5088403910408726, -0.0037888139354198304, 0.8608432880366386]]","[-0.02446835300921907, 1.219524969793643, -0.007357573624291685]",[0.9506021271804468],"[0.012978061867485825, -0.372092624936774, 0.0, -0.9280501982530471]",[0.503714141937],"[-14.449919199874573, 1.6888741245122358, -2.8408085367539613]","[1828.8690734654488, 1944.8246100617935, 1750.33269294346, 1996.8618843610645]"
8,0.1599999999999966,"[-1.4995566139741563, -0.06267701976227819, 1.842738570012628]","[0.24758291686442044, 0.0, 2.1529004940378305]","[0.23195141214974532, 0.04889879933400029, 0.4702272603318498]","[-0.021879154727622835, 0.0, 0.026254832976832645]","[0.004048770023846139, -0.27641485691439305, -0.006159851782275697, -0.9609600362396378]","[[0.8470174668914079, -0.014077023157494331, 0.531197382188764], [0.009600462410211476, 0.9997950280600046, 0.011186761475705501], [-0.5312971414817537, -0.004376063279659077, 0.8470605693619552]]","[-0.045250511265585686, 1.3178166085504228, -0.00384196897804357]",[0.8895321745776872],"[-0.0022735142790687407, -0.3770035554452885, 0.0, -0.9262043614759244]",[0.503714141937],"[-13.091768207499362, 0.6727711279958241, 0.8658467861317263]","[1867.9913847911907, 1939.0450145345173, 1808.1373579089925, 1980.0233484262224]"
9,0.18000000000000682,"[-1.4946733701869266, -0.062019342169716114, 1.8529605291831623]","[0.24713414315360233, 0.0, 2.1534390190867687]","[0.31510453756970275, 0.04094997046392961, 0.5716048656788406]","[-0.0238685707886549, 0.0, 0.028642057630858725]","[0.004495089091625949, -0.28914974235251534, -0.006009759036902605, -0.9572443008501773]","[[0.8326931666298788, -0.014105122880506228, 0.5535198571139047], [0.008906107469725248, 0.9998679019830474, 0.012081237383787658], [-0.553627914723065, -0.005130356275303302, 0.8327249893853588]]","[-0.07644750624817691, 1.3514569315625022, 0.0027809367818361266]",[0.8451915707291986],"[0.00039351867871930904, -0.3797579259343402, 0.0, -0.925084315368741]",[0.503714141937],"[-13.002693671499049, -1.3549145322466445, 4.031415786492978]","[1894.990525310838, 1940.9309734545748, 1859.722051682431, 1946.8211046634767]"
