,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.4294634908299535, -0.014656782668560653, 2.205396446892189]","[0.24863219372003134, 0.0, 2.1516413664827883]","[0.002377249434685223, -0.00048051480677276884, -0.02949539760098721]","[-0.016451208957629082, 0.0, 0.01974141370352259]","[0.0008997030373624102, 0.028447486647024452, 0.007685708845643934, -0.9995650797296048]","[[0.9982628284634141, 0.015415920930432526, -0.05685639880569431], [-0.015313543769865906, 0.9998797285253684, 0.0022359016760669973], [0.056884058228065144, -0.0013613452770295034, 0.9983793497732232]]","[-0.00553995810037532, -0.08807347347748234, 0.003655295745043514]",[0.4513800287445088],"[0.006712415375620509, 0.06282631986925603, 0.0, -0.9980013317263653]",[0.44736245282700005],"[1.4879646574190453, -0.058514832830363794, -0.19052179646574885]","[1015.0320697842834, 960.2786472048209, 944.3305291557307, 918.4913321915766]"
1,0.020007987220449053,"[0.42952823314005184, -0.014546275874604131, 2.2050825520970827]","[0.24828813927868723, 0.0, 2.152054230903719]","[-0.00036239384408091527, -0.0010406018349067884, -0.029633944729776245]","[-0.01844143304769822, 0.0, 0.02212965668391421]","[0.0010018054191414732, 0.02999699660520123, 0.007634532859819171, -0.9995200480257663]","[[0.998083224122208, 0.015321839608915616, -0.059949902342135805], [-0.01520163499388738, 0.9998808565046773, 0.0024606753138621024], [0.05998049560770213, -0.0015446230887489307, 0.9981977890779876]]","[-0.006714133942810976, -0.16392797830253142, 0.0052172287357164235]",[0.4529608199759729],"[0.00630078552556603, 0.06354824244738963, 0.0, -0.9979549434447375]",[0.44736245282700005],"[1.5744179968997123, -0.06462281583982511, -0.2772578095215472]","[1039.199300032848, 941.3823850825302, 939.6736294906367, 927.1500630983979]"
2,0.04001597444089455,"[0.4295318426234628, -0.014410397824309421, 2.2048508391953936]","[0.24789500212285595, 0.0, 2.15252599371808]","[-0.0025567562366343374, 0.0062181546689365295, -0.016268522022534627]","[-0.020431652057975983, 0.0, 0.0245178752815202]","[0.0010151341992388036, 0.031856355763778835, 0.007585233500233307, -0.9994621565925038]","[[0.9978532697881796, 0.015226984617199636, -0.06366304400581828], [-0.015097630712403916, 0.9998808635983916, 0.0025124522258735695], [0.06369384412555947, -0.0015459006381345068, 0.9979662803278008]]","[-0.0035952869822538616, -0.19657367770300174, 0.00459315842238077]",[0.4483872018988785],"[0.0030541283606058843, 0.06692023010256436, 0.0, -0.9977526943478641]",[0.44736245282700005],"[1.270767388620084, -0.13220812271528368, 1.8720860333868785]","[1027.8448823754954, 952.7377560833935, 948.0412611986216, 923.4017195845566]"
3,0.060023961661343606,"[0.42947082657121316, -0.01428044076209736, 2.2049366490020117]","[0.24747046136496073, 0.0, 2.1530354400890293]","[-0.006548940000659128, -0.000872612905337326, -0.005946054998810641]","[-0.02242186690029394, 0.0, 0.02690607387296804]","[0.0012217756396465695, 0.034318853228808587, 0.007501231186533049, -0.9993817057919412]","[[0.9975312344510694, 0.01507704631518534, -0.06857693851819786], [-0.014909326559763084, 0.9998838163535231, 0.002956907749942036], [0.06861359780432212, -0.0019271731414380786, 0.9976407859182698]]","[-0.0038294718894958113, -0.2669833750490661, 0.007697544752256367]",[0.44488538700450786],"[0.00532340606535254, 0.06768504670504982, 0.0, -0.997692177141379]",[0.44736245282700005],"[1.1101947195929263, -0.05726726237786263, 0.3839102914662327]","[1002.6116321713729, 982.6211541880962, 935.2247492931689, 941.9086304023946]"
4,0.0800319488817891,"[0.42934575334503977, -0.014185367291445226, 2.205202605830608]","[0.2470023524400656, 0.0, 2.153597166638797]","[-0.012219113513621071, 0.006937691389683592, -0.010586487260148563]","[-0.024412073811240723, 0.0, 0.029294234394285745]","[0.0015228051499470265, 0.03769179503340156, 0.0074639469411112505, -0.9992590893273985]","[[0.9970446646221668, 0.015031628165500922, -0.07530500528670189], [-0.014802039127150475, 0.9998813695767973, 0.003606012891207376], [0.07535046983406532, -0.0024806946582291768, 0.9971514477589968]]","[-0.03353824256016068, -0.32391181790693263, 0.004725145033218506]",[0.44894765048668855],"[-0.00022931676866004547, 0.06671129243708626, 0.0, -0.9977710955611495]",[0.44736245282700005],"[1.2153870944658858, 0.26113015657315314, 0.1982845753710336]","[986.1185743441681, 986.529439962821, 928.4449753807424, 934.8959743099508]"
5,0.10003993610223816,"[0.4290558003560904, -0.014021752355159992, 2.205676094025688]","[0.24649168311080902, 0.0, 2.154209963427256]","[-0.01784793270418467, 0.0029900455706496423, -0.0004721112055835041]","[-0.02640227063809707, 0.0, 0.03168234651192961]","[0.0017736959372433106, 0.041723375897658815, 0.0073796256567626875, -0.9991001154222369]","[[0.9964088876628735, 0.01489397885552451, -0.08334548092622104], [-0.014597960526253497, 0.9998842758609126, 0.004160005421769722], [0.08339783777440415, -0.0029283938407252547, 0.9965115134179858]]","[-0.02888207935559904, -0.34592637862833203, 0.007976498514241436]",[0.44600053994193745],"[0.0024898167768300436, 0.06728407831035613, 0.0, -0.9977302109278887]",[0.44745102000909176],"[1.3192800098011155, -0.3029853941444058, 1.697184144495786]","[986.1094979204997, 977.5349399072858, 902.3527773978361, 948.7085463181284]"
6,0.12004792332268366,"[0.428638210731985, -0.013859590631713927, 2.2062076707076455]","[0.24594149893026407, 0.0, 2.154870175080822]","[-0.025317932072583624, 0.004883282078590504, 0.007904340264452752]","[-0.02839245531223172, 0.0, 0.03407040029705257]","[0.0019328782468792393, 0.044202278815556516, 0.007315172389013852, -0.9989907826562466]","[[0.9959789666508883, 0.014786454826702789, -0.08828705954311908], [-0.014444704333962466, 0.9998791775192302, 0.0045085496843043525], [0.08834361689345066, -0.0032151605262121484, 0.9960785181084157]]","[-0.028966357702551446, -0.35265954026425156, 0.00877051182118737]",[0.4435829524191219],"[0.0016166800974348628, 0.06740584119947655, 0.0, -0.997722966266331]",[0.447658434969],"[1.0496426388114164, -0.3200844207438449, 0.5498266372311278]","[967.0747391974168, 996.5840187843022, 905.7460858957055, 953.0797109657664]"
7,0.1400559105431327,"[0.42805056399430524, -0.013689495615807736, 2.2068322506978952]","[0.24535627969775967, 0.0, 2.1555724255921125]","[-0.03546980778065395, 0.00043908657042696433, 0.0036881206112903174]","[-0.030382627438870494, 0.0, 0.036458393854733484]","[0.002348744784591518, 0.048658879243018795, 0.007233436742539777, -0.9987846975577769]","[[0.995156379541348, 0.014677866436094021, -0.0971655089828304], [-0.014220717280709587, 0.9998807193955951, 0.005395722548571806], [0.09723346697012526, -0.0039878388487027735, 0.9952499915514383]]","[-0.02927203713807182, -0.3533015209100747, 0.007932799986883678]",[0.4454290918442768],"[0.003506004505084305, 0.06519933121501165, 0.0, -0.9978653260410817]",[0.447658434969],"[1.3982431305737955, -0.1317353616250696, -0.19931381100070666]","[962.8292134708729, 993.1594076348812, 920.7280363087166, 934.8271393078983]"
8,0.1600638977635782,"[0.4273320189513661, -0.013544881302639023, 2.207261035521278]","[0.24472732939522665, 0.0, 2.156327147797539]","[-0.04245693791260273, 0.005073692636833239, 0.0033621693607533195]","[-0.032372779423962834, 0.0, 0.03884629073426483]","[0.002601025726527518, 0.0520806799829179, 0.007106755756585786, -0.9986126819277454]","[[0.9944711506368876, 0.014464719228760383, -0.10397988531961452], [-0.013922866474797919, 0.9998824144221937, 0.005935083897612423], [0.10405382473783464, -0.004454585208510407, 0.994558631921995]]","[-0.020121375715760625, -0.3213380546635168, 0.011798999955136995]",[0.44635312795525806],"[0.0006439711858833749, 0.06545189740340407, 0.0, -0.997854816331168]",[0.447658434969],"[1.4913782109274802, 0.16800254760500724, 0.26328905011308734]","[965.5678255048023, 979.2975268541815, 903.5591136971252, 943.8731624810113]"
9,0.18007188498402726,"[0.4264049439019348, -0.013402157954068862, 2.2078399010566643]","[0.24406109951887237, 0.0, 2.1571265995665945]","[-0.05421325373602345, 0.0038304568037719165, 0.004151558498931554]","[-0.03436291120735411, 0.0, 0.04123409064708293]","[0.002534682786706704, 0.055312330023946386, 0.006986902040965377, -0.9984409856791242]","[[0.9937825558479224, 0.014232417142858585, -0.11041677545796481], [-0.013671620299641236, 0.9998886143196198, 0.005834386022956425], [0.11048761377930737, -0.004288538696816979, 0.993867340214524]]","[0.008609703679433494, -0.29033303371121905, 0.014688666813056432]",[0.44663834200513447],"[0.0014205311522650617, 0.06331650431136572, 0.0, -0.9979921376458075]",[0.447658434969],"[1.2330542550820867, -0.39580376222338187, 0.6405985121747477]","[976.5473288219367, 965.8905322285311, 874.2005996269776, 974.5413652770934]"
