,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-0.14598539674763025, -0.024818657193865525, 2.1243225685699976]","[0.24965476335634307, 0.0, 2.150414283953123]","[-0.044761709837136655, -0.016678622733524346, -0.03411659022665584]","[-0.008279161307753876, 0.0, 0.009934992418714515]","[0.003143048315446998, -0.05925600300747438, 0.0014865886795495996, -0.9982367594921588]","[[0.9929730229157954, 0.00259544597147711, 0.11831238568536773], [-0.003340423893208169, 0.9999758131952126, 0.0060988341241456625], [-0.11829369600518763, -0.006451191337210736, 0.9929576853021732]]","[-0.014140659472813505, 0.013783042821936615, 0.00991945697669854]",[0.4795170554396625],"[0.0070175412229172875, -0.062044112587507735, 0.0, -0.998048540122861]",[0.460229487135],"[-3.1973508005345646, -0.16481885692865653, -0.8966937986675276]","[975.5218510304036, 1074.9784981726432, 939.4896694609434, 1056.3280970705184]"
1,0.019999999999999574,"[-0.14658639587579153, -0.02506804318164906, 2.124213825738152]","[0.2494647068540037, 0.0, 2.1506423517099984]","[-0.03251100863976783, -0.013021189811925371, -0.02855638633697979]","[-0.010268597382377178, 0.0, 0.012322313137736967]","[0.003222526033703059, -0.059202172976984435, 0.0013593588154882093, -0.9982399107370407]","[[0.9929865589207468, 0.0023323713579248705, 0.11820470487431167], [-0.003095493532605367, 0.9999755841430645, 0.0062727542089984194], [-0.11818718259762345, -0.006594662191927706, 0.9929694852854495]]","[-0.013456926113222774, -0.003960390321379376, 0.00991095745907745]",[0.4788761893741291],"[0.006369643430224869, -0.05977401167743989, 0.0, -0.9981914746768981]",[0.460229487135],"[-3.1901714507203427, -0.16929242720254414, -0.861148650269115]","[972.4946632588043, 1081.9219640780534, 929.2112874606468, 1071.8737786257097]"
2,0.03999999999999915,"[-0.14733452838219557, -0.0254152120120591, 2.124102804098679]","[0.24924071225249764, 0.0, 2.1509111451194154]","[-0.03705182365510471, -0.014220756642321114, -0.024943613387381137]","[-0.012258032866938218, 0.0, 0.01470963102442105]","[0.0036323312697676725, -0.058759846971207355, 0.001225732146368934, -0.9982648067306212]","[[0.9930915961520036, 0.0020203400692764273, 0.11732467909087362], [-0.0028740809875175462, 0.9999706477232563, 0.007108009279295779], [-0.11730687003005914, -0.007396104612689091, 0.9930682133296862]]","[-0.03347083005188937, -0.05466900581264997, 0.011039416170708298]",[0.478894971391556],"[0.0066810287179327335, -0.060742039767511934, 0.0, -0.9981310333513779]",[0.460229487135],"[-3.1129273694660964, -0.9713018409563465, -0.3926500099134991]","[953.1745044358166, 1104.9184575514034, 924.1361931913453, 1076.1638873904533]"
3,0.05999999999999872,"[-0.14807618747982415, -0.025757949121924344, 2.123998894273753]","[0.24897906073876644, 0.0, 2.151225126705015]","[-0.029971620538768694, -0.02259430237920989, -0.021720501286146665]","[-0.014247467221866577, 0.0, 0.01709694348907573]","[0.0038603185044850793, -0.05810228805710864, 0.0011682800992815416, -0.9983025060571533]","[[0.9932455549030871, 0.001884007226299368, 0.11601633941670368], [-0.0027811805772584835, 0.9999675025401173, 0.007571771780692826], [-0.11599829968356097, -0.007843290768132201, 0.9932184805419556]]","[-0.03444131811344059, -0.06235058766178622, 0.0026173440736926585]",[0.478726291221901],"[0.00840250664325296, -0.05943801549208007, 0.0, -0.9981965277455805]",[0.460229487135],"[-2.560195333474177, -0.8419787344202758, -0.5935349732199384]","[967.3085963452274, 1090.9387034957679, 922.8781385729895, 1073.0751776974562]"
4,0.0799999999999983,"[-0.14853739677236427, -0.02616806977599137, 2.124000483511738]","[0.24866990437912564, 0.0, 2.151596113805323]","[-0.029313564266103057, -0.02251076245447126, -0.022293141825748843]","[-0.01623689934691132, 0.0, 0.019484245249909125]","[0.004317146595979561, -0.05751683200091583, 0.0011324501198728206, -0.9983345228155219]","[[0.9933809887933315, 0.0017645109091026618, 0.11485185596534994], [-0.00275774529103979, 0.9999600852107123, 0.008489643087055534], [-0.11483230015262944, -0.008750182860232103, 0.9933462781704172]]","[-0.042908492450373065, -0.06145150702067682, -0.00023188899132634997]",[0.47920776496622147],"[0.008463575369756697, -0.05927090440823753, 0.0, -0.9982060533057954]",[0.460229487135],"[-2.581166002062978, 0.09408847084190106, -1.5473582370422818]","[972.8213763505044, 1086.0166223889344, 919.0893939983644, 1075.7123011099757]"
5,0.10000000000000142,"[-0.1490590998519467, -0.026652067838233585, 2.1238289855119445]","[0.24832570984475758, 0.0, 2.1520091463209767]","[-0.02233884370923965, -0.0214569673733496, -0.03149267570412196]","[-0.018226328832746476, 0.0, 0.021871534342967455]","[0.004797753460725965, -0.056726447995771756, 0.0010840484930131574, -0.998377591278104]","[[0.9935617681411866, 0.0016202604221934587, 0.11327923101838037], [-0.00270889847093908, 0.9999515110690808, 0.009456950646403943], [-0.11325842702874457, -0.009702927528259166, 0.9935180815869172]]","[-0.04255605898208414, -0.0773712437569087, 0.0006185311868170788]",[0.4807898978450736],"[0.008323283210507732, -0.05773348019202048, 0.0, -0.9982965619846635]",[0.460229487135],"[-2.715430403692136, -1.2973751777486435, -2.7708226997588916]","[972.5243707845018, 1087.2671486256572, 916.1476966200764, 1078.0726973243573]"
6,0.120000000000001,"[-0.14960435426437793, -0.02729319970600961, 2.1238721931191535]","[0.2479454982856475, 0.0, 2.152465398723939]","[-0.023251019954242207, -0.034474886267317116, -0.043440716922866725]","[-0.02021575502938821, 0.0, 0.024258807648013653]","[0.005242450553240972, -0.05583850197374656, 0.0010559566950061592, -0.9984255728898528]","[[0.9937620545410201, 0.0015231271651879705, 0.11151224824641803], [-0.00269404950744563, 0.9999429645707579, 0.010350467313936101], [-0.11149010504337831, -0.010586319473929271, 0.9937093180544971]]","[-0.03897183933747642, -0.07456840660595676, -0.0014046008068991354]",[0.4829268620996644],"[0.010941915149010736, -0.05767812003660315, 0.0, -0.9982752215845178]",[0.460229487135],"[-2.4446943755683206, -0.4299144115183101, -0.907323993004173]","[969.890784088315, 1093.459318081466, 911.8206250006967, 1083.143030008941]"
7,0.14000000000000057,"[-0.14989677885760952, -0.02775016625641131, 2.123961163397019]","[0.24751896764189277, 0.0, 2.1529772328979058]","[-0.013606869495835392, -0.023802663181118268, -0.02862747647619559]","[-0.02220517507807811, 0.0, 0.026646051442316555]","[0.005860908086516926, -0.055176800304745095, 0.0011106051461062907, -0.9984587970589383]","[[0.9939086069323203, 0.001571014646189086, 0.11019654162503757], [-0.002864559266565927, 0.9999288650288626, 0.011581191198745129], [-0.1101705050063106, -0.011826309752201645, 0.9938423733327042]]","[-0.06571971974825197, -0.06689986185201109, -0.0020031451992954894]",[0.4811678147351172],"[0.00899199053194992, -0.05599417331017173, 0.0, -0.9983901536141491]",[0.4603381189348891],"[-2.280394238299949, 0.39420285834253094, 0.9472127563605497]","[951.0457787464647, 1117.0632722100802, 948.6501081477404, 1052.8091548534576]"
8,0.16000000000000014,"[-0.15019813371402896, -0.02841899159584751, 2.124067856884995]","[0.24705482990812214, 0.0, 2.1535341942042665]","[-0.01304152933813926, -0.02782329357197818, -0.017584281800069233]","[-0.024194588318002353, 0.0, 0.029033262555257597]","[0.006536751146831661, -0.05453164401100179, 0.001093432668102106, -0.9984900361746871]","[[0.9940501856621413, 0.0014706436756006494, 0.10891290139691508], [-0.002896482821710777, 0.9999121278281153, 0.012934508416115858], [-0.10888431140792627, -0.013173015140143633, 0.9939671186210295]]","[-0.06369420519332517, -0.07488966126350662, -0.004770036890648376]",[0.48006141039413214],"[0.009927516492151367, -0.055991287973100455, 0.0, -0.9983817659028541]",[0.46035254543799997],"[-2.40066323797055, -1.0682616491189767, 0.9906967307600674]","[953.3096096767549, 1120.6988048268654, 940.8246974737831, 1062.187428617613]"
9,0.17999999999999972,"[-0.15044574218729778, -0.029064510956903513, 2.1242746305746834]","[0.24655281006118054, 0.0, 2.154136612145415]","[-0.004854342374693161, -0.03252717503867201, -0.0020011732198530734]","[-0.026183992951928897, 0.0, 0.0314204323592342]","[0.006659336831593217, -0.053761110446186804, 0.001172814235423176, -0.9985309111355076]","[[0.9942166947705058, 0.0016261558483763102, 0.10737988152504428], [-0.003058209219982881, 0.9999085152292467, 0.013173003756731147], [-0.10734864086490599, -0.01342521093930493, 0.9941307522228942]]","[-0.01904500112423499, -0.07114864391238616, -0.010268022238575406]",[0.4781395485505761],"[0.011014660426656076, -0.054563998057612174, 0.0, -0.9984494225180767]",[0.46035254543799997],"[-2.1561293208875587, -1.2665517615797195, -0.08819834784686265]","[978.7598821302535, 1095.4999417482952, 914.2949321427823, 1083.2939761645785]"
10,0.1999999999999993,"[-0.1505305895384991, -0.029492424035068472, 2.1244176767274614]","[0.24600987216974002, 0.0, 2.1547881289769566]","[-0.002721582542634803, -0.039059984013534665, -0.006343319910398143]","[-0.028173385874190285, 0.0, 0.0338075459481804]","[0.0067414828775552655, -0.05338769976125645, 0.001219369065229474, -0.9985503699381991]","[[0.9942965555483874, 0.0017153783347270315, 0.1066370554048536], [-0.003155027389977318, 0.9999061533372068, 0.01333322182352442], [-0.10660417398215494, -0.01359361906173496, 0.9942086340874451]]","[-0.01315684362059888, -0.05261151658259479, -0.015222450372806964]",[0.47914791300470705],"[0.012364177322027103, -0.05396072128062441, 0.0, -0.9984664823268535]",[0.46035254543799997],"[-2.419371770174901, -0.1416830047223833, -1.4804387099817937]","[974.9771197840122, 1095.6917015048343, 923.1757023320472, 1067.5923377981933]"
11,0.21999999999999886,"[-0.150657327893689, -0.030481135774695273, 2.1249401496929163]","[0.2454255422717828, 0.0, 2.155489312400251]","[0.0020845107258323924, -0.030942162148635613, -0.007310207720239142]","[-0.030162763902728734, 0.0, 0.03619458804725321]","[0.007135162064899348, -0.052673246566949515, 0.0014138154241341142, -0.9985853226373941]","[[0.9944470873465646, 0.0020719663614382016, 0.10521763743919468], [-0.003575294964396553, 0.9998942080789852, 0.014101195728424075], [-0.10517728623047048, -0.014399076722166365, 0.9943492640192869]]","[-0.02374707944326314, -0.060621542000685875, -0.017826474357696413]",[0.47955208395216997],"[0.010937162589025808, -0.05290282841265612, 0.0, -0.9985396657176044]",[0.46035254543799997],"[-2.6819117273387993, -0.04184643677225852, -1.1555060467136045]","[966.5965309858685, 1103.0648579807778, 920.8914956669698, 1065.0305116767365]"
