,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.3316335731959874, -0.07056132569057272, 2.176281202837238]","[0.24988463078124454, 0.0, 2.1501384430589217]","[-0.004172088567929971, -0.006950946489285889, -0.015916951228890492]","[-0.004750562553960902, 0.0, 0.005700674973595631]","[0.010116006190859983, 0.013102974465401903, 0.010939339944341658, -0.9998031629892534]","[[0.9994173412063103, 0.022139472896356316, -0.025979465768950723], [-0.021609273813113575, 0.9995560499234852, 0.02051470575679948], [0.026422115491354252, -0.019941354188963242, 0.9994520123606391]]","[-0.00020519012215830046, -0.0013292689889955445, -0.015502660170688966]",[0.49138192113282697],"[0.012183924149346898, 0.01762214399883258, 0.0, -0.9997704362368094]",[0.48575928137400004],"[0.6816457651243601, -0.5382621192544823, -0.2858488788540683]","[1059.5029499527438, 1076.7810124877471, 944.3848074228407, 1013.0122952933]"
1,0.019999999999999574,"[0.3316196099180892, -0.0706311881461665, 2.1762197807990162]","[0.24976344804846573, 0.0, 2.1502838623327603]","[-0.002710182998951493, -0.004217461789003217, -0.006141251414256033]","[-0.006739999221762032, 0.0, 0.008087998539887856]","[0.010191141643030768, 0.0131495678921643, 0.011077714115419546, -0.9998002385722238]","[[0.9994087495312903, 0.0224190206487301, -0.026068093124152557], [-0.021882984212995314, 0.999546853066815, 0.020669545999752365], [0.026519671338677525, -0.02008687738434958, 0.9994464622953596]]","[-0.013249291305688065, -0.0024729548038722703, -0.017558969434377274]",[0.49030136407629393],"[0.011740127046571217, 0.018457542494139986, 0.0, -0.9997605309811786]",[0.48575928137400004],"[0.6824670938676672, -0.5411322156489206, -0.2280376869140106]","[1073.880641613656, 1072.6265137026026, 949.8783380996638, 1017.3007104594091]"
2,0.03999999999999915,"[0.33162197551874834, -0.07072904717802782, 2.1762429062667166]","[0.24961573070250068, 0.0, 2.1504611231287076]","[-0.0025802303664108073, -0.005826089713818273, -0.0070910186699359185]","[-0.008729435729299373, 0.0, 0.010475321336894286]","[0.010375000245245864, 0.01319380822978684, 0.011174060583906974, -0.9997967331090558]","[[0.9994022119600922, 0.022617350061945256, -0.026150390968219663], [-0.02206980700746619, 0.9995350838511232, 0.021040639527389115], [0.02661411449341337, -0.02045092587742076, 0.9994366499597801]]","[-0.021348942710799866, 0.0020459741917080547, -0.01666781872108962]",[0.4908170915813256],"[0.012138950902920732, 0.018970849480303573, 0.0, -0.9997462678012619]",[0.48575928137400004],"[1.0864102318478834, -0.5738727420020872, 0.8447058448260663]","[1098.0049391490113, 1066.3186557064164, 952.6278870180375, 1031.69570783739]"
3,0.05999999999999872,"[0.33163864188593056, -0.0708115266310512, 2.176234651588023]","[0.24941663307681705, 0.0, 2.1507000402238305]","[0.0021555252377384666, -0.0042241991578008346, 0.009380366573266245]","[-0.0107188717001871, 0.0, 0.0128626415582214]","[0.010395224441897966, 0.013322675726605894, 0.011267451566731129, -0.9997937511957004]","[[0.9993911564678425, 0.02280723974532536, -0.026405600505485648], [-0.022253270927946583, 0.9995300224624801, 0.02108638608555039], [0.02687411125718319, -0.020485935671595203, 0.9994289460150648]]","[-0.01857213939466793, -0.01948468387366014, -0.014629505207298348]",[0.48877210809076455],"[0.011949094543450247, 0.02053032198731356, 0.0, -0.9997174598896695]",[0.48575928137400004],"[0.7398727173504567, -0.41201058561939913, 1.0147052196544522]","[1080.817367351953, 1080.2587196270688, 957.467969818629, 1023.6081171603927]"
4,0.0799999999999983,"[0.33166935666879216, -0.07085555872137402, 2.176350814490903]","[0.24918779255359427, 0.0, 2.1509746487289534]","[-0.00165203007920599, -0.004967403248213183, 0.008406465717363323]","[-0.012708307037981053, 0.0, 0.015249958740329009]","[0.010532491521416727, 0.013617931980322883, 0.011357444915559426, -0.9997873208934093]","[[0.999371180770439, 0.022996920354887224, -0.026990827076875216], [-0.022423197342399306, 0.999520210157983, 0.02136983278572026], [0.027469315845987566, -0.020751173136398852, 0.9994072971251615]]","[-0.013361785814343066, -0.03986072561214636, -0.013753849735255752]",[0.48927034149465826],"[0.012166139461062297, 0.02026228619616647, 0.0, -0.999720652628646]",[0.485757659886796],"[0.48752401520112454, -1.0839900213715565, -0.14764221172275427]","[1073.4425017019241, 1086.822321194443, 977.1973656579282, 1003.0727828098945]"
5,0.10000000000000142,"[0.3317107644758455, -0.07092765813511064, 2.1765450028314746]","[0.2489141067156308, 0.0, 2.1513030714489996]","[0.00011095885200364817, -0.009902832857861386, 0.012482373716855108]","[-0.014697740975257551, 0.0, 0.017637269200008618]","[0.010655164828568127, 0.014022427948185045, 0.011420661133786831, -0.9997797382431697]","[[0.99934599755281, 0.023135113759971942, -0.02779530063347686], [-0.022537468635633415, 0.9995121894488862, 0.02162592660222567], [0.02828205674080374, -0.020985345010749015, 0.9993797954792276]]","[-0.0061713831743787015, -0.04772114735034012, -0.011747377694442014]",[0.4889884128991838],"[0.01325366473453509, 0.021162324902133864, 0.0, -0.9996881975928871]",[0.4856796362277316],"[0.959833923925954, -0.40588783988402244, 0.29357181745326955]","[1063.6399602567965, 1088.6377010879894, 965.9642576935905, 1006.5749881499737]"
6,0.120000000000001,"[0.33175669620133474, -0.0709522660865123, 2.176790068885592]","[0.24859895120067138, 0.0, 2.1516812574951913]","[0.0008166590765104448, -0.0035366619348703252, 0.015506822275855892]","[-0.016687172759315038, 0.0, 0.02002456932454668]","[0.010891614871012666, 0.014758709702047183, 0.011528093178209001, -0.9997653182714099]","[[0.9992986024484373, 0.023372267854884735, -0.029259373102896693], [-0.022729283126613632, 0.9994969869235789, 0.02211839717728587], [0.029761611307273495, -0.021437838054744522, 0.9993271417640912]]","[-0.020878705499501472, -0.08051904177709923, -0.011759675088851033]",[0.4888926448617006],"[0.01204234433018668, 0.02185140730575574, 0.0, -0.9996886344481981]",[0.485679484061],"[0.7832243579369649, -0.37641340811740903, 0.7050819634102297]","[1087.7699305047688, 1067.1039580548281, 937.6163406438964, 1039.8913200007607]"
7,0.14000000000000057,"[0.3317897037496287, -0.07101138961479757, 2.1772373069804143]","[0.2482427346266893, 0.0, 2.1521087163015356]","[0.0006665032573517541, -0.0071981531719854915, 0.024965647241010344]","[-0.018676601278346944, 0.0, 0.02241185377675826]","[0.010930487254241013, 0.015873352906755227, 0.011534091323174431, -0.9997476872109359]","[[0.9992299150400767, 0.023409369212105437, -0.03148654923722863], [-0.022715355285588004, 0.9994948906018513, 0.02222162810909511], [0.031990842190017466, -0.02148928930096915, 0.9992570344621491]]","[-0.01530251147283912, -0.09824291137636382, -0.008012881329591293]",[0.4878634956733533],"[0.012892374406752127, 0.02241547955882394, 0.0, -0.9996654586552657]",[0.485679484061],"[0.8779849106200066, -0.4326417823604431, 1.1420029894505248]","[1061.9100003793437, 1093.8971127498262, 963.7275476510622, 1011.3627738474613]"
8,0.16000000000000014,"[0.33180737720596337, -0.07100951931319338, 2.1775710147935334]","[0.24785322751023436, 0.0, 2.1525761231908547]","[0.0010418491256008098, -0.0015824101933235427, 0.03028967194716758]","[-0.020666026410269465, 0.0, 0.024799121970659956]","[0.010889101705679704, 0.016733235592980546, 0.01158840687021923, -0.9997335649795343]","[[0.9991714811354453, 0.023535058434069327, -0.03320517986399252], [-0.02280621881712107, 0.9994943384103524, 0.02216022401990118], [0.033709929228058974, -0.02138457785067441, 0.9992029184111115]]","[-0.00520519407820117, -0.09687419823848674, -0.007569642044443873]",[0.4874297591832721],"[0.011834982171434355, 0.023062953348255942, 0.0, -0.9996639598378705]",[0.485679484061],"[0.5550049039968267, -0.6380640759271315, -0.8257919424926072]","[1065.91693033351, 1089.094436845719, 953.1730581689741, 1021.8259928996781]"
9,0.17999999999999972,"[0.3318100049027513, -0.07101471671304506, 2.1781812500594615]","[0.24741805778432838, 0.0, 2.153098323984909]","[-0.003318289976478679, -0.00755111855817914, 0.018253579052870894]","[-0.02265544502718043, 0.0, 0.02718635889320459]","[0.011061145035069126, 0.01799531336304646, 0.011607068303342755, -0.999709441383044]","[[0.9990827607822519, 0.02360548908137959, -0.03572339440749755], [-0.022809293997138894, 0.9994857255293468, 0.022533607910821443], [0.03623694427123846, -0.0216981165854417, 0.9991075109924752]]","[-0.006497827716218612, -0.1166184182023298, -0.003786387720540281]",[0.4895632325877182],"[0.013063544683043875, 0.02263534707315784, 0.0, -0.9996582966602745]",[0.485679484061],"[0.6663099143084252, -0.5672325258152702, -0.24956661307290418]","[1045.8835560515308, 1105.2972062122449, 944.1613538571034, 1028.243551935719]"
