,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-0.1873855643424327, -0.07657234244500391, 2.226810084996106]","[0.24979156428703692, 0.0, 2.1502501228466606]","[-0.018452018937895796, 0.007051865082689283, -0.06425362416301111]","[-0.006397617061553816, 0.0, 0.007677140108531689]","[0.012440547857555337, -0.06427958453635021, 0.002998229735957036, -0.9978499037539746]","[[0.9917183432830972, 0.004384220011537589, 0.1283573537269213], [-0.007582913002290544, 0.9996725387974366, 0.02444214904107292], [-0.12820815524484885, -0.025213048888160318, 0.9914267875842041]]","[-0.012999460575181664, -0.018327374933276113, -0.004158091994915156]",[0.4924670511565899],"[0.010572398504676683, -0.07071282794331, 0.0, -0.997433636489965]",[0.48207653011817203],"[-3.4010451999518545, -0.6476360820705644, -0.33188970836866005]","[961.5484923592397, 1125.6158488299557, 922.5366285291951, 1087.218337562378]"
1,0.020000000000003126,"[-0.18779159451633806, -0.07636062341498044, 2.2269722146063065]","[0.2496460783378614, 0.0, 2.1504247059729615]","[-0.02405665220596445, 0.010823942031812278, -0.06704055535199008]","[-0.008387053612323989, 0.0, 0.010064463113088833]","[0.012590112151923896, -0.06406060816526724, 0.003017167714728272, -0.9978621122982563]","[[0.9917744412648132, 0.0044083742153113795, 0.12792328051762816], [-0.007634495180596045, 0.999664942453825, 0.024739828614497243], [-0.1277713345979898, -0.025512955009465654, 0.9914756260188547]]","[-0.006962490077764524, -0.013850464480681389, -0.0028153686642985983]",[0.49576136180314684],"[0.010655582224617039, -0.08074268071204671, 0.0, -0.9966777400971722]",[0.482014167908],"[-3.412659187535281, -0.6599940454753878, -0.5123415096930266]","[968.9417960359823, 1126.97111242886, 937.0717639668441, 1082.089472579825]"
2,0.03999999999999915,"[-0.1884226563566124, -0.07595315639822413, 2.227142220291763]","[0.24945456237178168, 0.0, 2.1506545250833344]","[-0.021698484625834135, 0.011302335756302372, -0.0620292349015622]","[-0.01037648968352492, 0.0, 0.012451783815704776]","[0.012648599325859428, -0.0638495613128492, 0.003070097666758365, -0.997874669205342]","[[0.99182765052705, 0.004511930350932942, 0.12750538461848734], [-0.007742360423645441, 0.9996612093569244, 0.02485138495798553], [-0.12735005487737502, -0.025635482514826023, 0.9915265273966046]]","[-0.0035099501733698467, -0.026322127099690888, -0.0020212234587354745]",[0.49527336137047445],"[0.011609591528885662, -0.08449583522009323, 0.0, -0.9963551012979618]",[0.482014167908],"[-2.819887063285544, -0.11916959892551149, 0.8158100763069989]","[956.3529817172796, 1159.4251003485188, 937.1761086985156, 1101.8087811133958]"
3,0.060000000000002274,"[-0.1887799943180399, -0.07557035069890447, 2.227396594820711]","[0.2492259619049129, 0.0, 2.1509288455180817]","[-0.017351741348320897, 0.018769534220267867, -0.0508879775625481]","[-0.01236592499454711, 0.0, 0.014839100869404466]","[0.012872328953312001, -0.06319551904035195, 0.0031424113757896354, -0.9979131674375381]","[[0.991992838221868, 0.004644760359886569, 0.12620818145270532], [-0.007898654397737377, 0.9996487917700625, 0.025293760480332352], [-0.12604638084096212, -0.026088105752057684, 0.9916811940150129]]","[-0.0192669714187994, -0.06337408677688207, -0.004570562649179434]",[0.491950525279237],"[0.008971792041932899, -0.08465298352576928, 0.0, -0.9963699667921115]",[0.482014167908],"[-3.004003679206668, 0.057302669304211795, 0.11354151759411835]","[934.7984977742339, 1188.631217880431, 926.6859086520273, 1119.0491041276166]"
4,0.0799999999999983,"[-0.18922279171101236, -0.07524433573787655, 2.227673645382469]","[0.2489567242231888, 0.0, 2.151251930469714]","[-0.017303699482121813, 0.021314222528539983, -0.0533512088101789]","[-0.014355359075485116, 0.0, 0.017226412018975096]","[0.013044282046465547, -0.06255763649094831, 0.003169178667091701, -0.9979509974302023]","[[0.9921528449892858, 0.004693331114620974, 0.12494159078681415], [-0.007957408932813754, 0.9996394541677376, 0.025638595904000767], [-0.12477623214525739, -0.02643162121212393, 0.9918326257879182]]","[-0.02242895555792417, -0.06234903536946658, -0.005750194793366683]",[0.4941557463146028],"[0.008512452081366561, -0.08553272366828707, 0.0, -0.9962988115909078]",[0.482014167908],"[-3.584802729574524, -0.19185391013972214, 0.5783585893321046]","[921.0723484831822, 1210.7764322386538, 920.8319196803207, 1127.6390181045956]"
5,0.10000000000000142,"[-0.18957914512014212, -0.07487871929356256, 2.2279855308855487]","[0.24865645248788412, 0.0, 2.151612256077727]","[-0.019490228450139216, 0.02493834216249881, -0.03646731852567548]","[-0.016344791622122202, 0.0, 0.01961371580379912]","[0.012924948019066842, -0.06219877577096668, 0.0031977632756569397, -0.9979750301757635]","[[0.9922423017382376, 0.004774743915658688, 0.12422831210208232], [-0.007990407690416042, 0.9996455685904604, 0.025399756856794378], [-0.12406298840562174, -0.02619534470059925, 0.9919286445555807]]","[0.007140759084230122, -0.037263853980478344, -0.0053463666253032085]",[0.49003709751728686],"[0.008917164672280032, -0.09427193856948785, 0.0, -0.9955059050021935]",[0.482014167908],"[-3.122005043152481, -1.0724224072734148, 0.8236887724486621]","[932.0888065988084, 1194.3087676962648, 896.9828349128321, 1143.8567169767186]"
6,0.11999999999999744,"[-0.18988527845292938, -0.07443071858483072, 2.228385675958085]","[0.24830546685726868, 0.0, 2.1520334378322294]","[-0.014980467155144797, 0.016183655548189003, -0.03875442122275814]","[-0.01833422063793673, 0.0, 0.022001002640373985]","[0.012700120753121682, -0.06243178109410874, 0.0032629862196326895, -0.9979630562690593]","[[0.9921831803753733, 0.004926897083161645, 0.12469210277600548], [-0.008098461718072205, 0.999656048822251, 0.02494107456078844], [-0.12452634149998507, -0.025755930726297244, 0.9918818883992246]]","[0.025902012113205062, 0.021031611540668918, -0.0070980236387326165]",[0.4920825452945764],"[0.013184093307878184, -0.09282065643177052, 0.0, -0.99559532176853]",[0.482014167908],"[-2.7420831006429047, -1.541636993652481, 0.15037436481876298]","[947.6479574909835, 1168.2185634769125, 883.3248039794379, 1151.2172216410206]"
7,0.14000000000000057,"[-0.19025234456006068, -0.07386284010171179, 2.229119919170915]","[0.24791973009286133, 0.0, 2.152496320340904]","[-0.012728020899573957, 0.014273897415838156, -0.028749720057513188]","[-0.02032364607246984, 0.0, 0.024388272286905606]","[0.012384272875898506, -0.0633118318772572, 0.0033588018452396936, -0.9979111361277556]","[[0.991960336216963, 0.005135429526340364, 0.1264423567951014], [-0.008271713535304214, 0.9996703718989417, 0.024291503835938377], [-0.12627597152075132, -0.025142111426877726, 0.9916761588873048]]","[0.037776304680916056, 0.09958918922063958, -0.0110041258095444]",[0.4891749619726997],"[0.01426217854455888, -0.09309371701817348, 0.0, -0.9955545858667365]",[0.482014167908],"[-3.336760111042009, -0.6543985323636277, 0.20037998587743644]","[952.4724163442796, 1159.1157080031933, 901.2163499261161, 1137.6279254246867]"
8,0.1599999999999966,"[-0.19058145659161088, -0.07343310973631434, 2.2296670389305224]","[0.2474934005349626, 0.0, 2.1530079131813635]","[-0.014010206244421088, 0.01598761299526562, -0.03492664057577523]","[-0.022313065987110154, 0.0, 0.02677551543827499]","[0.012098170197539978, -0.06462022333920824, 0.0034238875211169448, -0.9978305741138513]","[[0.9916247240883403, 0.005269346381473172, 0.12904291465579032], [-0.008396492222116317, 0.9996835391729014, 0.023701343475270992], [-0.12887722355991948, -0.024586352980482614, 0.9913554386555976]]","[0.04254322430582694, 0.1369912397733418, -0.011158725926933738]",[0.49309545808550115],"[0.013829962565573464, -0.09484891658411172, 0.0, -0.9953940892340416]",[0.482014167908],"[-3.366258204614227, 0.2864428137006555, -1.2740181114706992]","[964.6968656706761, 1152.9451352928997, 905.1752935430819, 1132.6430918680596]"
9,0.17999999999999972,"[-0.19075945316086598, -0.0729947898167687, 2.2302402383551487]","[0.24703038918532416, 0.0, 2.153563522879835]","[-0.010963676102179755, 0.02472921748855233, -0.039122008327525146]","[-0.024302479503415932, 0.0, 0.029162727877500655]","[0.011787790904679584, -0.06601236548451803, 0.003461011234025208, -0.9977431296986914]","[[0.9912606938797285, 0.00535012043820771, 0.13180836362816464], [-0.008462680284026854, 0.9996980546446268, 0.023065435701884567], [-0.1316451729211829, -0.023979313855990544, 0.9910067470484277]]","[0.03265752179509732, 0.18583744282734582, -0.011488594978781415]",[0.49499205787843276],"[0.010335408791882807, -0.09424548362225786, 0.0, -0.995494981386099]",[0.48201825680240423],"[-2.8778180093072123, -0.6786269044570574, -0.891438777775889]","[977.316962129373, 1141.8997605132167, 914.6915531399566, 1118.2538999671426]"
