,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.08075080196742203, -0.03764516098263874, 2.17898199333744]","[0.24988275695866438, 0.0, 2.150140691652277]","[-0.31999142636268707, -0.006516877765997282, 0.010667723493783482]","[-0.004784582587075747, 0.0, 0.0057414990105266114]","[0.006091222843016022, -0.05344068007067753, -0.005065059603316222, -0.9985392631126597]","[[0.994236201858095, -0.010766359950219805, 0.10666352978251356], [0.009464283585448516, 0.9998738084394815, 0.012706010797839909], [-0.1067869394095414, -0.011623289878640967, 0.9942133055242188]]","[-0.0057950980028848706, 0.20096775050305304, 0.025248809125614807]",[0.4513217215445294],"[0.009745070745161821, -0.09315587638915437, 0.0, -0.9956017288972548]",[0.444015546426],"[-2.8121240160869014, -0.3349868337014553, -0.2742350361864716]","[839.2406775130987, 1059.1464299627764, 835.4446640281752, 1044.7302519850882]"
1,0.019999999999999574,"[0.07289735411954175, -0.03801290660148603, 2.1795175640089535]","[0.24976712778630042, 0.0, 2.1502794466497854]","[-0.32157957112731395, -0.018629503352461843, 0.008095067980673349]","[-0.0067740192781729, 0.0, 0.008128822688633585]","[0.00606278613115227, -0.05609338582446835, -0.005367694144376071, -0.998392351437191]","[[0.9936487647102752, -0.011398293960450454, 0.11194132838349953], [0.010037965153946614, 0.9998681858254364, 0.012708262880740262], [-0.11207150110995868, -0.011503894326227357, 0.9936328742397862]]","[0.016733130449805032, 0.23494330367045158, 0.02362083421623497]",[0.450790097654985],"[0.01568690738933254, -0.09494250158424737, 0.0, -0.995356993739664]",[0.444015546426],"[-2.9477938301226883, -0.33465154873885905, -0.22807465059423748]","[862.9275186775279, 1042.2475820811576, 874.7295322546389, 1010.672185030401]"
2,0.03999999999999915,"[0.06632160334623008, -0.03822712939137099, 2.179792401233102]","[0.24961219864240503, 0.0, 2.150465361607103]","[-0.32846294614102134, -0.007508221359026788, -0.00585607761579564]","[-0.008763455756532689, 0.0, 0.010516145345657285]","[0.006257168737610434, -0.05858028605158259, -0.005562178150344272, -0.9982473654214102]","[[0.9930743669917361, -0.011837952838215881, 0.11688562545877909], [0.010371765900126926, 0.9998593624982847, 0.013144072388867714], [-0.11702483940772052, -0.011840736440399595, 0.9930579383220666]]","[-0.004409169229850105, 0.23575624766851153, 0.02212779933208255]",[0.4547239296174342],"[0.015310932043279817, -0.10087437419608584, 0.0, -0.9947794476676511]",[0.44399659807178266],"[-3.502915615448595, 0.4678916087055307, -0.566475097644652]","[871.5678041506, 1051.2169130046098, 851.7635857636602, 1055.0284225859953]"
3,0.05999999999999872,"[0.06133784364771953, -0.038391031896228514, 2.179901125435469]","[0.2494153542954668, 0.0, 2.1507015747631897]","[-0.32817797124951864, -0.010064491703988035, 0.004086640832156504]","[-0.010752891733721317, 0.0, 0.012903465597139896]","[0.006080618141130799, -0.059629375483800054, -0.005710462273586317, -0.9981854667726876]","[[0.9928229281932204, -0.012125367824717351, 0.1189729057203316], [0.010675033975472974, 0.9998603052004399, 0.012820191913137744], [-0.11911179828231165, -0.01145814671674673, 0.9928141991180199]]","[0.000558357698016919, 0.19561478705701182, 0.020544589882368038]",[0.4576257590774372],"[0.011160261381939133, -0.1078519005239634, 0.0, -0.9941031391434102]",[0.443994508351],"[-3.745574419201007, -0.8503234994485049, -0.9424468323275512]","[876.6707409289883, 1056.1195710833015, 824.3613800845816, 1093.2849896346675]"
4,0.0799999999999983,"[0.053899197160197074, -0.03875135120655752, 2.1801737462288675]","[0.24918063654253195, 0.0, 2.150983235933644]","[-0.33665799043287603, -0.012162130193258736, -0.010124867966205892]","[-0.012742326960056852, 0.0, 0.015290782244416412]","[0.005956715984877782, -0.06145929527009939, -0.005960459400337758, -0.9980737881286058]","[[0.9923739969633493, -0.012630147718473178, 0.1226108137643108], [0.01116576545225428, 0.9998575219828948, 0.01262313544412797], [-0.12275283281945962, -0.011157832907204778, 0.9923740861852264]]","[0.001598956996729318, 0.17696653597509282, 0.018229459585363268]",[0.4635452086715461],"[0.011994882028973097, -0.11142502261174397, 0.0, -0.993699342284436]",[0.443994508351],"[-4.017233882809092, -0.30201196222597665, -1.051368120694928]","[877.7432287963547, 1062.1820490652399, 818.969405364006, 1105.5462695196852]"
5,0.10000000000000142,"[0.04711678432621177, -0.03901688388726476, 2.1802338392969864]","[0.24890678665711735, 0.0, 2.1513118554973945]","[-0.3358578699998039, -0.00978613140928443, 0.004646412058235128]","[-0.01473176083772038, 0.0, 0.01767809241807528]","[0.006173419050973437, -0.0636395394602709, -0.006165119771620079, -0.9979345397822889]","[[0.9918234571087539, -0.01309051901458717, 0.12694006931078522], [0.011519024833390321, 0.9998472168686268, 0.013106026964999407], [-0.1270923087821838, -0.011536645433066157, 0.9918232523067928]]","[-0.019730531059621786, 0.21167740956883158, 0.021196791099851706]",[0.4597331655373607],"[0.011392521552117825, -0.11651659632301328, 0.0, -0.9931216608515621]",[0.443994508351],"[-2.4599020353630934, 0.06815925941464862, 1.1415469893196537]","[867.524711394111, 1089.7875221841261, 853.435468234916, 1095.4714469569244]"
6,0.120000000000001,"[0.04063272611009618, -0.03919440311994371, 2.180405483560069]","[0.24859219402327187, 0.0, 2.151689366078951]","[-0.3266378671995322, -0.008895828893008, 0.009128632662757855]","[-0.01672119261114445, 0.0, 0.020065392491452276]","[0.006516300724122286, -0.0659056117681212, -0.0063973279755655775, -0.9977838156768978]","[[0.9912305295341195, -0.013625222206569431, 0.1314357317431932], [0.011907379063816111, 0.9998327045089257, 0.013846958429047663], [-0.1316024793948717, -0.012160479173403802, 0.991227456794319]]","[-0.03781044541497865, 0.2347806027898182, 0.024000434304652568]",[0.45991931423488625],"[0.011318140948676721, -0.11614231315701366, 0.0, -0.9931679942299633]",[0.443994508351],"[-3.422479771986549, -1.380640268616062, -1.8931945494261768]","[867.2899294356188, 1099.6853023128579, 854.7923560662381, 1109.0601279697512]"
7,0.14000000000000057,"[0.03412130035806865, -0.03943478986637045, 2.180529745613057]","[0.24823786538566556, 0.0, 2.152114559409263]","[-0.3341897654025612, -0.022071642100070423, -0.0090300519522354]","[-0.01871062135824932, 0.0, 0.022452678038356568]","[0.006816775029245075, -0.06841167902705335, -0.006623939224015642, -0.9976115568746716]","[[0.9905512524335615, -0.01414893069442759, 0.13640625543818302], [0.012283542593226204, 0.9998186312445639, 0.014507296707755262], [-0.13658687105217304, -0.012694677491402994, 0.9905460687316497]]","[-0.0492179211934585, 0.2725607278296696, 0.025360502340890656]",[0.46819813821767287],"[0.01683276077286098, -0.12066025810856568, 0.0, -0.992546807184896]",[0.443994508351],"[-4.378537853848635, -1.255492185589819, -2.8468037854982704]","[874.3432566717546, 1085.51492963659, 858.6824024891974, 1099.3836494973202]"
8,0.16000000000000014,"[0.029091221310411586, -0.039705699602492574, 2.1805421827625495]","[0.24784372228385, 0.0, 2.152587529350755]","[-0.3332007819078237, -0.018893940185616458, -0.010739038400355765]","[-0.0207000458090686, 0.0, 0.02483994296319958]","[0.0076121289764901024, -0.07182166387679591, -0.0068296072870503745, -0.9973637406767333]","[[0.989587380786514, -0.014716636879803856, 0.14316067098852073], [0.012529773804858695, 0.9997881945754674, 0.01616515037897394], [-0.14336862239463197, -0.014203095343049747, 0.9895647788427951]]","[-0.06789236837743855, 0.33522006812250016, 0.021714868796321556]",[0.4701361927094094],"[0.015467897269973935, -0.12395359541415894, 0.0, -0.9921669360107551]",[0.443994508351],"[-3.538479745285986, 0.5306055099185785, -0.41870390069842145]","[897.8257935281243, 1072.7777351576865, 878.0353072795928, 1084.158961826237]"
9,0.17999999999999972,"[0.02128624418784142, -0.03991475593560986, 2.1806727881505847]","[0.2474091515784472, 0.0, 2.1531090113480444]","[-0.32957660177113224, -0.011825976067453914, -0.0007606694699347962]","[-0.022689464553273378, 0.0, 0.02722718049624183]","[0.008377956546270458, -0.07640099680321494, -0.007036589079728078, -0.9970154630940133]","[[0.9882233979060593, -0.015311344702472899, 0.15222804594211528], [0.012751007777236567, 0.9997572422193266, 0.017781109291094405], [-0.152463854892291, -0.01563069961195104, 0.9881820447660308]]","[-0.07694462337542769, 0.37854907696276696, 0.021875922650532825]",[0.4675706752045064],"[0.012589939310414168, -0.12418841260359346, 0.0, -0.9921781226327346]",[0.443994508351],"[-3.651687257948293, -0.2612765616933038, -0.1366487326883039]","[898.0769946937204, 1096.1755132283388, 885.1325156840804, 1101.5898056397257]"
