,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.3043516972096203, -0.03818751640369307, 2.1993852792701807]","[0.24989774290319697, 0.0, 2.150122708514814]","[-0.07307074531308692, 0.0057092414763082995, -0.05680121635039878]","[-0.004400835055229178, 0.0, 0.005281001994653687]","[0.006389325152004358, 0.005793220532956632, 0.009348285946907842, -0.999919122126588]","[[0.9997581224160158, 0.01876908929416547, -0.011466045502142025], [-0.01862103021551616, 0.9997435982725066, 0.012885930158138206], [0.011704962456256853, -0.012669303429755899, 0.99985125636451]]","[0.018170640283817836, 0.05916738824744021, 0.006820416896066473]",[0.48970851477558536],"[0.0068215710090115, 0.0008112030579820761, 0.0, -0.999975163298416]",[0.48254382005900004],"[0.3018179162904168, -0.33919319342196524, -0.38120050520435456]","[1024.7945385515236, 1088.6144681521187, 951.4993754905944, 1048.7619730657677]"
1,0.020000000000003126,"[0.3029506940513216, -0.038026997174957965, 2.199345531972357]","[0.2497898319420019, 0.0, 2.150252201662918]","[-0.07221657563407816, 0.005743566661699895, -0.049410902526726946]","[-0.006390271757515846, 0.0, 0.007668325726487918]","[0.006182632985836968, 0.005097391035698504, 0.009308019580451013, -0.9999244927648652]","[[0.9997745935578295, 0.018677664111173862, -0.010078916153808168], [-0.018551602919337783, 0.999750110447296, 0.012459225535767702], [0.01030910842937182, -0.012269439073489714, 0.9998714221135745]]","[0.012919506259691058, 0.0605145646933784, 0.004105793219576868]",[0.48829393880152905],"[0.007092432109990343, 0.001726587362913636, 0.0, -0.9999728945144479]",[0.48254382005900004],"[0.26453848739355557, -0.3270138005942064, -0.30570497455157764]","[1042.5386041470438, 1085.7943984842086, 962.8262825543422, 1049.8345837805953]"
2,0.03999999999999915,"[0.30153722883073497, -0.037870084378147865, 2.1994388876334012]","[0.24963102898325742, 0.0, 2.15044276518505]","[-0.0727448892703272, 0.00852818062281912, -0.04656901561837281]","[-0.008379708127877026, 0.0, 0.010055647865038682]","[0.0060662324188939035, 0.00446418312238861, 0.009293342019008907, -0.9999284668719106]","[[0.9997874428997372, 0.018639516019129592, -0.008814976425539842], [-0.01853119292960594, 0.9997537024101175, 0.012214571325810214], [0.009040478716082163, -0.012048622603442838, 0.9998865769599816]]","[-0.001341739919692634, 0.050471760861321505, 0.0005832703244544825]",[0.48831954420231966],"[0.0060162426035409305, 0.0018527222589772713, 0.0, -0.9999800568250597]",[0.4825288565211795],"[0.12552944410095615, 0.05452258597152443, 0.15876727593099105]","[1039.2085622332954, 1096.6626748985013, 971.7401028262475, 1038.2757249740284]"
3,0.060000000000002274,"[0.3001137414984865, -0.037726861576372644, 2.1996149830177654]","[0.24944586351588163, 0.0, 2.150664963698895]","[-0.07395569776512685, 0.00986319785454228, -0.04230234646785135]","[-0.010369144270847622, 0.0, 0.012442968912076365]","[0.0060100078878689645, 0.0041402452207994845, 0.00928889493910128, -0.9999302161974684]","[[0.9997931322598501, 0.018626259262251657, -0.008168259933781959], [-0.018526727636512794, 0.9997551751312023, 0.012096093579086854], [0.008391565261196297, -0.011942260367574363, 0.9998934590086049]]","[-0.006055126465556724, 0.027814864881447673, -0.0017880073560478916]",[0.487427904858124],"[0.005531671929699907, 0.0015593998245182297, 0.0, -0.9999833739351965]",[0.4825020522892722],"[-0.11535016045653357, -0.679957375220583, -0.05440666346625278]","[1035.339842890735, 1096.4035476624942, 961.0761049896818, 1042.1010293185823]"
4,0.0799999999999983,"[0.2986642327430358, -0.03759672135575322, 2.1999181584248237]","[0.24923111818068905, 0.0, 2.1509226580016167]","[-0.07737518266188004, 0.004614088013520552, -0.04232853880610266]","[-0.012358579858070255, 0.0, 0.014830287291512815]","[0.006181048686595375, 0.00399032536023479, 0.009293306231500976, -0.9999297473124923]","[[0.9997954166860977, 0.018634635494178698, -0.007865205301755713], [-0.018535977912870826, 0.9997508513533266, 0.012435395533699024], [0.008094974814861102, -0.012287062271555078, 0.9998917370417905]]","[-0.026163141200273, -0.001659387817419473, 0.00017882102864222711]",[0.48946078993807246],"[0.008902541465586044, 0.0009648869317946899, 0.0, -0.9999598405345651]",[0.482490218676],"[-0.2222245950658956, -0.5094584037953303, 0.03851041121630416]","[1038.0817312159677, 1090.9578661225264, 951.8394357514238, 1049.1747896965906]"
5,0.10000000000000142,"[0.2972520905749957, -0.03751601567729375, 2.200320546920588]","[0.24896503863541, 0.0, 2.1512419532084492]","[-0.07936072533942926, 0.007381831648921217, -0.03433112597150058]","[-0.014348014092827594, 0.0, 0.017217599179316343]","[0.0063183584908639906, 0.004149074144725749, 0.009248456759488098, -0.9999287035981325]","[[0.9997945851647704, 0.01854802543129974, -0.008180686530748896], [-0.018443164079893534, 0.999749171489249, 0.012712561094914577], [0.008414426791923696, -0.012559070963636954, 0.9998858097615965]]","[-0.01167874946981802, -0.020703802966071733, 0.002347758646716328]",[0.48698917254311946],"[0.007557300673568561, 0.00036095445256281613, 0.0, -0.9999713605488191]",[0.482490218676],"[0.3380658390396633, -0.21820533700299333, 1.5503769566563186]","[1039.4616574251852, 1083.9538016355057, 948.9315122704498, 1048.091714796439]"
6,0.11999999999999744,"[0.29575292425405886, -0.037385764492425394, 2.2008335806249484]","[0.2486581840078378, 0.0, 2.1516101782576325]","[-0.07702806915641677, 0.005220709026019854, -0.020050512841408824]","[-0.01633744638324286, 0.0, 0.01960490173442051]","[0.006258594427560974, 0.004489379301507275, 0.00924435166439833, -0.9999276090326188]","[[0.9997887807456906, 0.018543559322236305, -0.00886239532636696], [-0.018431170505117823, 0.9997507497902988, 0.012599285525747841], [0.00909382191761983, -0.012433279921675823, 0.9998813568126633]]","[-0.009275290710706709, -0.03867086301703222, 0.0004441891546929187]",[0.482989219341664],"[0.008851003010073242, 0.0018974658043875428, 0.0, -0.9999590114395002]",[0.482490218676],"[-0.0005797166219351779, -0.5337297441102099, 0.4095685738064603]","[1025.1522354691476, 1106.8052188830468, 940.8000142379842, 1053.22554371417]"
7,0.14000000000000057,"[0.29419251234370336, -0.03734038579491009, 2.2014812388475726]","[0.24831154076192805, 0.0, 2.152026149235075]","[-0.08242534985472277, 0.004313465676815592, -0.02649038966830868]","[-0.018326875861073167, 0.0, 0.021992190788956038]","[0.006727390598075028, 0.005030798417243687, 0.00926734819820028, -0.9999217717815858]","[[0.9997776147917432, 0.018600934752068577, -0.00993611959141729], [-0.01846555816817667, 0.9997377170886549, 0.013546972973883032], [0.01018549987596793, -0.013360484331292824, 0.9998588667084785]]","[-0.024637304148461343, -0.06459310232421832, -0.0002730114584906597]",[0.4865794913716139],"[0.0092822124800145, -6.32746553565152e-05, 0.0, -0.9999568818828196]",[0.482490218676],"[-0.013147030787472369, -0.8913853686864008, -0.33476123127562474]","[1038.336107277445, 1089.4293916703368, 923.1808270934259, 1072.8530416483163]"
8,0.1599999999999966,"[0.2926257176243144, -0.03722352988099044, 2.2022261723214798]","[0.2479251090174425, 0.0, 2.152489865744445]","[-0.08095235381744556, -0.001179795879501146, -0.018935169391672554]","[-0.020316301374953924, 0.0, 0.02437946081657402]","[0.006688493647237613, 0.005758987647016624, 0.00924464639180057, -0.9999183838701406]","[[0.9997628809231153, 0.018564821663663487, -0.0113933697241409], [-0.018410745854497125, 0.9997397409060139, 0.013482375125285904], [0.011640700758790964, -0.013269415907800241, 0.9998443360023959]]","[-0.010636505895778437, -0.062389453711250466, 0.000809124498868231]",[0.4842329281049364],"[0.011832158801547425, 0.001202440736345944, 0.0, -0.9999292321673906]",[0.482490218676],"[0.09987577881226645, -0.30464614402521223, 0.8435573441442941]","[1020.2472582451624, 1094.06754149943, 935.9792460401375, 1049.5269376508793]"
9,0.17999999999999972,"[0.2909967274857134, -0.0371831795794637, 2.203068363857918]","[0.24749888241340484, 0.0, 2.1530013350928825]","[-0.0859697572810574, 0.004924916968734057, -0.014640839562125354]","[-0.022305721493751034, 0.0, 0.0267667049475664]","[0.007040319803691108, 0.0062082596306785864, 0.009257217790326053, -0.9999131253722884]","[[0.9997515858258565, 0.01860024341240239, -0.01228509303339624], [-0.0184254108795051, 0.9997295385952639, 0.014194358780058546], [0.012545788128341498, -0.013964473934058221, 0.9998238457824151]]","[-0.031199755339488624, -0.04523539444153941, 0.0030872849668314535]",[0.4836482430366167],"[0.009148249401581189, -0.000433972904241536, 0.0, -0.9999580595450702]",[0.482490218676],"[-0.1949563558615508, 0.32596543281895285, 0.4594575843840225]","[1012.8150250548896, 1092.6399713658404, 936.570658254569, 1041.9042013516373]"
