,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-0.1368159282031157, -0.06539811498831573, 2.333297851153736]","[0.24964925684435102, 0.0, 2.150420891770853]","[-0.14717794355047173, -0.01876481020082392, -0.20446044898410148]","[-0.008331821093307878, 0.0, 0.009998184073823874]","[0.01155361487360317, -0.06776827299298659, -0.01016681387697632, -0.99758238738624]","[[0.9906082027110168, -0.021850405972631524, 0.13497394421871964], [0.018718531865390842, 0.9995263083266256, 0.024429340253668073], [-0.1354437980268244, -0.02167339058053281, 0.9905479588865399]]","[-0.08057254900089798, -0.11128814483552488, -0.011637453125117037]",[0.49572344204136437],"[0.024401617984706855, -0.1287083758192372, 0.0, -0.9913790229904627]",[0.494981573231],"[-3.50615266410236, -0.6345891194663781, 0.20665625291971068]","[936.1542125557099, 1196.9220998514402, 956.9044110233862, 1186.8257170041213]"
1,0.019999999999999574,"[-0.14002043315136734, -0.06585584972162134, 2.329937660232251]","[0.24946415367232996, 0.0, 2.1506430155311267]","[-0.14106113128341996, -0.0181674824862928, -0.1917314528865145]","[-0.010321257272487852, 0.0, 0.012385505294887675]","[0.012425895471324094, -0.0668889213070492, -0.009949813539221945, -0.9976334097709029]","[[0.9908536965862965, -0.0215148423041394, 0.13321397459290307], [0.01819022332673534, 0.9994931464170093, 0.02612404152671741], [-0.13370851596489325, -0.023461912347338094, 0.9907428884086986]]","[-0.07096606577857183, -0.07812974409733009, -0.011236511969352183]",[0.48740187601680446],"[0.023671506160555866, -0.13388334792777815, 0.0, -0.9907142992831828]",[0.494981573231],"[-3.4023454692351436, -0.6672198963972128, 0.6336162453191179]","[909.6628661660384, 1236.3628571314957, 908.4347570790059, 1249.5268862768098]"
2,0.03999999999999915,"[-0.14244112440002266, -0.06620229657616229, 2.3276195860993156]","[0.24923456044071637, 0.0, 2.1509185272890545]","[-0.15881904289895066, -0.014890951535643359, -0.19365150968416583]","[-0.01231069263090863, 0.0, 0.014772822576169686]","[0.013071236764438823, -0.06607998452331738, -0.009797479348681453, -0.9976805457779276]","[[0.9910747736981059, -0.02127700333387044, 0.13159729970391798], [0.017822014841491506, 0.9994661879462056, 0.02737667182573246], [-0.13210956039296323, -0.02478700269081889, 0.9909250404401775]]","[-0.07208333428193964, -0.07499974242135497, -0.012840731280169992]",[0.4904848251871342],"[0.02249873721341524, -0.14368622622243812, 0.0, -0.9893567111983531]",[0.494981573231],"[-4.6616853710129815, -0.3547701698854746, 0.2141396400833102]","[876.8296905309844, 1227.6551996731157, 836.0532423157601, 1279.6000461033561]"
3,0.05999999999999872,"[-0.14543634648424952, -0.06647596168093137, 2.324861735605943]","[0.24897111821777235, 0.0, 2.1512346577156514]","[-0.1573090912328321, -0.012452765648887042, -0.1925128333545979]","[-0.014300126926466379, 0.0, 0.01716013475570637]","[0.01398449654217701, -0.06633905551258386, -0.0095976868563097, -0.9976530012535823]","[[0.9910140911745249, -0.021005758779432896, 0.13209827802760465], [0.017294885609724826, 0.9994246994600519, 0.029176752854952727], [-0.13263515330222447, -0.026629946930340223, 0.9908071900734321]]","[-0.08194186475049348, 0.05661647294471048, -0.013537792335459]",[0.49385777618273047],"[0.02196302713314821, -0.14450801653700057, 0.0, -0.9892597880776035]",[0.494981573231],"[-3.274647118479249, 0.016441418038526612, 0.6893929601506841]","[886.0339481908093, 1213.644290695234, 866.6672268775613, 1243.0816905700115]"
4,0.0799999999999983,"[-0.14838650396556316, -0.06672485851447123, 2.3221768841746493]","[0.24866544250102443, 0.0, 2.1516014680752784]","[-0.16103113034303124, -0.004714111830497371, -0.18758833564784325]","[-0.016289559258083897, 0.0, 0.019547437508319915]","[0.015119465095713013, -0.06847307030860007, -0.009466070960531812, -0.9974933016078634]","[[0.9904433171204202, -0.020955237144404757, 0.1363166140877431], [0.01681413235829603, 0.9993632433858323, 0.031459472198588634], [-0.13688910180566832, -0.02886678842888186, 0.9901653336697189]]","[-0.1219954051657922, 0.23950808593455955, -0.009643043925580824]",[0.49613584765660323],"[0.019015085819787357, -0.14824868906837435, 0.0, -0.9887664850171138]",[0.495000977337988],"[-4.689080338421059, -0.5057698060569187, 1.2684457203974304]","[866.8930750394331, 1178.2045579929672, 881.5367052536525, 1173.1627880308126]"
5,0.10000000000000142,"[-0.1509294153802233, -0.06694661819993351, 2.320112903301671]","[0.24831863871736573, 0.0, 2.15201763169671]","[-0.1718190786381191, -0.006782963883994873, -0.17886353486075576]","[-0.018278988714762134, 0.0, 0.021934726461348857]","[0.016281147002586593, -0.07149124705044103, -0.009328573610303639, -0.9972642890142316]","[[0.9896031172003505, -0.020934025663245696, 0.1422875755644501], [0.016278187652739834, 0.9992949625145653, 0.0338070357009463], [-0.14289509507754533, -0.03113939025853653, 0.9892470102761166]]","[-0.13164291138828987, 0.3551314048720844, -0.009873387772323034]",[0.4977511105755527],"[0.020706980625693552, -0.15438613294988213, 0.0, -0.9877915875130736]",[0.4955531710278155],"[-4.533178834889306, -0.38034182688975826, 0.45913985336809304]","[851.0985946229024, 1219.919782971133, 895.1561359018154, 1182.163736618985]"
6,0.120000000000001,"[-0.1539942603937489, -0.06709425347287672, 2.317791949412882]","[0.2479337107087462, 0.0, 2.152479543743389]","[-0.1709434652834874, 0.0021389812854163805, -0.18178593716601682]","[-0.020268414348181697, 0.0, 0.024321997062490604]","[0.017591173471947944, -0.07617859055780278, -0.009201611524339858, -0.9968957204381595]","[[0.9882226794980191, -0.021026235902199316, 0.1515604875430765], [0.0156659526967961, 0.9992101360485255, 0.036475062696909664], [-0.15220795612126103, -0.03367119950977108, 0.9877731200390685]]","[-0.13664217098588233, 0.4836338635081441, -0.010870538586238725]",[0.5027706934179497],"[0.017712321082115748, -0.15504869351079123, 0.0, -0.9877476242055605]",[0.495603615018],"[-2.9732016562271095, -0.6305046005927544, 0.30622136091674435]","[903.6586204629823, 1178.0851733080697, 930.3157361193977, 1157.592579637988]"
7,0.14000000000000057,"[-0.15706100854403304, -0.06714266877570592, 2.3153207187397977]","[0.24750916029941225, 0.0, 2.152989001690032]","[-0.16161177429998433, -0.0030521162689382186, -0.17278388805115247]","[-0.02225783468763721, 0.0, 0.026709242252913507]","[0.01858496624840164, -0.08234961336360339, -0.009037186434018993, -0.9963885841740944]","[[0.9862724820831323, -0.021070028361682022, 0.1637685177235762], [0.014948169221956048, 0.9991445977844938, 0.03852411403180901], [-0.16444034094300325, -0.03554727879686395, 0.9857450216195104]]","[-0.10665911706668109, 0.623363980601578, -0.014520562345232663]",[0.5034640347203213],"[0.020878248835774917, -0.15403206440415898, 0.0, -0.9878450058501882]",[0.495603615018],"[-4.410145570353616, -1.7941306544073732, 0.8925636841078664]","[935.178262586824, 1155.5461187789433, 971.1592792505761, 1125.8841103819664]"
8,0.16000000000000014,"[-0.1601638411590117, -0.06728753884727423, 2.312927305387422]","[0.24704438220444994, 0.0, 2.153546731420797]","[-0.17148484809894754, -0.00475422589429804, -0.17159180026924853]","[-0.02424724789426506, 0.0, 0.029096453205629497]","[0.01969663461863253, -0.08905181837829453, -0.008859834973550687, -0.9957924432988848]","[[0.9839818245142234, -0.021153155688518083, 0.17700523774175006], [0.014137071173629714, 0.9990663623965851, 0.04080548865315957], [-0.17770327347077172, -0.03764955099345438, 0.9833629030351407]]","[-0.09489951232404567, 0.6430796258559754, -0.02153997604129444]",[0.5081127084477414],"[0.02234978572194692, -0.1597481128482093, 0.0, -0.9869045618589253]",[0.495603615018],"[-5.233781958315042, -0.05037245417266245, -1.1867478268456964]","[940.5057901122689, 1172.5232842020343, 948.7854976528696, 1164.968573497409]"
9,0.17999999999999972,"[-0.16326019812371512, -0.06721578693152086, 2.3106363519442357]","[0.24653908823004153, 0.0, 2.1541530781552294]","[-0.16752631250137495, 0.008787692389716136, -0.1815770923786245]","[-0.026236651763707736, 0.0, 0.03148361934048129]","[0.02041991194046203, -0.09583283929806025, -0.00868138257862387, -0.9951493850343367]","[[0.9814799718464704, -0.021192341347672377, 0.1903814360515642], [0.013364748789789018, 0.9990138924150137, 0.04230564870309668], [-0.19109052832267204, -0.038977802536927716, 0.9807967590461109]]","[-0.06510464410738079, 0.6605406073055197, -0.020983751843751265]",[0.5151989804876925],"[0.01781589551534305, -0.15934069381179483, 0.0, -0.9870623479044346]",[0.495603615018],"[-5.0495087168198225, -0.6703351375421669, 0.19396769248540835]","[966.2641168613656, 1149.030035559411, 975.7356056105966, 1155.1170936203603]"
