,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-0.7137260896982957, -0.0454235845701641, 2.1056405035371926]","[0.249844093018821, 0.0, 2.1501870883778644]","[0.01857727401806647, 0.0074586139317624955, 0.060617254342834104]","[-0.005497308055590183, 0.0, 0.006596769471277731]","[0.0069835130832653575, -0.12070523696693199, -0.0015847887720545492, -0.9926625859390948]","[[0.9708555131915797, -0.004832214244424253, 0.23961701054172416], [0.0014604278381153935, 0.9998974827440978, 0.014247128920894137], [-0.23966128011421958, -0.013481959703800627, 0.9707629973925155]]","[0.0356646704638149, -0.06320811766116913, -0.019671783820594903]",[0.5428915141051472],"[0.012723516529897174, -0.18985839208872704, 0.0, -0.9817046679906527]",[0.501193090095],"[-6.7321856271394624, -0.40028175100091673, -1.3365367524335419]","[959.5946649585671, 1266.6532329584763, 958.902593533058, 1199.2101927035076]"
1,0.019999999999999574,"[-0.71361199720027, -0.045140311465587384, 2.1067717163707993]","[0.2497161618807619, 0.0, 2.150340605736142]","[0.012783789680457578, 0.01797841027361287, 0.06202386858511036]","[-0.0074867446909501, 0.0, 0.00898409288184851]","[0.006749971228065891, -0.12031007007682261, -0.0014605067522705528, -0.9927123389494321]","[[0.9710467039721685, -0.004523905171126166, 0.2388468653731529], [0.0012755471252655912, 0.999904605672789, 0.01375298679073601], [-0.23888629888737775, -0.013050132111882638, 0.970959845908956]]","[0.04199788342129668, -0.03101324978318952, -0.01868589231267626]",[0.5495012560508095],"[0.006177995457029263, -0.2015894647838398, 0.0, -0.9794402417055226]",[0.501193090095],"[-6.7922493180985235, -0.391102956303209, -1.674199665438838]","[964.84217264843, 1300.00576703901, 911.3819017594427, 1288.8113530355715]"
2,0.03999999999999915,"[-0.7135404036614776, -0.044810631364017424, 2.1081179099503484]","[0.24954668000599434, 0.0, 2.150543983956139]","[0.017938104504176076, 0.0020175521332130913, 0.08523902104841351]","[-0.009476181037832543, 0.0, 0.011371414907701258]","[0.006307876833716464, -0.12027317649820592, -0.0013516738343341782, -0.9927199071052079]","[[0.9710651392659988, -0.004201003814014581, 0.2387781008169618], [0.0011663302790124819, 0.9999168346156373, 0.012849050020085965], [-0.23881220558522717, -0.012198769597506438, 0.970989214690009]]","[0.06157633583338377, -0.009284991589792315, -0.019543960501822246]",[0.5424708029488966],"[0.015828900236925406, -0.20949948408650718, 0.0, -0.9776701667727989]",[0.501193090095],"[-7.540191971927926, -0.8248089126484855, 0.1373707973840652]","[945.2597513003578, 1349.4454564775626, 865.074046123153, 1369.566223829678]"
3,0.05999999999999872,"[-0.7136153663095721, -0.044530310988386924, 2.1096457315747275]","[0.24933758200237582, 0.0, 2.150794901482164]","[-0.00042044843945937744, 0.012409147106875976, 0.08133117693694869]","[-0.01146561682870872, 0.0, 0.013758734264834739]","[0.005917245973656589, -0.12051328510464758, -0.001165387279610984, -0.9926932299017321]","[[0.9709500524784205, -0.00373995762748205, 0.23925165270682577], [0.0008875306232516325, 0.9999269286520232, 0.012028909334394535], [-0.2392792362395779, -0.011467130736454183, 0.9708827411336179]]","[0.06717014165453916, 0.06092928535438219, -0.026867050127159748]",[0.5516198076361685],"[0.009870971242821491, -0.22150248107185314, 0.0, -0.9751060286735469]",[0.501193090095],"[-9.0831149312001, 0.03328064389482077, -2.289909361955022]","[976.1411649815558, 1349.010747197947, 919.3225633545266, 1339.1381641838602]"
4,0.0799999999999983,"[-0.7139863180258009, -0.04427450355086832, 2.1113021253358744]","[0.2490874666589679, 0.0, 2.1510950397034354]","[-0.011101275432820011, 0.005030390161345929, 0.08262891218525988]","[-0.013455051587522759, 0.0, 0.016146048668009654]","[0.00557572723810172, -0.12295800916786814, -0.0009731310175474227, -0.9923939160130489]","[[0.9697571542714453, -0.0033026192443153866, 0.24403470862029653], [0.0005602979608752131, 0.9999323208400289, 0.01130594408203504], [-0.24405641227277963, -0.010827327071726508, 0.9696968707709325]]","[0.014014467754676786, 0.2771889560520024, -0.021415690326491692]",[0.5583324687949969],"[0.014101706902750337, -0.22927529695072618, 0.0, -0.9732564390801041]",[0.501193090095],"[-7.9959407291458096, -0.926414856958542, -1.653260820376257]","[1003.2109693425349, 1302.6604259602373, 943.7942811881506, 1299.6707378036988]"
5,0.10000000000000142,"[-0.7143568868762684, -0.04409189156662296, 2.112971252792542]","[0.24880033568539103, 0.0, 2.151439596510316]","[-0.015011752435020035, 0.007889857341457916, 0.08756864858239688]","[-0.015444484906896998, 0.0, 0.01853335616200648]","[0.005808243445176755, -0.1283410825264618, -0.0008830178337332074, -0.991712097449829]","[[0.9670544067356988, -0.0032422714386167485, 0.2545445507175086], [0.00026052643329190547, 0.9999298022799901, 0.011746865508373904], [-0.25456506584768757, -0.011293555649687939, 0.9669884947928513]]","[-0.0318316124454386, 0.5300971420060078, -0.007295865648801558]",[0.5652765494157533],"[0.01735354321550782, -0.23375219504532793, 0.0, -0.9721303126935723]",[0.501193090095],"[-7.583756774495817, 0.9522100271542095, -1.4620585596664988]","[1028.4600748910693, 1319.2274622296716, 953.4694199187944, 1333.0331627715184]"
6,0.120000000000001,"[-0.714761902556791, -0.0436371673780275, 2.1149218222305497]","[0.24846140738714526, 0.0, 2.151846309616217]","[-0.013046811256102724, 0.020301927136115998, 0.0962700160006578]","[-0.017433914865349596, 0.0, 0.02092064752337169]","[0.006280452496059482, -0.13614104271813787, -0.0007676997785216392, -0.9906474408462576]","[[0.9628868232634629, -0.0032310943449719402, 0.2697259081217481], [-0.00018901506124913777, 0.999876702121116, 0.01265245928184047], [-0.2697451941297091, -0.012234397488470794, 0.9628091138222522]]","[-0.058670110775351, 0.706195660035696, -0.004274277762751381]",[0.5699112945798706],"[0.009208656473794104, -0.2390985982348502, 0.0, -0.9709514195415319]",[0.5012381654178858],"[-7.042183572275823, 0.26278222757431297, -0.8708666636285081]","[1054.7833157241867, 1309.964397042035, 1003.9602349709642, 1300.2570254055836]"
7,0.14000000000000057,"[-0.71514366772634, -0.04314430783942656, 2.116943130900874]","[0.24810287931359476, 0.0, 2.152276542190568]","[-0.0035225529634126873, 0.016954783525086115, 0.1097954793320252]","[-0.019423343185616414, 0.0, 0.023307931021544822]","[0.0069813332873917815, -0.14509454650118256, -0.0006689821778760504, -0.9893909742411633]","[[0.9578903639628097, -0.0033496766320529627, 0.2871011286646754], [-0.0007021369171779199, 0.999897740782638, 0.014008667616862234], [-0.28711981021486377, -0.013620404953997037, 0.957793781008179]]","[-0.09482061129899416, 0.8917042909605171, 0.0018897187566540884]",[0.5720323913528861],"[0.010431547644274564, -0.24076554869334946, 0.0, -0.9705242797632087]",[0.501303746057],"[-7.743587711911145, -0.646444777928558, -0.9942560540343486]","[1087.276729258798, 1296.912918035359, 1062.8930829648082, 1260.9448464940233]"
8,0.16000000000000014,"[-0.7153768476515353, -0.04268049545139747, 2.1192224527004537]","[0.24768356373518938, 0.0, 2.1527797184439055]","[-0.00200566328665894, 0.019826403015674454, 0.116483098224086]","[-0.021412764121918965, 0.0, 0.0256951790767477]","[0.008028991236369755, -0.15482532351107078, -0.0006046453855199694, -0.9878806878245633]","[[0.952001471680656, -0.00368081732995183, 0.3058881847805514], [-0.0012915473326021677, 0.999814303880724, 0.0160505996050899], [-0.3059076035505572, -0.015676141935399478, 0.9518732734721931]]","[-0.10204397023277273, 0.980794103802446, 0.0014348831606790621]",[0.5700694791222908],"[0.010353769269510798, -0.24468006223564698, 0.0, -0.9695430612612276]",[0.501303746057],"[-8.64096719584229, 0.28996475971342955, -1.5388050608014296]","[1094.119000730517, 1301.1664201874885, 1076.2231608942407, 1255.691559950773]"
9,0.17999999999999972,"[-0.7155894547631623, -0.04225499999680769, 2.121484191095359]","[0.24724646777318288, 0.0, 2.1533042306297374]","[0.0048945497390862356, 0.02512904553310543, 0.12073301297109389]","[-0.023402182314813585, 0.0, 0.028082413963704995]","[0.00893071173357, -0.163510073839, -0.0005645991826519999, -0.986501105951]","[[0.9465283266355421, -0.0040344781061921655, 0.3225956528075158], [-0.0018065672337712515, 0.9998398999050763, 0.017804949312282495], [-0.3226158218976969, -0.017435678696103022, 0.9463694489558799]]","[-0.09437666408019998, 0.999148271351, -0.0027764113912999997]",[0.5729275709793807],"[0.010496225446512363, -0.24593733297800233, 0.0, -0.9691986121938508]",[0.501303746057],"[-8.056732756229552, -0.8858225436601318, -1.0604629497080467]","[1112.8236827732342, 1290.0955683310203, 1074.9341621639076, 1266.1342868187244]"
