,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-0.08665709573088055, -0.0905003438236809, 2.167613098883942]","[0.24972481884671152, 0.0, 2.1503302173714567]","[-0.058934767140413194, -0.010806017807056905, 0.030906615419692376]","[-0.007296334178983046, 0.0, 0.00875560020951276]","[0.014992258621715045, -0.04341183304024016, -0.0031153444200937973, -0.9989396668153944]","[[0.996210933137062, -0.007525765090411381, 0.08663819196764254], [0.004922399377683402, 0.9995305719957286, 0.030223209288428414], [-0.0868250161646096, -0.02968223804111659, 0.9957808082416129]]","[-0.026289901914425522, 0.09560180238082679, 0.009994025290350983]",[0.49917285502280695],"[0.04372310501121145, -0.08941898677791058, 0.0, -0.9949920245219113]",[0.485588819437],"[-2.3100539381032683, -0.805848345322448, -0.613091557571142]","[912.4377939189606, 1126.8168495778984, 872.9064119429887, 1171.1332834926702]"
1,0.020007974481657698,"[-0.08796563764843295, -0.09078082739678703, 2.169643774888425]","[0.24956623170145276, 0.0, 2.150520521929229]","[-0.07135875734474982, 0.00058295318457958, 0.03537854408232591]","[-0.009286563864901193, 0.0, 0.011143874611907361]","[0.01527647850191746, -0.04452542155185905, -0.0032333038414971886, -0.9988862703906017]","[[0.9960141845521636, -0.007819788920797039, 0.08885287754976201], [0.00509902234029389, 0.9995124692900661, 0.030806857704060893], [-0.0890504515362612, -0.03023100083786926, 0.9955683514687874]]","[-0.022338036838757208, 0.09428163372131011, 0.006734177004957942]",[0.49816949602506355],"[0.03344618900644297, -0.09963782134502808, 0.0, -0.9944613253864193]",[0.485588819437],"[-2.364342603992047, -0.8197592264137864, -0.5540700433297943]","[920.2097641387763, 1133.930078620408, 840.4516428064746, 1223.1774642097118]"
2,0.04001594896331895,"[-0.08875037009194645, -0.09081663406640415, 2.170719395194634]","[0.24935951690672728, 0.0, 2.1507685796080085]","[-0.06895979009025006, -0.005147484434088049, 0.015785751093775332]","[-0.011276792943827435, 0.0, 0.013532146100775603]","[0.015537060913418438, -0.045223717981507816, -0.0032521902646478816, -0.9988504634768419]","[[0.9958878872401408, -0.007902190828336706, 0.09024240437546242], [0.005091616184296932, 0.9994954560526281, 0.03133255325957315], [-0.09044452228843787, -0.03074424871817058, 0.9954262401995211]]","[-0.03731173359694628, 0.10949110349987666, 0.007578561910307889]",[0.5144744777691481],"[0.036574524401457885, -0.09611145402293393, 0.0, -0.9946973298103188]",[0.485588819437],"[-1.1911570037139507, -1.3057910454592074, -1.859445325356905]","[969.2225791119167, 1120.7693384159704, 861.8255858065012, 1246.1659913234928]"
3,0.060023923444976646,"[-0.09056159455356434, -0.09088231585390176, 2.1732547923924845]","[0.2491143027272652, 0.0, 2.151062836455483]","[-0.05756425495734746, -0.002964369756611507, 0.029790254762743388]","[-0.013267021113556921, 0.0, 0.0159204132251794]","[0.01701395503932155, -0.04810796662995261, -0.003287170605840486, -0.998691508499424]","[[0.9953490218710747, -0.008202752304633992, 0.09597817998322596], [0.0049287251795332105, 0.9993988254454518, 0.03429966303514831], [-0.09620189107480336, -0.03366710665989736, 0.9947916835200983]]","[-0.14921739356077385, 0.2597517340315825, 0.0021773580518737704]",[0.5069973674382363],"[0.034739558518031184, -0.09138518977687426, 0.0, -0.9952073919853662]",[0.485588819437],"[-2.3422585079735425, -0.2945787136510303, 0.0462666321363443]","[951.3327600417781, 1172.2907691540795, 920.5331895865314, 1202.245937722683]"
4,0.08003189792663434,"[-0.0918046848576965, -0.09082701677787527, 2.174915177869446]","[0.24882867636864284, 0.0, 2.15140558772689]","[-0.0656076921331906, 0.0012025876607009442, 0.026356627050121654]","[-0.015257247739451084, 0.0, 0.018308672939883353]","[0.019101336383599715, -0.05122229628759012, -0.003267519669678073, -0.998498779314148]","[[0.9947302730217177, -0.008482057426576387, 0.10216597264895161], [0.004568400179657708, 0.9992479981923862, 0.03848006184587803], [-0.1024156286183538, -0.03781058240329492, 0.9940219042880223]]","[-0.21583929598486676, 0.3125486982730344, 0.0018891977361400257]",[0.5124601156150488],"[0.03167738019253372, -0.09951256428418172, 0.0, -0.9945309943974052]",[0.48558624711377313],"[-3.7669631616565207, -1.3816319066315412, -1.9925566868417341]","[973.6542947593654, 1181.070059618836, 967.0541064508282, 1183.7980359461028]"
5,0.10003987240829204,"[-0.09309590398170846, -0.09097685781085663, 2.176556440720101]","[0.24850313116643932, 0.0, 2.1517962412903033]","[-0.06787441344102811, -0.006215501556061526, 0.024710643709839185]","[-0.01724747202299431, 0.0, 0.020696921410739547]","[0.02148363050938677, -0.05459273542424793, -0.0033278830566602, -0.9982712805083179]","[[0.9940156543008399, -0.008989960473410732, 0.1088537297768961], [0.004298559848005721, 0.9990532950633161, 0.043256339155616365], [-0.10913970981676706, -0.042529626198676014, 0.9931147111523898]]","[-0.23923086391654552, 0.3465375882686586, 0.007117438909887432]",[0.5153645295072827],"[0.03658698474117543, -0.1014550550010207, 0.0, -0.9941670449660481]",[0.48554772611999997],"[-2.78505993539034, -1.4900550891295978, -0.4411047691451522]","[984.1326556612031, 1158.930874809478, 982.944831352034, 1149.5130152359322]"
6,0.12004784688995329,"[-0.09429560538686921, -0.09086631972047218, 2.178443364769054]","[0.24811924386666476, 0.0, 2.1522569044797817]","[-0.06332460307519408, -0.0013431807253899489, 0.04059630395853227]","[-0.0192376909026475, 0.0, 0.02308514394316789]","[0.02351225928128374, -0.05860638012428429, -0.0033375618185575683, -0.9979882286476702]","[[0.99308748374566, -0.009417631624648022, 0.11682000773768253], [0.003905758004569436, 0.9988512466551837, 0.04732112081651957], [-0.1171339022130635, -0.046538711150012846, 0.9920041097104249]]","[-0.21646523403611354, 0.36373506285440027, 0.003721945116624374]",[0.5108574422268548],"[0.035407883420354266, -0.10215986225485381, 0.0, -0.994136661646672]",[0.48554772611999997],"[-2.5817583820724126, -0.5831832093567976, 1.2006507938463393]","[973.4263374389227, 1181.3682953357986, 985.5622226255638, 1162.967383171465]"
7,0.140055821371611,"[-0.09549425343751164, -0.09075429601024215, 2.180333513013669]","[0.2477348051877472, 0.0, 2.1527182293107026]","[-0.058526312076623704, 0.003838190469300519, 0.056338422063817534]","[-0.021227909708747415, 0.0, 0.025473366122536336]","[0.025539988219631653, -0.06261594736252063, -0.0033464803011541196, -0.9977051861597513]","[[0.992135973693811, -0.009876022619685529, 0.12477357270484825], [0.003479180387686118, 0.9986729054255051, 0.05138184347114447], [-0.12511544897472307, -0.050543671333597356, 0.9908537895581052]]","[-0.1934640895134084, 0.3801571338023981, 0.00039027926898603114]",[0.5063296769086304],"[0.033884834145946396, -0.10261138004528854, 0.0, -0.9941400937728258]",[0.48554772611999997],"[-2.1487526556545955, -0.09300151105877252, 0.947949756627736]","[962.507094499437, 1203.9749456297404, 988.1294899677056, 1176.3057650484416]"
8,0.1600637958532687,"[-0.09655311616478934, -0.09042452353106599, 2.1826374130779516]","[0.24728947154894748, 0.0, 2.153252626460355]","[-0.04587243679524495, 0.01732257537102425, 0.06739052204649312]","[-0.023218119865657503, 0.0, 0.02786154678550666]","[0.027254688197024177, -0.06621534644885618, -0.003282902846939266, -0.9974272975164014]","[[0.9912087823031444, -0.010158271071906078, 0.13191103913824084], [0.0029395565866200497, 0.9984920904563944, 0.05480389708475601], [-0.13226893711213863, -0.05393438288728393, 0.9897447011479151]]","[-0.16757639992041537, 0.35799042645335094, 0.00035002745897774154]",[0.4954236172537406],"[0.024068801531171902, -0.09746883187237418, 0.0, -0.9949474140639436]",[0.48554772611999997],"[-2.135438163238383, 0.26588153003153536, 0.9709289970585147]","[977.9800024097665, 1175.9653138533242, 984.5393543454798, 1170.334343037564]"
9,0.18007177033492994,"[-0.0974062803102306, -0.09011242055310666, 2.185033809645614]","[0.246795856327369, 0.0, 2.153844959338565]","[-0.03959626257899043, 0.02535430484850252, 0.07463670157081176]","[-0.02520831986184517, 0.0, 0.0302496786776299]","[0.028472657769467693, -0.07029829657536493, -0.003346817142181679, -0.9971093962743784]","[[0.9900847886927315, -0.010677444320496846, 0.139999598556546], [0.002671126959829212, 0.998347105214613, 0.05725126028577105], [-0.14038076967297133, -0.05631015810959263, 0.9884858065817834]]","[-0.12807414007266182, 0.4050714656235933, -0.0015440699476795198]",[0.4925784277897377],"[0.022059696932625564, -0.09757753754076337, 0.0, -0.9949823960614063]",[0.48554772611999997],"[-3.177259779512559, -2.046524819656863, 0.24777572681785998]","[1000.0582507959969, 1138.149212964499, 1006.821046784699, 1129.603452545434]"
