,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.38515412511644637, -0.07199902390995765, 2.198142945394473]","[0.24991860764378346, 0.0, 2.150097670832244]","[0.0057281748842893925, 0.002574748156542493, -0.05653232705594659]","[-0.0040221874030163945, 0.0, 0.004826624852538798]","[0.010482586774867669, 0.023020682805914055, -0.00011918397678890364, -0.9996800550783749]","[[0.9989401311053244, 0.0002443409212978145, -0.04602913362347365], [0.0007209242992209782, 0.9997802655280402, 0.0209529784558767], [0.0460241361979582, -0.020963953241977522, 0.9987203902639799]]","[0.00272124355192865, 0.0061807504699931326, 0.0006199687171840604]",[0.46549711840182717],"[0.021574185299558374, 0.05868722831986799, 0.0, -0.9980430593507897]",[0.46615503833000005],"[1.1922020741109671, -0.5427037705780188, 0.06975096977029338]","[998.7391994082194, 1003.1248682236082, 950.6485778294378, 1023.1359323681723]"
1,0.019999999999999574,"[0.38523810954406146, -0.07186918692525425, 2.1981288452289633]","[0.24981675234649303, 0.0, 2.150219897184084]","[0.0002774875337569099, 0.0010573885273168094, -0.06525030431558665]","[-0.006011624126892879, 0.0, 0.007213948688018377]","[0.010438000402295701, 0.022958862485452296, -0.00012884160808553628, -0.9996819439999421]","[[0.9989458150451158, 0.0002216879732407504, -0.04590581026048265], [0.0007368904901968607, 0.999782130073571, 0.020863444953753408], [0.045900430865454526, -0.020875277180803172, 0.9987279445406392]]","[-0.002981483491054493, 0.0011347382167258345, 0.0003394610028552033]",[0.481161048686474],"[0.0203963362512277, 0.04870722277224125, 0.0, -0.9986045511833246]",[0.4661593444014486],"[1.229006511773774, -0.5585634925230712, -0.8006560972918244]","[1038.5162969850276, 992.8307942120736, 1009.9630902933219, 992.5000203742838]"
2,0.03999999999999915,"[0.3853052292206964, -0.07177320226871593, 2.198148424465896]","[0.24966120285660134, 0.0, 2.1504065565509136]","[0.0033554804346352944, 0.003789021881584544, -0.05833039923648872]","[-0.008001060587666376, 0.0, 0.009601271260608328]","[0.010553672264420935, 0.023235786894836966, -0.00015087535363484948, -0.9996742977924453]","[[0.9989201571090889, 0.0001887933329898626, -0.046459622473572174], [0.0007920981857862827, 0.9997772006978038, 0.021093458405003724], [0.04645325331743201, -0.021107481235262692, 0.9986974426393039]]","[-0.014321413407229222, -0.03130448963563972, 0.0005102432650768467]",[0.4792452746031404],"[0.02070136449977602, 0.05129998622250771, 0.0, -0.9984657831845699]",[0.46625735271868946],"[1.4772429927841664, 0.09882102558596517, 0.003407520974807454]","[1037.237731942905, 970.7214029888298, 990.4083146415363, 989.6476654409298]"
3,0.05999999999999872,"[0.38539752054660165, -0.07162820215428699, 2.198139130827115]","[0.24949814097729003, 0.0, 2.150602230773426]","[0.0022866747216364796, 0.008760929075249545, -0.05670051437014472]","[-0.00999049696947856, 0.0, 0.011988593454221302]","[0.010802672561413401, 0.02371254673816474, -0.00021101030796542085, -0.999660430748859]","[[0.9988753451413037, 9.044044531288608e-05, -0.047413548323380496], [0.0009341950667255341, 0.9997665194179848, 0.02158800142838307], [0.04740443042232436, -0.021608015795542532, 0.9986420387230657]]","[-0.023208454883019338, -0.08716731389557376, 0.003130257215746503]",[0.47783520762470655],"[0.01927125464794542, 0.052992767883462084, 0.0, -0.9984089216144701]",[0.46633763744400003],"[1.000423209988452, -0.6038288732930396, -0.11189075060415732]","[1027.6550051650602, 966.5064537247864, 970.5685198510911, 996.5093789803561]"
4,0.0799999999999983,"[0.38541927416185484, -0.07144193310745889, 2.1982619187797856]","[0.24926864452125808, 0.0, 2.1508776264032896]","[0.00014154125641810313, 0.004187113929664818, -0.05087459088260341]","[-0.01197993231634642, 0.0, 0.014375910680045553]","[0.01158203520955445, 0.02654922002300796, -0.000231145893028398, -0.9995782618565937]","[[0.9985859306035905, 0.0001528911822081399, -0.05308140068823634], [0.0010770848221626048, 0.9997273656920599, 0.02314202776071376], [0.05307069212874994, -0.02316657473339946, 0.9983177503812475]]","[-0.06329702292265238, -0.2477295057286258, 0.0024060759910595397]",[0.4773381861053031],"[0.020158377848305143, 0.052264152524737886, 0.0, -0.9984294861195374]",[0.46633763744400003],"[1.1449025691557797, -0.7884448461596515, -0.13830265670670272]","[990.1841433560784, 1037.663214280771, 966.2318472835016, 1034.1771892901666]"
5,0.10000000000000142,"[0.3854200725780825, -0.07123816507622663, 2.198405584196064]","[0.24901403189770668, 0.0, 2.1511831613323253]","[-0.0018612886830844581, 0.006972685855442683, -0.05021914040211817]","[-0.013969366830748002, 0.0, 0.016763223910075817]","[0.012564278348724105, 0.029583259349150653, -0.00025773263991037327, -0.9994818435688414]","[[0.9982465810543614, 0.00022818642167947857, -0.059142337635383284], [0.0012585827980214153, 0.9996811973409512, 0.025100287031131274], [0.05912938473687374, -0.025130785317248116, 0.9979309917257403]]","[-0.10231183481174518, -0.3222039390427504, 0.0019229004675301764]",[0.4794298645506501],"[0.017394491369104283, 0.051896656913121085, 0.0, -0.998495765116738]",[0.46633763744400003],"[1.1927473092876144, -0.5600600675128284, -0.3394059745574296]","[974.6674159483542, 1065.8472826353386, 969.2047879573157, 1044.001024724373]"
6,0.120000000000001,"[0.3853813017671425, -0.07101974766765859, 2.198570574828069]","[0.24871965654513264, 0.0, 2.1515364113429913]","[-0.005829906017929229, 0.005280579785767668, -0.04540983933660122]","[-0.015958799760726557, 0.0, 0.019150529534680615]","[0.013331741093757319, 0.031961912090144005, -0.000280062342581919, -0.9994001032698405]","[[0.997956659476985, 0.0002924272054977368, -0.0638929439244658], [0.00141200454189119, 0.9996443164847193, 0.026629584195788956], [0.06387800904990014, -0.02666538950768241, 0.9976013457056345]]","[-0.11742869352429595, -0.30137533653519766, -0.0008937484490116543]",[0.47704893993474023],"[0.0230353432095497, 0.05078862157411701, 0.0, -0.9984437295276622]",[0.46633763744400003],"[1.1045666645367833, -0.7200877963617544, -0.024460686561852185]","[983.6170780391105, 1053.3788761309474, 994.6695243298594, 1015.3337384152685]"
7,0.14000000000000057,"[0.3852352561331773, -0.07079424878754094, 2.1988510086437225]","[0.24836444953278988, 0.0, 2.1519626586928826]","[-0.010598480429562861, 0.007590967332677691, -0.04326482068791834]","[-0.01794822838090037, 0.0, 0.02153781447237147]","[0.014403071447100936, 0.03475810450396983, -0.00031632256640952964, -0.9992882661811925]","[[0.9975762615058492, 0.00036905206719022856, -0.06947584400408206], [0.0016334417829556845, 0.9995776162290464, 0.028763651042474213], [0.06945761993798476, -0.02880763013375512, 0.9971615646915606]]","[-0.11329582472383942, -0.34126538049824984, 0.0026254380965126177]",[0.4774953778623209],"[0.022149729963116354, 0.050384535962178414, 0.0, -0.998483855766972]",[0.46633763744400003],"[1.1710445058958614, -0.36214463024245236, -0.3949513791007604]","[976.3526770952843, 1067.4372385780534, 971.3854544132638, 1047.0167114922053]"
8,0.16000000000000014,"[0.38504079213406184, -0.07053752583369192, 2.1991796533822257]","[0.24799978036944834, 0.0, 2.1524002604446015]","[-0.01613446875860523, 0.010360084625064296, -0.04132077176024217]","[-0.01993765596881958, 0.0, 0.02392509445531043]","[0.01555818299055236, 0.038082468411106504, -0.00035827566299202675, -0.9991516356048937]","[[0.9970956452281682, 0.000469044595192027, -0.0761114694383093], [0.001900931453895672, 0.9995120799127991, 0.03106267992086453], [0.07608917296500574, -0.031117256007337977, 0.9966117878351346]]","[-0.10514031047898252, -0.35818772857212533, 0.0052406361818854936]",[0.4781069245135501],"[0.020927344931846902, 0.049616980142870616, 0.0, -0.9985483554464886]",[0.46633763744400003],"[1.1936945400633627, -0.6152937835017206, 0.24649567944011963]","[971.2616034096981, 1075.8162606957085, 954.8646357814943, 1067.549708379988]"
9,0.17999999999999972,"[0.38461551692393803, -0.0701651876071454, 2.199669224548378]","[0.24758305903832398, 0.0, 2.15290032373133]","[-0.023107677031292684, 0.011139699739412258, -0.031145652573072842]","[-0.02192707749672561, 0.0, 0.026312345350458476]","[0.016439113412244324, 0.041974364122703396, -0.0004204203764649006, -0.9989833382472468]","[[0.9964759305485955, 0.0005400567621437794, -0.08387720346070647], [0.0022200285667360624, 0.9994591361360449, 0.032809507032845166], [0.08384955810770837, -0.03288009454471053, 0.9959357951556201]]","[-0.08115309657433584, -0.2770527057445218, 0.0032649390201026952]",[0.47174990930061034],"[0.022283433736786613, 0.04991898607824559, 0.0, -0.9985043598259866]",[0.46633763744400003],"[1.3063799002415089, -0.6001458003264688, 1.3817645261681797]","[974.9132955119369, 1059.3918564877272, 968.5950452213885, 1037.7999304776595]"
