,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.09195266863513675, -0.05299631674956099, 2.2445816152047278]","[0.2496044470077321, 0.0, 2.150474663557843]","[-0.3114790228894798, -0.020723531007623305, -0.028722727717151512]","[-0.008821187871270217, 0.0, 0.010585423670065009]","[0.009866498204629535, -0.044648424106365436, -0.0041668377900221055, -0.998945028627586]","[[0.9959776736942404, -0.009205930983450265, 0.08912041839907117], [0.007443836598310294, 0.9997699416709602, 0.02008426414461803], [-0.08928486678936812, -0.019340093181292678, 0.9958177031949332]]","[-0.01758332735721931, 0.16986152334374105, 0.026953464546426588]",[0.5106903933754483],"[0.02632555621749553, -0.1288035714473168, 0.0, -0.9913109540492263]",[0.49110065107699996],"[-2.4037807527998147, -0.5417183677122797, -0.9218325118822683]","[905.8980306647477, 1167.9452806999661, 883.0477107555638, 1169.235926460374]"
1,0.020000000000003126,"[0.08519116510735472, -0.05360049392871654, 2.245023921392676]","[0.24940824106455517, 0.0, 2.1507101106338977]","[-0.3191513691826958, -0.030173731324275248, -0.025655532183263368]","[-0.010810623886202173, 0.0, 0.012972744102483539]","[0.010154952438690443, -0.046343215287062575, -0.004344624919086473, -0.998864193925914]","[[0.9956662315974674, -0.009620606829619722, 0.09249291784445916], [0.007738154241235274, 0.9997553726856893, 0.02068952453999057], [-0.09266939568212824, -0.019884148988123528, 0.9954977370107783]]","[-0.02291178075117, 0.19002296553904607, 0.025297239636798162]",[0.5118299582031007],"[0.03180896871821966, -0.13622003799447727, 0.0, -0.9901583613140732]",[0.49110065107699996],"[-2.5003115710398953, -0.5592888494840713, -0.9731178050224472]","[885.3491270263524, 1215.8263723439084, 857.6055066869089, 1217.8402708586373]"
2,0.03999999999999915,"[0.07896061552377949, -0.054158416918263896, 2.2454372301712895]","[0.2491703403665213, 0.0, 2.1509955913159455]","[-0.3326687751437116, -0.024256594142071874, -0.03068054450694129]","[-0.01280005893905055, 0.0, 0.015360059917273369]","[0.01052382079751239, -0.04923817019106307, -0.0046712769713292196, -0.9987196143028798]","[[0.9951054005651642, -0.010366939229192013, 0.0982519333209125], [0.008294244511239357, 0.999732693764336, 0.0214807027568162], [-0.09844857204787977, -0.02056068223472059, 0.9949275406138937]]","[-0.03332134861340966, 0.26054250572863813, 0.024664162768801734]",[0.521596282106219],"[0.025850840961441433, -0.14796670449298274, 0.0, -0.9886495327047932]",[0.49110065107699996],"[-3.768609537883336, 0.7793560746793654, -1.7063600534658008]","[918.8395317191124, 1206.0817760415162, 883.3136117420307, 1221.4435024149543]"
3,0.060000000000002274,"[0.07341200233020047, -0.05451245864698135, 2.245761674600264]","[0.24889782455700474, 0.0, 2.1513226099942777]","[-0.3333182472868855, -0.014465296125766882, -0.02738093997449144]","[-0.01478949284589568, 0.0, 0.017747370230926433]","[0.010922871794416106, -0.05229268975423181, -0.004881359178542548, -0.9985578263564715]","[[0.994478688636836, -0.010891011513922619, 0.10432791230965865], [0.008606266130040015, 0.9997091211838262, 0.022324757035410113], [-0.10454118615161753, -0.021303719431000123, 0.9942877257152214]]","[-0.04589689987795585, 0.3719880252223116, 0.023973096381175635]",[0.522166350692457],"[0.021278154412944464, -0.14897063532076896, 0.0, -0.9886121973387135]",[0.49110065107699996],"[-2.390032231382042, -0.4360907720149559, -0.7963142135112484]","[960.2088963381234, 1191.6442396462992, 925.4344673593736, 1212.7943336406324]"
4,0.0799999999999983,"[0.06576610074344974, -0.054902099278742574, 2.2461682122373228]","[0.24858079271758118, 0.0, 2.1517030476125227]","[-0.32842027171575355, -0.019514059994416327, -0.021152834102622524]","[-0.016778924489171013, 0.0, 0.02013466967939021]","[0.011750706997248919, -0.05804499224986963, -0.005128073380021614, -0.998228181920943]","[[0.9932020640342482, -0.011602114126963927, 0.11576377719090711], [0.008873835340620717, 0.9996643480549526, 0.024055091723499216], [-0.11600481114190322, -0.022864455805098747, 0.9929785000775595]]","[-0.08105530101878226, 0.5065056358513707, 0.021577018246934157]",[0.522106379508547],"[0.023857657505529175, -0.14908874289296178, 0.0, -0.9885352768656815]",[0.49110065107699996],"[-2.8388728083382104, -0.18398564817882923, -0.20783144228585115]","[972.8734779330782, 1193.377125799633, 918.0491823939151, 1235.0924745973473]"
5,0.10000000000000142,"[0.05902536171347006, -0.055146718756745434, 2.2467717454903733]","[0.2482262728955283, 0.0, 2.1521284703403176]","[-0.32938389542243174, -0.008535119775880524, -0.011784421780645144]","[-0.018768353168366503, 0.0, 0.02252195490054695]","[0.01253757929455988, -0.062497044936807376, -0.005317814884034148, -0.9979508123523816]","[[0.9921288549883716, -0.012180958680064715, 0.1246046084770557], [0.009046712053781138, 0.9996262344509034, 0.025688470315423075], [-0.12487129858018517, -0.02435907945233065, 0.9918710315095185]]","[-0.11405854204472267, 0.5788268618209402, 0.019791928998938346]",[0.5211138661423682],"[0.019414767974018365, -0.15419347703701333, 0.0, -0.9878439058987902]",[0.49110065107699996],"[-3.856002100405012, -0.8159089901528094, -1.338013059560307]","[975.768375898245, 1216.6936354229558, 957.9284088737315, 1218.8411045227379]"
6,0.11999999999999744,"[0.0530853340776385, -0.05541734379081469, 2.247420057041835]","[0.24783110791710786, 0.0, 2.1526026665076725]","[-0.3332670498251729, -0.02032550772821123, -0.018113551357585463]","[-0.0207577774772796, 0.0, 0.024909219144227415]","[0.013984486993588015, -0.06968761296101697, -0.005516187179950693, -0.9974506077617221]","[[0.9902164890794939, -0.012953339544473553, 0.13886562170711564], [0.009055157476203403, 0.9995380841269552, 0.028666489936414383], [-0.13917418589860453, -0.027128850267546672, 0.9898862139685547]]","[-0.1422796752506154, 0.6766975834924217, 0.020788722289006373]",[0.5283805450797254],"[0.027376229881450387, -0.15605347965168906, 0.0, -0.9873641675645835]",[0.49110065107699996],"[-4.340594324933533, -1.031836840815942, -1.4934775516815861]","[996.5427994091393, 1201.5169853390153, 989.0538857232484, 1192.1322979846627]"
7,0.14000000000000057,"[0.04615107696760324, -0.05582244749569161, 2.2482729225787454]","[0.24739380866561855, 0.0, 2.153127422613737]","[-0.33337525537787194, -0.01107272498460391, -0.005191881927194568]","[-0.02274719556400309, 0.0, 0.027296453521530945]","[0.015734645670057154, -0.0776944679404724, -0.005734856949493909, -0.9968267377566107]","[[0.9878418052480646, -0.01387830733606358, 0.15471537415353584], [0.008988327641795784, 0.9994195077964464, 0.0322605643448898], [-0.15507631792181084, -0.030478297707267205, 0.9874124242678025]]","[-0.16118441343264248, 0.7658939594331753, 0.018978265164623063]",[0.5267734798335965],"[0.02392658956758455, -0.1603357150069768, 0.0, -0.986770904011442]",[0.49110065107699996],"[-3.1888393689606582, -0.8301353208715374, 1.0303857647658639]","[1002.4763612864011, 1199.276480077475, 1005.5056174629267, 1179.8964288181403]"
8,0.1599999999999966,"[0.039050780338450275, -0.056060606464321316, 2.2493588660444983]","[0.24692123311263972, 0.0, 2.153694508946187]","[-0.3181125674620138, -0.018769255498781265, 0.01404761922249427]","[-0.024736607118341105, 0.0, 0.029683656543663492]","[0.01733742186817214, -0.08612061637997297, -0.005888320846729731, -0.9961108624962635]","[[0.9850860036920244, -0.014717059630034576, 0.17136718631669962], [0.008744621799128148, 0.9993183524292873, 0.03555420014265988], [-0.17177553952715924, -0.03352577685960624, 0.9845541759427424]]","[-0.14723056079761115, 0.7577866965974098, 0.017728625149592156]",[0.5228317788670115],"[0.027339790525507675, -0.15980863352549565, 0.0, -0.9867684293753949]",[0.49110065107699996],"[-2.912007052503506, -0.23147976120838087, -0.09115655369901177]","[1016.1710389343198, 1200.254091812557, 1015.6688188424836, 1186.8330577975423]"
9,0.17999999999999972,"[0.03398769574666458, -0.056205462839916655, 2.2503028506668263]","[0.2464060672092367, 0.0, 2.1543127012957233]","[-0.30941344172437174, -0.002203904624101111, 0.012743986757119036]","[-0.026726008063130267, 0.0, 0.03207080863986046]","[0.018492397211171668, -0.09222359441849162, -0.006033627343140479, -0.9955439616924598]","[[0.9829081523905514, -0.015424353217589531, 0.1834021326309005], [0.008602611856674564, 0.9992345976162528, 0.0379328743635331], [-0.18384843756471464, -0.03570710315966866, 0.9822970241991517]]","[-0.1308076614457402, 0.7601259620247507, 0.015581569598451413]",[0.5250365671038393],"[0.019689558743414284, -0.15930201902443417, 0.0, -0.9870296894370669]",[0.4911530812849022],"[-4.5777285794717475, -0.9882732098935243, -1.0118978883284804]","[1027.671954170029, 1186.7490808733846, 1022.8178206587927, 1176.408108681386]"
10,0.20000000000000284,"[0.028476918636723532, -0.056296074120819516, 2.251483430212498]","[0.24585404848111306, 0.0, 2.154975114355772]","[-0.306780938726254, -0.017480591176875962, 0.02024000764237835]","[-0.028715397926215185, 0.0, 0.0344579075446051]","[0.019354251881751466, -0.09922710199062706, -0.006147687716284747, -0.9948556539757966]","[[0.9802285474797968, -0.016073056417692543, 0.19719531909291407], [0.008391191116001189, 0.9991714088869089, 0.039729408298124914], [-0.19767125467911936, -0.03728933935400367, 0.9795549614765062]]","[-0.11758831905580543, 0.7743223288889246, 0.010886758670568392]",[0.524335480980684],"[0.025495356662891253, -0.1603555278198162, 0.0, -0.9867298093203272]",[0.491408702259],"[-4.233057288501419, -1.7685189814666917, -0.7946887894752344]","[1040.9534242924146, 1156.7364949020682, 1012.4108888606893, 1172.7441515420694]"
