,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-0.76587722289849, -0.0957521732990065, 2.1735368477167145]","[0.249892655805899, 0.0, 2.150128813027553]","[-0.03801524123826886, 0.03502221121056548, 0.003867884752753981]","[-0.004515609740608976, 0.0, 0.005418731605732357]","[0.009721613916010025, -0.14840175760408988, -0.0015145208114241023, -0.9888781949467044]","[[0.9559492187849129, -0.005880762396189102, 0.29347307719970867], [0.00010994402865203501, 0.9998063625506151, 0.019676499143152133], [-0.2935319715460944, -0.018777468941778893, 0.9557647867772254]]","[0.024727807717775333, 0.0058454475578383685, 0.0032533673112860708]",[0.5756856121172763],"[0.0037727819137200235, -0.23673433472832356, 0.0, -0.9714880929376828]",[0.48438758815899996],"[-9.046718838173565, -0.606555658073282, -3.525148831959843]","[963.5430867924409, 1198.1147980540866, 954.7270744213015, 1157.3897412600659]"
1,0.020000000000003126,"[-0.7666662573190982, -0.09532741434740459, 2.173691590023502]","[0.24977826138464812, 0.0, 2.150266086327547]","[-0.03721486618778344, 0.031129282393384722, 0.01704812705965563]","[-0.006505046408304455, 0.0, 0.007806055171556825]","[0.009301940610518748, -0.14845681187163626, -0.001548531911979976, -0.9888738906076189]","[[0.9559162746823978, -0.005824478447573217, 0.29358132158165906], [0.00030073265854555723, 0.9998220724663354, 0.018856672624917442], [-0.29363893898917404, -0.017937112181981296, 0.9557480183863194]]","[0.02971635380469323, 0.015882259071921343, -0.0002832846877709515]",[0.5853670270938864],"[0.013173481988822074, -0.25264931350607966, 0.0, -0.9674340717161934]",[0.48438758815899996],"[-9.202252138181683, -0.5910589101744785, -4.020104581213392]","[952.9065376750492, 1271.592306193404, 939.1834998142018, 1238.6638643832641]"
2,0.03999999999999915,"[-0.7675769592587411, -0.09504139453608476, 2.1738633995906604]","[0.24963506528624846, 0.0, 2.150437921633094]","[-0.032557787486737794, 0.030061990231677327, 0.019214430243555704]","[-0.00849448296716859, 0.0, 0.010193378214980257]","[0.00889600758705751, -0.14870719764332405, -0.0016094443424158871, -0.9888399504711067]","[[0.9557671656566679, -0.0058287664446512, 0.2940666006464811], [0.0005371650107109148, 0.9998365490165512, 0.01807212731940021], [-0.2941238711628054, -0.017114783487705936, 0.9556140683768725]]","[0.04273891147938354, 0.021048525801063457, -0.002574019517821261]",[0.6075088454777314],"[0.023147008341347593, -0.25916710362732487, 0.0, -0.9655466119223004]",[0.48438758815899996],"[-9.391577121946973, -1.0121549410569588, -5.16858666512843]","[937.5106218179503, 1424.3841611819962, 941.0624746510297, 1389.2906120686223]"
3,0.060000000000002274,"[-0.7683071797643192, -0.09466076904019528, 2.1744032982428187]","[0.2494422516378043, 0.0, 2.150669297957604]","[-0.03445410804291789, 0.023911503620207185, 0.020935480541644402]","[-0.010483919003565904, 0.0, 0.012580698750435902]","[0.008585994778534901, -0.150456945971822, -0.0015439716648520223, -0.9885768184258402]","[[0.954718168795624, -0.0056363142973748625, 0.29744998485247937], [0.00046902408734137736, 0.9998453153652855, 0.017440433325091147], [-0.2975030109830899, -0.016511228279648488, 0.9545754978799537]]","[0.034546922117825264, 0.18963370802224783, -0.009625013082674827]",[0.6131250177285567],"[0.01670934449360703, -0.265186168527515, 0.0, -0.9640264079333082]",[0.48438758815899996],"[-9.948040971158393, -1.7147445839657798, -4.532915825855934]","[1004.422796054385, 1437.1327869407412, 989.2502734474648, 1398.4546560339247]"
4,0.0799999999999983,"[-0.7689754348171907, -0.09447737788994792, 2.1751927769914925]","[0.24921330468865163, 0.0, 2.1509440341715265]","[-0.03177257381844054, 0.01579076998555863, 0.03675236653620825]","[-0.01247335432565068, 0.0, 0.014968015857256134]","[0.008225502974664185, -0.15445308262741012, -0.0015284997755955474, -0.9879610477639071]","[[0.9522765997532698, -0.005561105060804178, 0.305162113326981], [0.0004792878984129175, 0.9998527914211166, 0.0167251160787408], [-0.3052124040447847, -0.015780790070196653, 0.9521459545780254]]","[0.034492320232122314, 0.4410047049542867, -0.01587372549390946]",[0.6156713312186788],"[0.021699544139514533, -0.27020599537434775, 0.0, -0.9625457624836755]",[0.48438758815899996],"[-8.784844494309116, -0.7236028129377936, -1.518102165086134]","[1088.43288674938, 1431.6229991773544, 1023.1008312129799, 1437.655331784748]"
5,0.10000000000000142,"[-0.7694466529603124, -0.09438308883545984, 2.1765939979238067]","[0.24894394325479485, 0.0, 2.1512672676189877]","[-0.01437578503122408, 0.02063467160898337, 0.07844535885142351]","[-0.014462788356139053, 0.0, 0.017355326764536785]","[0.007955648349720625, -0.1598414487728595, -0.0014978929250729549, -0.9871063820616846]","[[0.9488907694185511, -0.005500444048262623, 0.31553719498459604], [0.0004138746156756097, 0.9998627622288356, 0.016184993269396028], [-0.3155848618221057, -0.01522729176839492, 0.9487686721036522]]","[0.01703580274718432, 0.6360137689248295, -0.013485597280074433]",[0.600409809841597],"[0.01918668957858368, -0.2738668004332853, 0.0, -0.9615696882515464]",[0.48438758815899996],"[-6.9559595691662, -0.24016904126532979, 1.5490077774286348]","[1129.716670845925, 1421.5257467448685, 1057.5734292505297, 1443.6849555029687]"
6,0.11999999999999744,"[-0.7696095299221353, -0.0942893475733323, 2.17867306527491]","[0.248634792718415, 0.0, 2.151638247722653]","[0.012280959660747302, 0.019479746965724194, 0.1221839682963345]","[-0.016452220406206017, 0.0, 0.019742628165755876]","[0.007819397421262577, -0.1662909970178634, -0.0014103289898349056, -0.9860355145255324]","[[0.9446724941646084, -0.0053818597288055985, 0.3279156017652129], [0.000180678155762943, 0.9998555995909353, 0.01588945714679422], [-0.3279597134566779, -0.014951357091422847, 0.9445541862682643]]","[0.00019019682470892106, 0.8062148002048172, -0.013243433920127903]",[0.5812673425889539],"[0.02039610724717034, -0.27420289295791184, 0.0, -0.9614453945246546]",[0.48438758815899996],"[-7.319550680882305, 0.12208228886854922, 1.1465639019864575]","[1157.733182946504, 1405.9448125711017, 1101.3854483617515, 1419.0439985579633]"
7,0.14000000000000057,"[-0.7694211005849191, -0.09425118257532059, 2.181499194523036]","[0.24828585475377454, 0.0, 2.1520569722994916]","[0.028534466877429145, 0.027990618471519714, 0.14935839747832855]","[-0.018441649556031604, 0.0, 0.022129915645676443]","[0.00807444598582975, -0.17559062733043215, -0.001366453173492882, -0.9844162449571672]","[[0.9383066044129773, -0.0055259114759144065, 0.34568646530791164], [-0.0001452766680757364, 0.9998403478696106, 0.01637710433486254], [-0.3457305987172778, -0.015417358855057439, 0.9381799454455719]]","[-0.04209307874438449, 0.9967656849164311, -0.008231251284576597]",[0.5709903048398332],"[0.016287055163523134, -0.2733865271417877, 0.0, -0.9617634410384023]",[0.48438758815899996],"[-8.393484423953565, -0.4774012259361542, 1.3419019803713006]","[1169.0758764400555, 1369.0939422740955, 1119.2233254041355, 1374.7688334428383]"
8,0.1599999999999966,"[-0.7686778181238917, -0.09421951040916592, 2.1852061529061317]","[0.2478971274991679, 0.0, 2.152523443334269]","[0.04945950591693034, 0.018664407051415526, 0.1857409628587508]","[-0.020431074635392208, 0.0, 0.024517183587572187]","[0.008860266427704133, -0.18610238036786414, -0.0013007412408641494, -0.9824749014194759]","[[0.930699648334018, -0.005853724590558927, 0.3656587857837991], [-0.000741942100997919, 0.9998108316488485, 0.017894120852552754], [-0.3657048854395894, -0.016925836687882886, 0.9305460235472295]]","[-0.08840370649407715, 1.0925747489914017, 0.001334086370861954]",[0.555731743986311],"[0.020093888588009264, -0.2722524252001154, 0.0, -0.9620151027827596]",[0.48439124818960444],"[-6.983187805326553, -1.7986351921126087, 2.8846425619620604]","[1163.1744253659244, 1313.1874006081352, 1108.2911614199459, 1313.781619673608]"
9,0.17999999999999972,"[-0.7674455307980992, -0.09417661568297395, 2.1895076511791087]","[0.24747230002645237, 0.0, 2.1530332337440248]","[0.08554525252417082, 0.011994395564803103, 0.21572775955205073]","[-0.02242049488662831, 0.0, 0.026904428354462627]","[0.009908278022531771, -0.19916930314654413, -0.0012488571235096484, -0.9799070308144785]","[[0.9206459920530241, -0.006394377409879443, 0.39031005290425735], [-0.0014993219066400422, 0.9997864667380405, 0.01991585060112495], [-0.3903595489986179, -0.018920914589048893, 0.9204527633945104]]","[-0.1199902005098754, 1.1261878418148832, 0.010950817553724537]",[0.535167398226913],"[0.023461006957320892, -0.2649492546736329, 0.0, -0.9639653261552213]",[0.484397459188],"[-6.698759593449946, -1.4370173161041033, 2.6666641645557263]","[1154.681818409386, 1267.0389305867675, 1126.3287543021531, 1230.63304518668]"
