,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-1.450474973021973, -0.11394118302445934, 1.910190309023082]","[0.24995554568347608, 0.0, 2.150053345180446]","[-0.1341626445634687, 0.0014670198376949021, -0.010327896464400702]","[-0.002857967434528394, 0.0, 0.0034295609087487047]","[0.010456508884952788, -0.24427549050156533, -0.010314492223608916, -0.9695945555818267]","[[0.8804460367823699, -0.025110288680816224, 0.47348066414563605], [0.014893213333592953, 0.9995683901458083, 0.02531630346487974], [-0.4739120784639558, -0.015237992876093145, 0.8804401371259095]]","[-0.12498938240039344, -0.008352977138412413, 0.025493979664983523]",[0.6143103167024068],"[0.014501621638898407, -0.23838122440880885, 0.0, -0.9710622067918874]",[0.499035292324],"[-15.117822945198323, -0.8083273983311833, -2.1740425138640873]","[1235.5820101932961, 1295.9153194353162, 1221.8697632063602, 1292.997497514906]"
1,0.020000000000003126,"[-1.4532825688773663, -0.1143174259509359, 1.910078934667472]","[0.24987763238862307, 0.0, 2.1501468411310984]","[-0.1376428265435241, -0.014702489761237073, -0.02982503501729005]","[-0.004847404193596591, 0.0, 0.005816884913138703]","[0.01150011304881957, -0.2443396775271845, -0.010283483366691878, -0.9695668984029627]","[[0.8803845950346351, -0.025560917972993282, 0.4735708041511195], [0.01432118231749432, 0.9995238458625408, 0.027325583899402178], [-0.47404384903612995, -0.01727493186070754, 0.8803315898946699]]","[-0.09714819656239138, 0.014590535588842579, 0.023842611424898998]",[0.6187479394852909],"[0.017287579501819483, -0.23874090808685403, 0.0, -0.9709288525055811]",[0.499035292324],"[-15.229929167087501, -0.8787845525722071, -2.373623363623576]","[1243.278328445095, 1298.4001749717024, 1241.5149499634438, 1288.8945532028447]"
2,0.03999999999999915,"[-1.456539945096536, -0.11470433917937993, 1.9099240225403114]","[0.24976254488867305, 0.0, 2.1502849461261113]","[-0.14503809107860222, -0.00914758824471471, -0.030591898230211596]","[-0.006836840885128073, 0.0, 0.008204208593342472]","[0.012599335897080916, -0.24454407431429961, -0.010306942193069357, -0.9695014537936769]","[[0.8801837748334915, -0.026147376748549417, 0.4739119498751603], [0.013823005012843101, 0.999469896867872, 0.029471152213339902], [-0.47443139238220944, -0.01938914566287933, 0.8800787544181392]]","[-0.06480832031640524, 0.00424503327599479, 0.01525856866182053]",[0.6209724152340599],"[0.016442773177725262, -0.2407671885289597, 0.0, -0.9704432803153241]",[0.499035292324],"[-15.532701715583272, 0.427461355779279, -1.9093219727604236]","[1227.5846981340082, 1311.9430600082283, 1238.7811705294403, 1296.7846307986333]"
3,0.060000000000002274,"[-1.4591227760844627, -0.11498170126247667, 1.9097200946166266]","[0.24960336418420592, 0.0, 2.150475962951225]","[-0.14161704784971593, 8.300009248293208e-05, -0.0247217749482943]","[-0.00882627730245361, 0.0, 0.010591530957366292]","[0.013178628340484182, -0.24461284403811692, -0.01028524920791864, -0.9694766847542053]","[[0.8801174887072564, -0.026389942125701893, 0.47402180721934134], [0.013495295090153231, 0.9994410231542153, 0.030584553947060375], [-0.474563989126143, -0.020520937705501306, 0.8799817089199211]]","[-0.05370239966258884, -0.001298824854064321, 0.009731724498789405]",[0.6211988018778336],"[0.015013233262618922, -0.24156087080170818, 0.0, -0.9702690024797647]",[0.499035292324],"[-15.105187882739722, -0.8878719077903834, -1.6191210769605426]","[1244.3799417904208, 1307.0510552176775, 1235.102363541441, 1321.225557956251]"
4,0.0799999999999983,"[-1.4625269061887607, -0.1153725937567338, 1.9094118522267876]","[0.24940936168725694, 0.0, 2.1507087658964026]","[-0.1444427888088061, -0.005391660726374547, -0.020145404821163504]","[-0.010815713352245043, 0.0, 0.012978851557294795]","[0.013640501433567606, -0.2444852250462313, -0.010276359303549962, -0.969502597880272]","[[0.8802427217495137, -0.026595716208544017, 0.47377777226370454], [0.013256111957627149, 0.999416645722608, 0.031473839186435426], [-0.4743384710389522, -0.02142416711849805, 0.8800818023118666]]","[-0.035249138708390484, -0.019533208004617917, 0.007188220272073622]",[0.6223705598486856],"[0.016061240370758213, -0.24320463549798083, 0.0, -0.9698417471125924]",[0.499035292324],"[-16.0190352871053, -0.49359635953948144, -2.4908990216690974]","[1231.6635531340287, 1329.1901623691679, 1210.9910689314113, 1355.8738650576736]"
5,0.10000000000000142,"[-1.4651995474370658, -0.11570036166595472, 1.9091912486560174]","[0.2491719806304017, 0.0, 2.1509936230135325]","[-0.15100101520333226, 0.006302595353635629, -0.023894233408683716]","[-0.012805148456447302, 0.0, 0.01536616761843073]","[0.0138549684788809, -0.24401597658735016, -0.010300812885602913, -0.9696175309044687]","[[0.8807002128128466, -0.026737364840816617, 0.47291890256406444], [0.01321403018497231, 0.9994038861695015, 0.03189516648635139], [-0.473489772315412, -0.02184091482265557, 0.8805285060019534]]","[-0.015709584724649464, -0.053343186834033086, 0.0012878417506915008]",[0.624848804753386],"[0.014175989370571214, -0.24484531031225545, 0.0, -0.9694575751799508]",[0.499035292324],"[-16.24837340119737, -1.065854616291872, -3.351372493747675]","[1226.0210669295923, 1336.5193133567598, 1210.3365607735914, 1358.4172871564367]"
6,0.11999999999999744,"[-1.4683742479603714, -0.11605381164160575, 1.9089539573769185]","[0.24889504774137397, 0.0, 2.151325942158367]","[-0.1571830343581022, -0.007002439685646739, -0.02763872196040958]","[-0.014794582150181423, 0.0, 0.017753476908975007]","[0.013653596605077171, -0.24344622767156454, -0.01016780140387545, -0.9697649803726216]","[[0.8812610879044614, -0.026368588633034616, 0.471893598281949], [0.013072922282413343, 0.9994203780389836, 0.03143218547845095], [-0.4724489065168652, -0.02153093389650248, 0.8810950148747304]]","[0.0007193554599013189, -0.07298483384045619, -0.006448392467073128]",[0.6275270038678545],"[0.016491963697169376, -0.24642303346112426, 0.0, -0.9690214292875614]",[0.49906294149582187],"[-16.226072873286302, -2.616909319488342, -2.639882187061371]","[1236.0235764728181, 1331.743016927127, 1212.2328309976592, 1359.697836971019]"
7,0.14000000000000057,"[-1.471736781018327, -0.11637259823953287, 1.9087624670114411]","[0.24857612171624643, 0.0, 2.151708652769753]","[-0.16280237740354514, -0.010080130022485846, -0.02183584271816506]","[-0.01678401364555032, 0.0, 0.02014077564775074]","[0.013979327589955081, -0.2429668244003548, -0.010146541896986412, -0.9698807945975164]","[[0.881728347257317, -0.02647489789849965, 0.4710140297543363], [0.012888846571365044, 0.9994032595759681, 0.03204710882848112], [-0.4715813970866691, -0.022186016575057355, 0.881543408682517]]","[-0.010294205506484999, -0.054631026120554135, -0.003184410524076055]",[0.6289690845253385],"[0.017118674625839873, -0.24848230351530246, 0.0, -0.9684841483712534]",[0.49921793057949737],"[-15.637614203977147, 0.2777209352868566, -2.0598954044458395]","[1226.2175098150426, 1345.9964820454793, 1219.143538771653, 1355.6874975523676]"
8,0.1599999999999966,"[-1.475596046856515, -0.11663422587340276, 1.9087010542393037]","[0.2482231399358154, 0.0, 2.15213222983565]","[-0.16300393446033498, 0.008034141814459531, -0.01808748844076139]","[-0.018773442275569745, 0.0, 0.022528060632712094]","[0.014523428908138012, -0.24239563230047406, -0.010174068579648523, -0.9700154190651094]","[[0.8822816889814995, -0.02677883826048804, 0.4699594769675469], [0.012697175327051653, 0.9993711141236932, 0.033108199530044215], [-0.47055052641443906, -0.023243600384315055, 0.8820668523499268]]","[-0.03134882678401632, -0.05080504628965834, 0.0027404678502655874]",[0.6299140172729374],"[0.014205804590222275, -0.24976793649067738, 0.0, -0.9682005564508714]",[0.49927004275],"[-16.308013282622472, 0.26947510890057247, -3.108653247017461]","[1222.7265354369656, 1363.9076697915266, 1219.583051367031, 1362.345493748007]"
9,0.17999999999999972,"[-1.4796409017828795, -0.11678277004429471, 1.9087838127384487]","[0.24783061655672714, 0.0, 2.152603256170122]","[-0.1753003605559356, 0.006323804960820473, -0.021052559143313367]","[-0.020762867021330282, 0.0, 0.024915326973369366]","[0.014527192421369286, -0.24205858965470253, -0.010019473827038921, -0.9701011863107358]","[[0.8826146003197501, -0.026472670309957917, 0.4693515403129685], [0.012406943473321386, 0.9993772433317024, 0.033036292610779845], [-0.4699337596099536, -0.02333509379615886, 0.8823933013919966]]","[-0.025147591762171538, -0.02096457676176218, -0.005910346709381647]",[0.6329867931934519],"[0.01454493420356331, -0.25230276768637905, 0.0, -0.9675385774919706]",[0.49927004275],"[-16.084092482134086, -1.874407300457411, -2.106404339327014]","[1228.611972995259, 1369.9038838013687, 1235.5292358244822, 1356.497798602008]"
