,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-0.19107648219540257, -0.06443976229328013, 2.1134059710331132]","[0.24974690058449403, 0.0, 2.150303719289063]","[-0.18170452139321264, -0.006755809103771173, -0.1428321782080841]","[-0.007026186974226543, 0.0, 0.008431423772030388]","[0.008882826996283004, -0.08528067544739762, -0.0104006724944394, -0.9962630572666413]","[[0.98523801629662, -0.022238678526129308, 0.16973919814515087], [0.019208544581627737, 0.9996257942752569, 0.019473217511841046], [-0.17010874764280332, -0.0159253120101092, 0.9852965550424013]]","[-0.004808119491025045, -0.10330332062250294, -0.011523593785518984]",[0.4983762159648212],"[0.01054801301464365, -0.09161960525559859, 0.0, -0.9957373421796002]",[0.457924784172],"[-4.791547119478442, -0.5497070817787689, -1.8761762648102653]","[940.420305724103, 1145.1070247717557, 956.9153441325283, 1143.9693562069426]"
1,0.01999999999999602,"[-0.19462087001450537, -0.06465534578842916, 2.1106304846728]","[0.24958118334331494, 0.0, 2.1505025799518456]","[-0.17692361130056455, -5.52759824117465e-05, -0.13943509165213763]","[-0.009015623312558497, 0.0, 0.010818745757000547]","[0.009003687068821643, -0.08432429378672084, -0.01032048082409819, -0.9963439027470089]","[[0.9855651400749046, -0.02208395539212535, 0.16784614717621366], [0.019047037177905284, 0.9996241803584964, 0.019682071940588016], [-0.16821783669517348, -0.016201002912462115, 0.9856160319621192]]","[-0.007131349801852356, -0.10509289347459372, -0.008895389781224195]",[0.4985847245048941],"[0.009371848504443715, -0.09119550348229179, 0.0, -0.9957888168520773]",[0.457924784172],"[-4.740090724415159, -0.5558352587319587, -1.8968351401037609]","[943.1094637352893, 1147.3392526771215, 954.1550523595852, 1153.14226470015]"
2,0.04000000000000625,"[-0.19815989311441762, -0.06487321200627297, 2.1079342767342615]","[0.24939092366721954, 0.0, 2.150730891514557]","[-0.17036910512326836, -0.0005064214802764313, -0.12479744557423303]","[-0.011005059405138231, 0.0, 0.01320606656241475]","[0.00907386816130601, -0.08316496489959002, -0.010220472661871195, -0.9964420692485177]","[[0.9859582630034945, -0.021877473710062722, 0.16555266098409555], [0.018858962001508637, 0.9996264156101771, 0.019783138433843484], [-0.16592361787001575, -0.016383197433116534, 0.9860025089595411]]","[-0.007927194763194518, -0.09380917596532706, -0.005935311716517988]",[0.4972030478799453],"[0.009574506340121556, -0.09072759730602556, 0.0, -0.9958295682121594]",[0.457924784172],"[-4.777691409143481, -0.9722019935212478, -0.17136168602990764]","[934.5373477470873, 1156.7284124390544, 959.6003884916536, 1149.198834525039]"
3,0.060000000000002274,"[-0.2017200243479987, -0.06505149968477664, 2.105550250062439]","[0.2491462801176018, 0.0, 2.1510244636037]","[-0.17742733910514358, -0.0040953116249985, -0.11484889248843475]","[-0.012994494336842672, 0.0, 0.015593381795187008]","[0.009199150195960303, -0.08199529341833066, -0.010143178176129275, -0.9965384806049697]","[[0.9863474554845186, -0.02172470877532483, 0.16323631300071062], [0.018707560697256594, 0.9996246630413793, 0.019998000059770638], [-0.16360954747873702, -0.016671228576786126, 0.9863839748828884]]","[-0.014322404544170303, -0.11154249030066847, -0.002892987792259191]",[0.4968635287104926],"[0.010347037794025186, -0.0926445455870582, 0.0, -0.995645066810893]",[0.457924784172],"[-5.075798370282247, -0.5794826308774016, 0.12105023913371937]","[922.3322324168112, 1168.5719887108128, 963.0630732621158, 1147.871110037963]"
4,0.0799999999999983,"[-0.2052703480424035, -0.06519437741916706, 2.103295567914557]","[0.24887080544181991, 0.0, 2.1513550329123756]","[-0.1752659731403406, -0.001400379921854019, -0.09675282059159142]","[-0.014983928148432685, 0.0, 0.017980691651613038]","[0.009492769340843669, -0.08034296519347234, -0.009993693765852376, -0.9966720464884548]","[[0.9868904149500778, -0.021446224908664126, 0.15996143942109298], [0.01839551596169987, 0.9996201737227199, 0.020528201672331235], [-0.16034091074022205, -0.01731650971079484, 0.9869099374407322]]","[-0.02521746797085026, -0.10130550894070124, -0.005030695983673612]",[0.4950643342414068],"[0.009953680975064279, -0.09308534006432374, 0.0, -0.9956083656659599]",[0.457924784172],"[-3.8637211600109462, -0.5710945344664695, -0.26273775233780583]","[942.8762305628326, 1141.4966741918265, 953.1986163219825, 1150.9230162809024]"
5,0.09999999999999432,"[-0.20887173631429928, -0.06545731297066425, 2.101293475454625]","[0.24855123277140762, 0.0, 2.1517385194953986]","[-0.17236421206683944, -0.005693329698551216, -0.09148431869083104]","[-0.016973359636773485, 0.0, 0.02036799035652228]","[0.00964826776766872, -0.07991213588699857, -0.009992955400616744, -0.9967051114441421]","[[0.9870283596301355, -0.02146208682230429, 0.1591048391909896], [0.018378032082607926, 0.9996140804123465, 0.020830072421007956], [-0.1594904980289717, -0.01763583878146075, 0.9870418998035796]]","[-0.020227678945964486, -0.0901868296672882, -0.003560744535938386]",[0.49504403283122933],"[0.010866249602524239, -0.09306048387134674, 0.0, -0.9956008961014753]",[0.457924784172],"[-5.405396750369505, -1.7035566456573763, -0.08737006549190696]","[942.2768094428104, 1143.2282196542828, 935.9631393998934, 1165.1557983429864]"
6,0.12000000000000455,"[-0.21246965526640366, -0.06556396510711275, 2.0995746578025543]","[0.2481918380369836, 0.0, 2.1521697920701066]","[-0.18630616460746455, -0.013702911152133538, -0.07166428363866792]","[-0.018962787965300657, 0.0, 0.022755273894237128]","[0.00973412353418165, -0.07827365918338039, -0.009897521191963247, -0.9968353257198103]","[[0.9875506931161976, -0.021256248458345728, 0.1558592097067633], [0.018208546586491903, 0.9996147182381521, 0.020956066808665703], [-0.1562445844826223, -0.01785720600650564, 0.9875571086457309]]","[-0.0116541541402808, -0.1101886561047415, -0.004488277943029742]",[0.4934510858982662],"[0.012500255324083191, -0.09653134419679875, 0.0, -0.9952513487249117]",[0.457924784172],"[-4.876080921750511, -0.08796072555306828, 0.2610847619160417]","[920.649301336917, 1166.696404578216, 935.3312490827597, 1168.1780303535904]"
7,0.14000000000000057,"[-0.21598309475330732, -0.06575739011847408, 2.098164576055086]","[0.2477930228573351, 0.0, 2.152648368432725]","[-0.18005369526124365, -0.0008987489646761042, -0.06407528783936864]","[-0.020952211967833943, 0.0, 0.025142536667685917]","[0.009926584946484875, -0.07742417069571418, -0.009832173221944913, -0.9969003525699714]","[[0.9878176762046477, -0.021140509117616137, 0.15417316632259787], [0.01806627868832753, 0.9996096064430864, 0.021314127781624472], [-0.1545635659333826, -0.0182691363502417, 0.9878139452877808]]","[-0.0059231352106984304, -0.07624604560737669, -0.003356015273527898]",[0.4928587550625755],"[0.010169161884846588, -0.09595562721020533, 0.0, -0.9953336158483297]",[0.457924784172],"[-4.417748921556318, -0.11408435335883804, -0.7007501490747039]","[937.3812974705057, 1142.7385256515267, 948.3340918559946, 1149.75577548553]"
8,0.1599999999999966,"[-0.21971482565006914, -0.06591768929019025, 2.096955737186986]","[0.24735410093814222, 0.0, 2.1531750717539873]","[-0.1895960598286975, -0.008226135971652265, -0.05226822814804323]","[-0.022941630008716324, 0.0, 0.027529770824957858]","[0.010047224491878828, -0.07699061487673281, -0.009800252286592615, -0.9969330971398692]","[[0.9879529471689038, -0.02108747571251836, 0.15331205360992736], [0.017993307746781078, 0.9996061632871183, 0.02154187615968036], [-0.15370591494912914, -0.018523766361712872, 0.9879431436186852]]","[-0.008973825402756659, -0.05188346474247429, -0.002277575682775453]",[0.4929430119163643],"[0.011663717708153694, -0.09843614592306942, 0.0, -0.9950749406669878]",[0.4586018814641992],"[-4.888951645548501, -1.141641441374417, 1.54064590840769]","[927.7022250112939, 1148.2332634393267, 948.4037636228088, 1149.0881724335188]"
9,0.18000000000000682,"[-0.22351949263387816, -0.0660142341229765, 2.096036808491594]","[0.2468753742391697, 0.0, 2.153749539189371]","[-0.1883539912539899, -0.005533757880998779, -0.021439553835579297]","[-0.024931040288040305, 0.0, 0.02991696772660246]","[0.01004249021872936, -0.07642250163527482, -0.009754015159132946, -0.9969772758436051]","[[0.9881290005904109, -0.020984007374105336, 0.15218708578332163], [0.017914118473453033, 0.9996080948832115, 0.02151512156080836], [-0.15257890419063735, -0.01853341660301103, 0.9881175789942735]]","[-0.021150767115416656, -0.060436898833756435, -0.002403986495249721]",[0.4892853251245851],"[0.011311284382985391, -0.09947960074120853, 0.0, -0.9949752983902965]",[0.458613298093],"[-4.559592896722623, -0.00085038388152614, 1.1851635747228215]","[920.6799112818261, 1150.3082878738344, 919.9913924718317, 1174.8647875074257]"
