,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.08820547449757205, -0.03262344582030695, 2.2526954976278755]","[0.24971759508485702, 0.0, 2.150338885886261]","[-0.3262728835678741, -0.007888272336478683, -0.05482538482413263]","[-0.007478169969089356, 0.0, 0.008973803256900344]","[0.006704982601167313, -0.05683354512533635, -0.0016529339737183211, -0.9983596943438809]","[[0.9935342520398542, -0.0040625811760001546, 0.11345847569255062], [0.002538309451088004, 0.9999044421595176, 0.01357585295573392], [-0.11350280726668925, -0.013200084565395833, 0.9934498028379333]]","[-0.021121583335977155, 0.1787049428296496, 0.019758622696108896]",[0.4600176780321195],"[-0.0001420921531327256, -0.09707423110473161, 0.0, -0.9952754436883144]",[0.45354668326700004],"[-2.984832253190097, -0.3571495520232981, -0.19774561430451243]","[886.0576537790612, 1081.4722638821881, 865.5561018191463, 1077.9461032639636]"
1,0.020000000000003126,"[0.08253861026087461, -0.03288826644837953, 2.252915136563464]","[0.24954055938570496, 0.0, 2.1505513286922047]","[-0.327743494115025, -0.01820381819746171, -0.05373633542214305]","[-0.009467606202919816, 0.0, 0.0113611247402054]","[0.006783007754453367, -0.05841675249012684, -0.0018615060779455456, -0.9982671842817338]","[[0.993167398231607, -0.004509043432169094, 0.11660580082608042], [0.00292407829164704, 0.9999004137861985, 0.01375999438362708], [-0.11665630726672709, -0.013325021824370233, 0.9930823102529696]]","[-0.006315020493862541, 0.16882055867428644, 0.020122049356602098]",[0.46368387405597355],"[0.00620697531328406, -0.1025460407159995, 0.0, -0.9946993227020323]",[0.45354668326700004],"[-3.0920792126272794, -0.3648788679299153, -0.3962914700223834]","[861.119252902481, 1105.637708318219, 878.8706653827662, 1064.885477162956]"
2,0.03999999999999915,"[0.07799724371896244, -0.03310305960053072, 2.253099424169373]","[0.24933948961740296, 0.0, 2.150792612344483]","[-0.32968445531626267, -0.00826624861232084, -0.057239617798990824]","[-0.011457042126334992, 0.0, 0.013748444733578263]","[0.006965250140594921, -0.05965259082158818, -0.0020070721505229235, -0.9981928688639135]","[[0.9928750582299457, -0.004837880649108519, 0.11906162201557528], [0.0031758997826808457, 0.9998948919943592, 0.01414478014787954], [-0.11911754105388973, -0.013665871932901344, 0.9927860854881384]]","[0.00591113210293828, 0.16863151471175397, 0.021253624066867503]",[0.46688652035293093],"[0.0015311870810929436, -0.10683305748980591, 0.0, -0.9942753852430049]",[0.45354668326700004],"[-3.470658275806688, 0.517506872848599, -1.0933573356078803]","[863.034658783299, 1104.00887582124, 869.0356720466414, 1076.093804624255]"
3,0.060000000000002274,"[0.07158507008991023, -0.03316876830072771, 2.25336797350263]","[0.24909040558023787, 0.0, 2.1510915130129193]","[-0.33237610110292043, -0.009465684665210873, -0.06093526213392724]","[-0.013446476943245246, 0.0, 0.016135759415451038]","[0.006684012682716222, -0.06143266470687021, -0.0021768917062297034, -0.9980864595277069]","[[0.9924425455676082, -0.005166685691759616, 0.12260112088971895], [0.0035242188516245204, 0.9999011381024963, 0.013609909624444999], [-0.12265932237681229, -0.013074980591277097, 0.9923626712315241]]","[0.025119272216563796, 0.18157830534586736, 0.015855055305422316]",[0.4705828981772375],"[0.0033019221500434444, -0.11135757108320535, 0.0, -0.9937734313906458]",[0.45354668326700004],"[-3.8095434171031455, -1.4773774185575757, -1.3439128292937497]","[904.1058618021061, 1069.1813832206801, 847.9883713446421, 1107.2712718319822]"
4,0.0799999999999983,"[0.06507119413943774, -0.03354842245307765, 2.2535933338101373]","[0.24880132640904273, 0.0, 2.1514384076418076]","[-0.3368601710405187, -0.019240080929314674, -0.06493530449903451]","[-0.015435910167517813, 0.0, 0.01852306645282316]","[0.006535144961495214, -0.06348709982114771, -0.0024038884301558396, -0.9979582488401509]","[[0.9919269840244833, -0.005627755377363077, 0.1266835304041802], [0.003968165775298608, 0.9999027914725486, 0.01334883545282901], [-0.1267463694416295, -0.012738371833932186, 0.9918531251443171]]","[0.035477739797719655, 0.20439920133629147, 0.010857821071684978]",[0.47477212401322594],"[0.00959187571796311, -0.11650400101757279, 0.0, -0.9931418104625531]",[0.45354668326700004],"[-3.968123378226123, 0.20229907061503316, -1.1881929753349532]","[875.20000410648, 1111.071414561057, 875.8672143170188, 1095.2131179397832]"
5,0.10000000000000142,"[0.05785015185657029, -0.03387434805464372, 2.253807626143519]","[0.2484735964464347, 0.0, 2.151831682894866]","[-0.33884551622637293, -0.0051374098208896045, -0.06309248497197235]","[-0.017425341107785004, 0.0, 0.020910362527152285]","[0.005913664279831446, -0.06596690111470074, -0.002640513291964598, -0.9978006555445942]","[[0.9912825152773147, -0.006049624000939339, 0.13161240413471742], [0.004489199573846622, 0.9999158365122389, 0.012149689148619098], [-0.13167486457125788, -0.011452943231726773, 0.9912265170477756]]","[0.03857232934359242, 0.22393966265682322, 0.013519710434726245]",[0.476399964077178],"[0.0021673380329007784, -0.12063304870345819, 0.0, -0.992694751682806]",[0.45354668326700004],"[-3.252688137015141, -0.7509123056833621, -0.3498532872093101]","[885.3272659519807, 1117.7401577727503, 883.2865925403067, 1104.0541268456439]"
6,0.11999999999999744,"[0.050939726183254805, -0.03421571677458555, 2.2540542412091074]","[0.24809907746981186, 0.0, 2.1522811043042687]","[-0.3334691215153322, -0.0249023659358744, -0.05674771847250023]","[-0.01941476789655967, 0.0, 0.023297638674216845]","[0.005250258667888541, -0.06871931374476564, -0.002854832840557995, -0.9976174211826775]","[[0.9905375901111564, -0.006417650297889786, 0.1370811919052598], [0.004974473607330554, 0.9999271478421, 0.010867863332920263], [-0.13714114634872587, -0.0100831347182836, 0.990498759820092]]","[0.06014930399900131, 0.26239911545849687, 0.015359639770400961]",[0.47523986656408773],"[0.013648016905750395, -0.12128681382810483, 0.0, -0.9924982442360861]",[0.45354668326700004],"[-3.478058383807408, -1.317744512513364, -0.8282752879525255]","[898.7901213635389, 1116.5187824325892, 887.4067320653157, 1115.3768063732296]"
7,0.14000000000000057,"[0.04355506621038863, -0.03472579449051925, 2.2543318955850826]","[0.24769558425267954, 0.0, 2.1527652941590185]","[-0.3354779994758794, -0.016649071133554204, -0.0606140841488183]","[-0.02140419112934614, 0.0, 0.025684897752514504]","[0.0048565198383003685, -0.07136068437848003, -0.003034743748950135, -0.9974338202895475]","[[0.9897962546977543, -0.006747041260947872, 0.1423256434897661], [0.005360782943512755, 0.9999337776778048, 0.010121237052932617], [-0.14238459666264983, -0.009254991489579032, 0.9897675024671183]]","[0.060308149665891354, 0.29757630272685726, 0.010961472851096679]",[0.47909861884914395],"[0.009509497759372054, -0.1251485193573752, 0.0, -0.9920839947821739]",[0.45354668326700004],"[-3.8921863304648756, 0.49185577489738747, -1.4303938659742705]","[909.6237620621749, 1115.0440540014947, 883.3848544686508, 1128.0067614546833]"
8,0.1599999999999966,"[0.03789692318676437, -0.03512406701180849, 2.254595463151574]","[0.2472325658143869, 0.0, 2.153320912291436]","[-0.3323920919470651, -0.018530789091367142, -0.05909578141245547]","[-0.02339360437984062, 0.0, 0.028072108915945866]","[0.004391641526019148, -0.07465399393601489, -0.0031905973561556803, -0.9971898922618684]","[[0.9888235690224421, -0.0070189700273769395, 0.14886039242026153], [0.005707555707966601, 0.9999314336130531, 0.009234982751724985], [-0.14891644025962994, -0.00828221940901014, 0.9888053558148342]]","[0.04784964665957056, 0.33918288225188387, 0.009382234945208888]",[0.4805739279486321],"[0.010758938569309859, -0.12679730856551497, 0.0, -0.9918652861315091]",[0.4535375542666662],"[-3.9281696280987655, -0.956122716238273, -1.3242761270211538]","[929.9966019226097, 1088.9220848951056, 877.8769244654716, 1134.5766062630255]"
9,0.17999999999999972,"[0.03191169935790505, -0.035560580316897954, 2.254901250234214]","[0.24676127348419083, 0.0, 2.1538864587659536]","[-0.3308993578164544, -0.023983254905685862, -0.059231558339305566]","[-0.0253830160376454, 0.0, 0.03045931243443727]","[0.003908508898789078, -0.07843577657488227, -0.003367924973679432, -0.9969053822433712]","[[0.9876721036220808, -0.007328138927958498, 0.15635976852641717], [0.006101871205053061, 0.9999458928322666, 0.008321158737010859], [-0.15641242278533748, -0.007264495493984915, 0.9876642365757137]]","[0.03262333635947359, 0.38090144708236173, 0.010003645784392466]",[0.4818632672267837],"[0.013913102583116564, -0.12831672741660466, 0.0, -0.9916353550309444]",[0.45352769962899997],"[-2.668148438554813, -0.16828092949806675, 0.4796599945614908]","[949.9974712720598, 1062.3111433701915, 874.4844323134236, 1138.9120394173035]"
