,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-0.12511400194475542, -0.03766202398362878, 2.114148011968332]","[0.24988353643831576, 0.0, 2.150139756273194]","[-0.0667261438187039, -0.017719453876143133, -0.08453569204563974]","[-0.004811822714609363, 0.0, 0.005774187181665597]","[0.006436832200932227, -0.05645203310278331, -0.0008427215205607162, -0.9983842090179801]","[[0.9936249194042417, -0.0024094642464230556, 0.11271078791951836], [0.000955975188486705, 0.9999157178695514, 0.012948009937368615], [-0.1127324857475982, -0.012757716564668129, 0.9935434741457982]]","[-0.04770692226112868, 0.0027039344996489796, 0.012153810796850614]",[0.49340855354502955],"[0.006255429975955444, -0.07323163831854607, 0.0, -0.9972953121429866]",[0.45265450533999996],"[-3.1866603055859755, -0.36607772925168314, -2.152710616616737]","[945.207130745467, 1080.3388158193422, 912.1124788045673, 1062.433467760242]"
1,0.019999999999999574,"[-0.1262579427570592, -0.038163495922966424, 2.1130407755297935]","[0.24976714773902955, 0.0, 2.150279422705765]","[-0.057449012851286806, -0.022544799108242978, -0.06350738779951183]","[-0.006801259404385946, 0.0, 0.008161510853454007]","[0.007119529571212522, -0.05633078957376451, -0.000943389709892444, -0.9983863603011688]","[[0.993651964298582, -0.0026858322818905183, 0.11246635096901005], [0.0010816373933298525, 0.9998969046039587, 0.014322366205786833], [-0.11249321693275706, -0.014109798656850808, 0.9935523688642408]]","[-0.062380317612870786, -0.003960980547646909, 0.01238842050940618]",[0.4866503578601032],"[0.009885607568112223, -0.0730099891808321, 0.0, -0.9972821252968245]",[0.45265450533999996],"[-3.136196475314322, -0.39938838617718336, -1.7682063302577475]","[958.346147623513, 1105.5409271098933, 934.808189236018, 1078.1486340018491]"
2,0.03999999999999915,"[-0.12743851048598526, -0.038653257840194806, 2.11185716931194]","[0.24961150409706748, 0.0, 2.150466195064355]","[-0.05367307618028518, -0.015345465639072759, -0.061996797661672536]","[-0.008790695887998046, 0.0, 0.010548833535721905]","[0.008039003279190614, -0.056413626857581806, -0.0010238770364835435, -0.9983746260091798]","[[0.9936329738132802, -0.002951444369355562, 0.11262740532981175], [0.0011374070441590185, 0.9998687172562875, 0.01616739501886546], [-0.11266032913322688, -0.01593635255052854, 0.9935058193142062]]","[-0.08566416142635556, -0.013009780784389326, 0.011719154792870782]",[0.4889714963567808],"[0.006867787250624041, -0.07419148027630641, 0.0, -0.9972203491029576]",[0.45265450533999996],"[-3.7997898335631133, -1.2922225945217072, -2.1604805739179014]","[965.2256747118405, 1103.8550938920514, 929.3075869430762, 1092.954153516897]"
3,0.05999999999999872,"[-0.12847753965024858, -0.03912095006797791, 2.110851081983146]","[0.24941555733739978, 0.0, 2.1507013311128804]","[-0.06211669739187068, -0.03287211899336524, -0.061299982517637186]","[-0.010780131919512678, 0.0, 0.012936154047561732]","[0.008458495781159023, -0.0563015968734166, -0.0010816654471703605, -0.9983774126631336]","[[0.9936579644561765, -0.0031122743402787327, 0.11240218670532584], [0.0012073670617734913, 0.9998546117754102, 0.01701134124994813], [-0.1124387837558119, -0.016767743282114174, 0.993517212154696]]","[-0.07068650839206135, 0.00021695121586050303, 0.009745297603256695]",[0.4925766363779753],"[0.016987917141325328, -0.08129571114837011, 0.0, -0.9965440684701167]",[0.45265450533999996],"[-2.6041796879660866, -1.1795226832433405, -0.5405993834574687]","[947.1495697265655, 1131.9489661682235, 939.7167158890816, 1090.04469557807]"
4,0.0799999999999983,"[-0.12950106780972334, -0.03966053756034507, 2.1098693117191947]","[0.24918010115123287, 0.0, 2.1509838784034985]","[-0.045599629848676895, -0.024159429042507483, -0.04314585333026455]","[-0.012769567137608833, 0.0, 0.01532347065549157]","[0.009136233508491153, -0.056322415775830754, -0.0010279396794774037, -0.9983703444913149]","[[0.9936535443436183, -0.003081678468412926, 0.11244247628750974], [0.0010233794992516635, 0.999831031855826, 0.018358481282490815], [-0.11248004227528714, -0.018126897098410814, 0.9934887161381443]]","[-0.0518334633154013, -3.4963105750283636e-05, 0.00042307109604020933]",[0.486470024451592],"[0.01304303060397791, -0.07629264481134096, 0.0, -0.9969998643895791]",[0.45265450533999996],"[-1.6768723926256144, -0.06348939706165208, -1.4764311158354104]","[935.1448994388518, 1162.9437838905405, 934.8882779608485, 1103.3418397647736]"
5,0.10000000000000142,"[-0.13046571855473288, -0.04028286558918836, 2.109019779057106]","[0.24890496264337666, 0.0, 2.151314044321639]","[-0.0444557574944367, -0.029573262055040565, -0.05466726949720989]","[-0.014759001011696457, 0.0, 0.017710780812184985]","[0.009733830051294187, -0.05636774613215317, -0.0009973687164366162, -0.9983622033500347]","[[0.9936435189770281, -0.0030888185810378603, 0.1125314380175751], [0.0008941223361383641, 0.9998086696901308, 0.01954821488730619], [-0.1125702708879122, -0.01932333718087319, 0.9934560135708062]]","[-0.025074521817782865, -0.0017302661036651531, -0.005352505197138112]",[0.49493691592358446],"[0.01637926588617758, -0.07722738665602644, 0.0, -0.996878918036337]",[0.45265450533999996],"[-3.3813130409407295, -1.0865488768454514, -1.8527361165225535]","[960.5960996200964, 1147.7177799850476, 911.8782761014186, 1130.886121359336]"
6,0.120000000000001,"[-0.13127838958676777, -0.040790092905868804, 2.1083718270428458]","[0.24858996028174016, 0.0, 2.151692046584488]","[-0.04468477799630098, -0.029643773329177156, -0.0343270011140512]","[-0.01674843280841703, 0.0, 0.02009808099705348]","[0.009547857701576559, -0.05671055302461656, -0.000940944519407023, -0.9983445638547528]","[[0.9935660575640797, -0.0029617022725913506, 0.11321537664189255], [0.0007958451107643466, 0.9998159080394162, 0.019170826633777494], [-0.11325131265939806, -0.018957380697533274, 0.9933855051438778]]","[0.01241648401250069, 0.0538497789672249, -0.00825477978626129]",[0.4891374190344074],"[0.01711855052853734, -0.08102358743697413, 0.0, -0.9965651665879671]",[0.453002107343],"[-2.730312423698889, -0.40330706627272617, 0.38520505385393733]","[997.4231142962876, 1114.0262502204998, 925.9741418321672, 1116.0911668848205]"
7,0.14000000000000057,"[-0.13193050925879993, -0.04134803579715489, 2.1080816519262697]","[0.24821368437101624, 0.0, 2.152143576248518]","[-0.03756323992194288, -0.028442582465451824, -0.025651338232513966]","[-0.018737859277232906, 0.0, 0.022485355608265426]","[0.009614171903141185, -0.05773193824579538, -0.0008301998915166063, -0.9982849227721641]","[[0.9933315534101326, -0.0027676416263694445, 0.11524988365744035], [0.0005474625119830127, 0.9998126421945989, 0.01929122380942862], [-0.1152818103953244, -0.01909950761395381, 0.993148067271086]]","[-0.0001786595326235159, 0.08103189276569271, -0.01018529930764053]",[0.4877691105853943],"[0.016996657044392093, -0.07999137240912219, 0.0, -0.9966500495098953]",[0.453002107343],"[-2.082193620284899, -0.4108346498548726, -0.9124246263066738]","[1000.5498698007768, 1104.405523908254, 919.2570001071697, 1118.93559727784]"
8,0.16000000000000014,"[-0.1325826289308321, -0.04190597868844098, 2.1077914768096937]","[0.24783740846029229, 0.0, 2.152595105912548]","[-0.03044170184758479, -0.027241391601726492, -0.016975675350976726]","[-0.020727285746048783, 0.0, 0.024872630219477374]","[0.009680486104705812, -0.05875332346697419, -0.0007194552636261896, -0.9982252816895754]","[[0.9930949541811642, -0.002573878329247261, 0.11728417638267312], [0.00029883540353794254, 0.9998114365955473, 0.01941115271317165], [-0.11731203508940309, -0.019242071161876265, 0.9929085657904702]]","[-0.012773803077747722, 0.10821400656416053, -0.012115818829019766]",[0.48640080213638126],"[0.016874763560246846, -0.07895915738127023, 0.0, -0.9967349324318235]",[0.453002107343],"[-3.2500263468493107, -0.09482634475598178, 0.20092524642026532]","[1003.676625305266, 1094.784797596008, 912.5398583821722, 1121.78002767086]"
9,0.17999999999999972,"[-0.13298151811882555, -0.042288866469263324, 2.107777375120597]","[0.24740504470080904, 0.0, 2.1531139396138004]","[-0.03367664775210904, -0.021967201136196154, 0.0036403671483279066]","[-0.022716704723632106, 0.0, 0.027259868872940858]","[0.009714276956194826, -0.05955310256412969, -0.0006864693745421587, -0.9981775066083716]","[[0.9929056586104714, -0.0025274672411042644, 0.11887579774925869], [0.00021340591346973655, 0.9998100683069355, 0.01947490826341391], [-0.11890247196376369, -0.019311382739136938, 0.9927178667373124]]","[-0.026778810940226543, 0.11500229723021752, -0.009722159548385892]",[0.4797746619324188],"[0.014714541938260274, -0.08421529910591528, 0.0, -0.9963348646237413]",[0.453002107343],"[-2.1616689871970696, 0.1324056191388061, 1.883635562731648]","[1009.8194644182946, 1086.541606745116, 925.5557153463575, 1101.9858913987584]"
