,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.3830818001947394, -0.05052171972707692, 2.240331819026893]","[0.24983306210141387, 0.0, 2.150200325470875]","[-0.02109152299180491, 0.007784020702195655, -0.10042240284480417]","[-0.005698297744214589, 0.0, 0.006837957056739369]","[0.006531306923808204, 0.019926707717826998, 0.02082892743960642, -0.9995631331662541]","[[0.9983381972565156, 0.04189995083222341, -0.03956392456423506], [-0.04137936105587882, 0.9990470286771931, 0.013887011123194081], [0.04010808503624226, -0.012226803326534627, 0.9991205697528184]]","[0.010532518092651282, 0.016874417846947865, -0.008886503772321959]",[0.48248295993804136],"[0.008055556270989932, 0.03127916034156533, 0.0, -0.9994776647388406]",[0.469194810098],"[1.0552578790766103, -0.3703974786622236, -0.711128164224661]","[1086.4949643303207, 1067.4328514182125, 919.7976530712579, 958.5660168771824]"
1,0.020007968127487175,"[0.382709735595118, -0.050268060775738026, 2.2399909006036185]","[0.2496946638779185, 0.0, 2.150366403328665]","[-0.019589172291907427, 0.007624340038218358, -0.09645253279990011]","[-0.007688526935748414, 0.0, 0.009226231361474069]","[0.006572104122362061, 0.019881467486153867, 0.020932988229583144, -0.9995616152615798]","[[0.9983331525113108, 0.04210894920287625, -0.03947035595198708], [-0.041586296905178816, 0.9990373129049265, 0.013970803074180015], [0.04002065106493508, -0.01230608897468202, 0.9991231473985602]]","[0.0009194056545352054, -0.009510191980663205, -0.010804776953483582]",[0.48216982859013946],"[0.008573354034211854, 0.033669557368929535, 0.0, -0.999395013052276]",[0.469194810098],"[1.0520789535801227, -0.3723905580389706, -0.6939018257543452]","[1110.243976927592, 1065.478927957523, 942.251875570469, 970.3499593809963]"
2,0.040015936254981455,"[0.3823453882726465, -0.04998498992253205, 2.239686713790771]","[0.2495267528133528, 0.0, 2.150567896577507]","[-0.018752616759929997, 0.007584239169743934, -0.08520168095702627]","[-0.009678755868856845, 0.0, 0.011614504425742325]","[0.0067162600818279055, 0.020175148042964934, 0.020967342284290234, -0.9995540677005452]","[[0.9983067763651708, 0.042186987621155754, -0.04005065833760058], [-0.04164498145537202, 0.9990306332633084, 0.014272568638357908], [0.04061394683362459, -0.012580491699745611, 0.9990958189511305]]","[-0.013975901095045654, -0.05356628944711456, -0.0066722241748880355]",[0.47823552390212937],"[0.009067959377133705, 0.03586542732989835, 0.0, -0.9993150129288377]",[0.4692244974738775],"[1.0767813835769007, -0.02344838294248297, -0.4853493008892329]","[1097.3903739682494, 1080.4934566798245, 947.6036598845252, 971.291238816762]"
3,0.06002390438246863,"[0.3820141212485016, -0.04971050933006699, 2.23956514993068]","[0.2493118065482456, 0.0, 2.1508258320058244]","[-0.01907973768109754, 0.012439866361014927, -0.09407558032416494]","[-0.011668984121113944, 0.0, 0.014002774221849694]","[0.006699019828381097, 0.020655973063901028, 0.02097329918653089, -0.9995441153604503]","[[0.9982667669163818, 0.042204225109441294, -0.04101211155189821], [-0.04165072601692298, 0.9990303516294929, 0.014258379502398838], [0.041574113740366764, -0.01252548389016636, 0.9990567717405953]]","[-0.01671905359830025, -0.07866819817820249, -0.005816791618912533]",[0.48390241322693633],"[0.006837381434629676, 0.03671315572947835, 0.0, -0.9993015856125863]",[0.469409718925],"[1.0891702395941973, 0.13300486857649324, -0.5914527303927244]","[1073.4918601635202, 1091.4149020041543, 948.9623851554845, 955.9340558921326]"
4,0.08003187250996291,"[0.3816906369152307, -0.04941544292166027, 2.239343173090636]","[0.24905399496893743, 0.0, 2.1511352056881092]","[-0.018651697347966456, 0.01417522378110739, -0.08039487631090975]","[-0.013659211236511532, 0.0, 0.01639103856117369]","[0.0068168172454350145, 0.021806952816508112, 0.02101054377073966, -0.9995178895517478]","[[0.998165494390654, 0.042298136760188565, -0.043306428839196776], [-0.04170352071206873, 0.9990236427782215, 0.014543413446549726], [0.043879328987646155, -0.012710709699918932, 0.998955442295023]]","[-0.015921744226531233, -0.12590340739264977, -0.004214404458254578]",[0.47744123355551926],"[0.007978322649128929, 0.039522562296402775, 0.0, -0.9991849327486458]",[0.469409718925],"[1.2253173529021277, -0.30289064873182103, 1.0367609106824425]","[1070.1354222322148, 1087.8173972496247, 928.2808219641591, 973.668780651138]"
5,0.10003984063745008,"[0.381366432840572, -0.04915018689986003, 2.239196105029677]","[0.24876658701706392, 0.0, 2.151480094840069]","[-0.018107124231860283, 0.013654183775492039, -0.07471880932925803]","[-0.01564943702428651, 0.0, 0.018779296527883328]","[0.006929005332994635, 0.023369329525578325, 0.021054907042061373, -0.999480838441761]","[[0.9980205228541255, 0.04241180470524816, -0.04642261500973335], [-0.041764099869603194, 0.9990167517492662, 0.014834894241170526], [0.047006173262453946, -0.012866737997985118, 0.9988111188454157]]","[-0.022257675813321588, -0.1683654158321501, -0.006042488444906186]",[0.47496915776896403],"[0.007745197398691357, 0.04113159862438479, 0.0, -0.9991228767819923]",[0.469409718925],"[1.2641551067947505, -0.7461008517473342, 1.0614310803722198]","[1065.109644458854, 1093.8849812353299, 923.959963315783, 973.456494761719]"
6,0.12004780876493726,"[0.38101850252261427, -0.04884358157604322, 2.239227149400078]","[0.24843355785198912, 0.0, 2.1518797290715588]","[-0.018493485886179804, 0.009962843033333306, -0.06229043176151417]","[-0.017639660130060214, 0.0, 0.021167541620971543]","[0.007231768165906372, 0.025727684795710887, 0.021089261197908975, -0.9994199336874275]","[[0.9977858316197664, 0.042526169359638245, -0.05112049676937378], [-0.04178194275208586, 0.9990050622080505, 0.01554030225097443], [0.05173054736046787, -0.013369990792277556, 0.9985707485539028]]","[-0.018398967890086458, -0.19473714330199793, -0.00021383991056378655]",[0.4704738233828261],"[0.010313235559010018, 0.042817272810818464, 0.0, -0.9990295989217611]",[0.469409718925],"[1.0519706427135718, -0.6140803087593778, 0.1163270884945895]","[1051.9113848001002, 1105.7310083120256, 930.4896995091384, 954.8425808551099]"
7,0.14005577689243154,"[0.38065278883398673, -0.04854886920587972, 2.2394169603359146]","[0.24806070722277762, 0.0, 2.15232714848186]","[-0.021973166192075642, 0.01113752415827515, -0.07068815099255825]","[-0.019629879680794764, 0.0, 0.02355576965001793]","[0.007498474213373387, 0.028322981269083128, 0.021104536212570402, -0.999347632205682]","[[0.9975043243939151, 0.04260629487504676, -0.05629250489537788], [-0.041756778296278454, 0.9989962526987956, 0.016182651668262753], [0.05692551217767854, -0.01379167813289748, 0.9982826730603533]]","[-0.021947606941343158, -0.21748954833450118, -0.0007744509152286303]",[0.4758069216134383],"[0.00979764837212415, 0.04201977106577053, 0.0, -0.9990686728830747]",[0.469409718925],"[1.0597159098684321, -0.16600032966509964, -0.36875904083906974]","[1046.1574011042162, 1095.6864776086281, 920.1212077258582, 967.0117176257775]"
8,0.1600637450199187,"[0.38023544749034394, -0.0482404275148888, 2.2396959753396204]","[0.24764929608412342, 0.0, 2.1528208396824304]","[-0.0244280935406112, 0.013119541843911977, -0.06067831963213836]","[-0.021620094569769256, 0.0, 0.02594397530284131]","[0.007640413483664363, 0.030542790837202023, 0.021034608402379425, -0.9992827931280007]","[[0.9972491597371336, 0.04250576357524945, -0.06072034446412481], [-0.04157232537148425, 0.998998132044981, 0.01655477874277058], [0.06136319688676937, -0.013984956163665272, 0.9980173174020137]]","[-0.02265553443014071, -0.22852640891565953, 0.004785427714180706]",[0.4723847812058549],"[0.009042415813148096, 0.04280959481060663, 0.0, -0.9990419903767632]",[0.469409718925],"[1.2354051283529206, -0.1145095952924049, 0.9855117214244515]","[1035.2996139280763, 1097.4041827529968, 916.8083655059937, 961.4912484220825]"
9,0.180071713147413,"[0.37975870022148844, -0.047932650145995334, 2.2400716183350555]","[0.24718726953695683, 0.0, 2.1533752676019677]","[-0.02741956492747913, 0.015346824877088518, -0.05633471699317997]","[-0.02361030069774491, 0.0, 0.028332138902666205]","[0.007750913160762903, 0.03233644726298416, 0.021020522894446454, -0.9992252450122141]","[[0.9970236587201974, 0.042509748268302186, -0.06429693238326241], [-0.04150720028965027, 0.9989947970537295, 0.01684927426429665], [0.06494864537345714, -0.014130358144230176, 0.9977872301760579]]","[-0.01584754101362547, -0.2317967160614691, 0.0062093007386168665]",[0.4716469017207389],"[0.008156672503620276, 0.043205521519407694, 0.0, -0.9990324504643538]",[0.469409718925],"[1.3134860091989808, -0.32177420656759653, 0.9659350580250425]","[1035.6531466768965, 1091.8992761520228, 908.1651322087449, 967.8759939478648]"
